,source_iso2,outflux
0,AE,6617373.5
1,AF,96259.5
2,AG,75097.0
3,AL,154936.5
4,AM,165718.5
5,AO,105612.0
6,AR,792732.0
7,AT,1756262.5
8,AU,2583907.5
9,AW,137991.5
10,AZ,223698.5
11,BA,77657.0
12,BB,147261.0
13,BD,473467.0
14,BE,1536219.0
15,BF,51081.0
16,BG,397149.0
17,BH,569186.5
18,BI,17947.0
19,BJ,45298.5
20,BL,22860.5
21,BM,35882.0
22,BN,135706.0
23,BO,103380.0
24,BQ,29291.0
25,BR,1382951.0
26,BS,207654.0
27,BT,21006.0
28,BW,32447.0
29,BY,238955.0
30,BZ,53143.5
31,CA,3585875.0
32,CD,78967.0
33,CF,12375.0
34,CG,34826.5
35,CH,2764672.5
36,CI,123644.0
37,CK,17008.0
38,CL,643071.5
39,CM,89074.0
40,CN,9342842.5
41,CO,846644.0
42,CR,421202.0
43,CU,508555.0
44,CV,125299.5
45,CW,90962.5
46,CY,509324.5
47,CZ,709745.5
48,DE,8531113.5
49,DJ,30376.0
50,DK,1508066.5
51,DM,12766.0
52,DO,775028.0
53,DZ,434861.5
54,EC,259178.0
55,EE,132233.0
56,EG,1534280.0
57,ER,26021.5
58,ES,6405380.5
59,ET,725225.0
60,FI,980293.0
61,FJ,118074.0
62,FO,24528.0
63,FR,5798524.0
64,GA,50078.5
65,GB,10243149.5
66,GD,31498.0
67,GE,213400.5
68,GF,27375.0
69,GH,180997.0
70,GI,14322.0
71,GL,6292.5
72,GM,49539.5
73,GN,45812.0
74,GP,149530.5
75,GQ,36709.5
76,GR,834890.0
77,GT,173990.0
78,GU,219506.5
79,GW,12840.0
80,GY,41108.0
81,HK,3640500.5
82,HN,114760.5
83,HR,145731.0
84,HT,55556.0
85,HU,784928.5
86,ID,2211688.5
87,IE,1557257.0
88,IL,1043087.0
89,IN,3670714.0
90,IQ,470955.5
91,IR,474170.5
92,IS,253023.0
93,IT,5127635.0
94,JM,377391.0
95,JO,485733.0
96,JP,5729962.0
97,KE,448799.5
98,KG,106606.0
99,KH,685232.5
100,KM,15931.0
101,KN,26992.5
102,KR,4877225.0
103,KW,999260.5
104,KY,84356.0
105,KZ,275596.5
106,LA,183969.0
107,LB,396451.0
108,LC,72985.0
109,LK,603208.5
110,LR,21460.0
111,LT,283524.0
112,LU,236862.0
113,LV,357023.5
114,LY,106400.5
115,MA,1141598.5
116,MD,129277.5
117,ME,69274.0
118,MF,12554.5
119,MG,48061.5
120,MH,2988.0
121,MK,111048.0
122,ML,76780.0
123,MM,379016.0
124,MN,54862.5
125,MO,596377.5
126,MP,74315.0
127,MQ,124576.0
128,MR,27972.5
129,MT,290831.5
130,MU,225313.5
131,MV,310614.0
132,MW,40751.5
133,MX,2757104.5
134,MY,3085727.5
135,MZ,49703.5
136,NA,66472.0
137,NC,35560.0
138,NE,47880.5
139,NG,274749.5
140,NI,62565.0
141,NL,3450024.5
142,NO,1139453.0
143,NP,260467.5
144,NZ,900441.0
145,OM,897427.0
146,PA,854600.0
147,PE,633175.5
148,PF,36176.0
149,PG,37951.5
150,PH,1937914.5
151,PK,848890.0
152,PL,1919384.5
153,PR,594082.5
154,PT,1902911.5
155,PW,15434.0
156,PY,79780.0
157,QA,2389007.5
158,RE,147028.0
159,RO,895164.0
160,RS,396146.0
161,RU,3201769.0
162,RW,110291.0
163,SA,2917638.5
164,SB,10711.0
165,SC,70352.0
166,SD,156304.0
167,SE,1417459.0
168,SG,3803922.0
169,SI,51806.0
170,SK,91759.5
171,SL,27725.0
172,SN,163693.0
173,SO,31200.0
174,SR,38775.0
175,SS,26442.0
176,ST,8823.0
177,SV,287691.0
178,SX,107803.0
179,SY,41605.0
180,TC,73413.0
181,TD,19589.0
182,TG,68698.5
183,TH,5251236.0
184,TJ,106101.5
185,TL,16841.0
186,TM,56016.5
187,TN,376445.0
188,TO,13559.0
189,TR,3975191.0
190,TT,139474.0
191,TW,3304189.0
192,TZ,199146.0
193,UA,915034.0
194,UG,131946.0
195,US,12350334.5
196,UY,144304.5
197,UZ,238058.0
198,VC,17795.0
199,VE,116377.5
200,VG,24817.0
201,VI,100544.5
202,VN,2432260.0
203,VU,24166.0
204,WS,25988.0
205,YT,22197.0
206,ZA,788198.0
207,ZM,96029.0
208,ZW,105433.0
