ISO_A3,ihme.mean,ihme.lower,ihme.upper,confirmed.7mavg,under.mean,under.lower,under.upper
AFG,7354331.87,3044604.34,14907390.91,21309.141,345.125684324863,142.87785415658,699.577280473202
AGO,4864897.28,2971941.43,6629557.75,17061.999,285.130557093574,174.184832035215,388.556918213393
ALB,1278664.41,1162680.03,1455967.07,54406.001,23.5022678840152,21.3704372427593,26.7611484622809
AND,17578.66,9810.36,22522.36,7032.005,2.49980766509694,1.3951013971122,3.20283617545778
ARE,639638.59,405423.58,866648,155971.437,4.10099824880116,2.5993450326421,5.55645326265732
ARG,5181145.72,3815826.87,6185196.84,1538015.712,3.36872093020595,2.48100642940636,4.02154333778354
ARM,1374796.95,975371.15,1669553.02,134257.426,10.2400067613392,7.26493259300235,12.435461260817
AUS,67564.53,55775.28,80663.88,20649.135,3.27202713333997,2.70109522747563,3.9064047961331
AUT,997743.52,784574.81,1233547.01,332434.861,3.0013203699476,2.36008584550944,3.71064275957509
AZE,3353032.23,1948468.84,4498609.86,199534,16.8043152044263,9.76509687572043,22.545580502571
BEL,1493867.64,1223178.73,1812680.39,579676.141,2.57707284178184,2.1101070813263,3.12705709583448
BEN,673666.92,314203.85,1162130.44,2127.995,316.573544580697,147.652532078318,546.11521173687
BFA,9292879.02,4299873.34,14934066.13,5476.713,1696.79861259847,785.119348046903,2726.83014976319
BGD,42191664.3,16951090.24,87465032,376152.859,112.166273073575,45.0643663458105,232.525235173076
BGR,2078181.39,1486159.05,2693382.63,194392.287,10.6906576493953,7.64515440882693,13.8553986455234
BHR,197994.59,152210.35,241468.43,66762,2.9656779305593,2.27989500014979,3.61685434828195
BHS,40265.72,21977.67,62137.76,7727.141,5.2109467136681,2.84421754436732,8.04149426029627
BIH,1287003.82,1064597.17,1531573.59,106027.432,12.1384041443162,10.0407710525329,14.4450691779463
BLR,2271252.28,1632807.1,3110333.04,127541.997,17.8078776671499,12.8021133305604,24.3867362371627
