ISO_A3,ihme.mean,ihme.lower,ihme.upper,confirmed.7mavg,under.mean,under.lower,under.upper
AFG,9409474.88,3474747.63,14344458.48,62287.849,151.06437340612,55.7853206650305,230.293046080304
AGO,6044844.23,2889557.86,9550117.52,21221.293,284.848064158956,136.163138598576,450.025242099998
ALB,1026290.93,940048.24,1153791,75774.854,13.543951269111,12.4058073407835,15.2265684339029
AND,10001.92,6331.75,12639.7,6001.005,1.66670749316156,1.05511493491507,2.10626386746886
ARE,1301681.98,837986.55,1873317.42,423442.147,3.07404916875221,1.97898710824362,4.42402210850305
ARG,6954679.05,4503072.44,8584681.72,2813859.283,2.47158025705723,1.60031898794848,3.05085679723381
ARM,459696.21,217927.61,849843.96,66732.718,6.88861811383136,3.2656786136,12.7350419025342
AUS,11674.24,9523.4,15167.25,2172.994,5.37242164497463,4.38261679507629,6.9798858165278
AUT,410831.59,302468.44,553410.53,295770.003,1.38902385581002,1.02264745218263,1.87108403281857
AZE,1402601.16,751058.59,2514297.43,120408.718,11.6486678315103,6.23757650172806,20.8813570293141
BEL,836666.21,665795.31,989405.03,442351.287,1.89140674976718,1.50512800474795,2.23669526703558
BEN,2561444.06,1442640.32,4077272.15,4960.149,516.404660424515,290.846166113155,822.005982078361
BFA,4449222.38,2445638.51,9823005.49,7056.001,630.558637959377,346.604048100333,1392.14910683828
BGD,29275821.8,15755935.42,55355183.67,380841.144,76.8714784660977,41.3714108053409,145.349798838961
BGR,1373979.13,774636.91,2544036.23,222587.858,6.17274968340815,3.48014000835571,11.429357615724
BHR,577943.43,404064.71,762551.5,173218.282,3.33650364919333,2.33269089922044,4.40225760927475
BHS,24893.13,13181.38,38999.11,4661.285,5.34040076931576,2.82784253698283,8.36660062622217
BIH,938108.26,669422.200000001,1308161.32,94934.4180000001,9.88164545339077,7.051417326854,13.7796317453592
BLR,1758718.27,1077564.86,2762174.06,226584.568,7.76186253778766,4.75568512679999,12.1904774203334
BLZ,17331.18,4115.79,32421.66,2554.574,6.78437187570217,1.61114534164992,12.6916112040599
BOL,3320293.56,1646937.3,6103260.36,278077.43,11.9401763746162,5.92258530294961,21.9480608692334
BRA,65438077.9,53880070.2,79262454.2,10879573.285,6.01476511861191,4.9524065685817,7.28543777624823
BRB,7141.96,4158.81,10050.74,3708.995,1.92557822267218,1.12127678791694,2.70982840365112
BWA,751969.48,350285.23,1294926.98,54196.864,13.8747784373649,6.46320108115481,23.8930241425039
CAF,1401175.48,412227.65,3511608.92,2185.727,641.056948100106,188.599788537178,1606.609114496
CAN,1699389.02,1512542.61,1991119.2,849678.996,2.00003651732024,1.78013416492644,2.34337815736709
CHE,338978.16,293311.42,402191.89,264712.427,1.28055249933544,1.10803796906747,1.51935401959803
CHL,1838258.77,1626524.48,2185207.2,943376.286,1.94859548335096,1.72415239193324,2.31636859271232
CHN,31672.05,23332.13,38847.18,7918.576,3.99971535286142,2.94650578588878,4.90582902784541
CIV,4160204.09,2052525.16,5758681,25948.288,160.326727142847,79.1006003941377,221.929130738799
CMR,14195849.57,9281730.54,20113619.54,54315.986,261.356749926256,170.883955600106,370.307547026763
COD,36674209.48,18578383.11,52867295.03,23035.283,1592.08851395487,806.518552865185,2295.0573270578
COG,1114588.36,698424.09,1681777.65,5616.858,198.436271666473,124.344266848121,299.41608814038
COL,11101638.25,9083927.77,12843551.54,2548156.147,4.35673389288573,3.56490232386061,5.04033143931191
CPV,171435.6,28891.81,365257.23,20626.153,8.31156444926982,1.40073672487545,17.7084514984447
CRI,1064468.11,815705.63,1460595.2,197388.284,5.39276236881415,4.13249263568247,7.39960432504697
CUB,467678.97,350731.75,634704.51,171183.283,2.73203645708793,2.0488668277264,3.70774820342708
CYP,55709.92,45049.59,69079.2599999999,55492.572,1.00391670438343,0.81181297561771,1.24483795777208
CZE,2637690.38,2052974.93,3732333.56,995595.476,2.64935954771253,2.0620573109153,3.7488454397115
DEU,4234711.05,3575020.32,5092718.52999999,2068797.139,2.0469435935352,1.72806712296986,2.4616809613637
DJI,340310.55,128352.84,692139.89,5785.718,58.819069647017,22.184427239627,119.629039991234
DNK,137441.51,118405.26,164821.37,139577.407,0.984697401636068,0.84831250662222,1.18085995106644
DOM,1331612.4,678022.47,2011608.12,155074.28,8.5869326622055,4.37224322434384,12.9719004337792
DZA,3805888.3,2027050.27,7678768.37,39908.721,95.3648276525825,50.7921631966106,192.408280135061
ECU,6976633.80999999,4485130.34,9830103.58,244226.572,28.5662356592386,18.3646288086949,40.2499347204529
EGY,22656766.87,15371533.41,28394061.19,146348.717,154.813566763281,105.033605521803,194.016468145737
ESP,3091040.78,2575784.48,3805849.12,1987558.715,1.55519470024814,1.29595390594537,1.91483607064157
EST,175665.49,150547.35,215864.34,104921.717,1.67425290990997,1.43485404456353,2.0573847452382
ETH,43988665.47,37300145.84,50774942.13,152794.428,287.894434671401,244.119804159351,332.308859652919
FIN,116650.62,93647.08,147948.01,59839.711,1.94938474886685,1.56496544577229,2.47240515583373
FJI,80596.6,35215.86,118544.27,3556.29,22.6631124008447,9.90241515736905,33.333690447067
FRA,5069896.47,4112833.39,6451297.08,3559078.974,1.42449676082967,1.15558924655657,1.81263105627282
GAB,434836.03,229836.74,610405.6,15458.429,28.1293804176349,14.86805289205,39.4869103451586
GBR,3381825.23,2819895.66,4340938.47,2408581.877,1.40407318609082,1.17077010623044,1.80227980267245
GEO,682639.22,495391.01,939647.81,140671.143,4.85273102529635,3.52162497179681,6.67974816981476
GHA,6563215.99,4693644.38,8941011.92999999,40960.289,160.233634826161,114.590118736711,218.284883927455
GIN,2238364.56,1042543.91,4249438.87,10021.142,223.364219367413,104.034441384026,424.047366058679
GMB,558252.18,337062.89,843622.32,2275.001,245.38546576463,148.15944696288,370.822834803149
GNB,84664.24,357.81,368066.22,1399.288,60.505228373287,0.255708617525485,263.038216578717
