iso_a3_target daily_seeds
ARE 147.81016
AFG 3.11434
ATG 2.84599
ALB 3.90836
ARM 2.48221
AGO 59.84921
ARG 561.28719
AUT 25.75207
AUS 15.05389
ABW 12.09963
AZE 2.09985
BIH 1.19467
BRB 4.62894
BGD 12.00531
BEL 49.57081
BFA 2.20361
BGR 9.748
BHR 7.55316
BDI 0.56346
BEN 3.51486
BLM 1.43878
BMU 2.48514
BRN 0.41711
BOL 134.23657
BES 3.82142
BRA 0.0
BHS 7.03097
BTN 0.14174
BWA 0.30268
BLR 4.61697
BLZ 3.04083
CAN 142.61462
COD 6.41858
CAF 0.92136
COG 3.21408
CHE 124.04909
CIV 7.51022
CHL 373.40947
CMR 5.4115
CHN 34.08043
COL 191.65773
CRI 23.26858
CUB 15.7653
CPV 10.41955
CUW 10.05866
CYP 6.51052
CZE 13.35857
DEU 317.48193
DJI 2.36926
DNK 31.81363
DMA 0.57217
DOM 52.19369
DZA 4.24958
ECU 42.55652
EST 3.30382
EGY 34.5505
ESP 374.13755
ETH 80.77721
FIN 13.6846
FJI 0.02122
FRO 0.45144
FRA 357.97819
GAB 2.63672
GBR 260.68191
GRD 3.03614
GEO 3.48115
GUF 2.85671
GHA 14.28482
GIB 1.09701
GRL 0.16022
GMB 0.85518
GIN 3.36303
GLP 4.92516
GNQ 1.08336
GRC 30.36264
GTM 13.22316
GUM 0.70457
GNB 6.60743
GUY 7.64035
HKG 17.67317
HND 11.32017
HRV 7.87789
HTI 8.57512
HUN 13.10733
IDN 12.20124
IRL 38.19729
ISR 17.33854
IND 90.5533
IRQ 15.37882
IRN 14.57988
ISL 3.9657
ITA 127.32384
JAM 15.17323
JOR 9.45454
JPN 38.04959
KEN 19.00937
KGZ 0.70788
KHM 0.5003
COM 0.37303
KOR 19.76548
KWT 15.5548
CYM 3.55625
KAZ 4.77702
LAO 0.20059
LBN 24.02152
LCA 3.64281
LKA 8.24622
LBR 0.91904
LTU 4.39932
LUX 30.20492
LVA 7.53512
LBY 3.34866
MAR 32.32556
MCO 0.55094
MDA 2.60976
MNE 1.82087
MAF 0.59527
MDG 1.13231
MKD 1.35083
MLI 7.75089
MMR 0.31507
MNG 0.03965
MAC 0.46196
MNP 0.46487
MTQ 5.66917
MRT 2.28823
MLT 9.23289
MUS 2.39996
MDV 7.70948
MWI 1.31689
MEX 396.63706
MYS 9.45235
MOZ 11.4161
NAM 6.50114
NCL 0.07876
NER 3.79456
NGA 17.47675
NIC 3.87042
NLD 294.01951
NOR 21.56362
NPL 7.17789
NZL 1.57263
OMN 21.18552
PAN 165.29458
PER 243.44744
PYF 0.3511
PNG 0.30618
PHL 17.20382
PAK 44.74868
POL 37.59667
PRI 22.95571
PRT 727.91354
PRY 53.85124
QAT 141.6869
REU 10.40685
ROU 23.31123
SRB 19.20831
RUS 23.2097
RWA 3.38466
SAU 20.05443
SYC 2.03748
SDN 7.78225
SWE 41.74982
SGP 19.928
SVN 1.19318
SVK 0.32371
SLE 1.19618
SEN 19.47035
SOM 3.44004
SUR 19.64585
SSD 1.40315
SLV 15.04849
SXM 5.57248
SYR 0.59351
TCA 5.14843
TCD 1.73109
TGO 4.68393
THA 31.4851
TJK 0.73676
TLS 0.00902
TKM 0.04626
TUN 11.66037
TUR 135.83223
TTO 6.16861
TWN 8.50038
TZA 8.9288
UKR 24.33348
UGA 5.36519
USA 1734.7837
URY 77.66316
UZB 2.49962
VCT 0.78112
VEN 11.85922
VGB 0.5051
VIR 13.28897
VNM 10.15274
VUT 0.0021
WSM 0.03279
MYT 1.27004
ZAF 61.29261
ZMB 3.11947
ZWE 3.33092
