iso_a3_target daily_seeds
ARE 501.79713
AFG 10.98349
ATG 0.9018
ALB 4.29777
ARM 4.73937
AGO 54.79096
ARG 6.0309
AUT 28.44064
AUS 165.57131
ABW 5.91575
AZE 2.97487
BIH 2.03163
BRB 3.09195
BGD 35.58453
BEL 32.54991
BFA 6.57384
BGR 8.60898
BHR 23.37461
BDI 5.57205
BEN 8.49948
BLM 0.56587
BMU 0.85234
BRN 1.39509
BOL 0.62172
BES 3.50685
BRA 66.32261
BHS 0.23216
BTN 0.33019
BWA 99.41071
BLR 4.12502
BLZ 0.09952
CAN 62.02413
COD 121.06566
CAF 1.70397
COG 11.82049
CHE 89.19509
CIV 23.74976
CHL 3.63758
CMR 15.45293
CHN 73.24115
COL 7.38785
CRI 2.20421
CUB 2.5419
CPV 2.69653
CUW 8.64924
CYP 10.41726
CZE 12.27035
DEU 315.08457
DJI 8.56072
DNK 35.86813
DMA 0.32501
DOM 21.58897
DZA 4.83845
ECU 5.44986
EST 3.48362
EGY 91.10008
ESP 121.73584
ETH 437.00786
FIN 16.63983
FJI 0.04111
FRO 0.52383
FRA 220.37264
GAB 14.55421
GBR 403.86177
GRD 0.65047
GEO 3.62473
GUF 0.72057
GHA 121.28185
GIB 2.2634
GRL 0.17935
GMB 0.85115
GIN 2.9999
GLP 1.27977
GNQ 3.75501
GRC 39.98026
GTM 0.58154
GUM 1.11259
GNB 0.73298
GUY 1.70145
HKG 44.64728
HND 0.35617
HRV 8.73556
HTI 2.40681
HUN 10.99577
IDN 36.23459
IRL 39.22814
ISR 25.27524
IND 240.48674
IRQ 40.51207
IRN 49.87442
ISL 5.5459
ITA 100.19765
JAM 5.61013
JOR 26.93477
JPN 53.38846
KEN 212.77738
KGZ 1.6279
KHM 1.40491
COM 6.12235
KOR 39.70249
KWT 41.30024
CYM 0.97781
KAZ 9.74733
LAO 0.2917
LBN 58.38321
LCA 0.95599
LKA 19.36243
LBR 4.51813
LTU 4.20709
LUX 5.30971
LVA 7.50982
LBY 5.25115
MAR 27.27866
MCO 0.34522
MDA 1.51375
MNE 1.74074
MAF 0.18558
MDG 3.67903
MKD 0.86737
MLI 14.90046
MMR 0.84859
MNG 0.05202
MAC 0.68067
MNP 0.74811
MTQ 1.45981
MRT 1.52963
MLT 7.92542
MUS 107.37896
MDV 20.25377
MWI 212.59829
MEX 35.70719
MYS 28.89765
MOZ 230.92971
NAM 307.06955
NCL 0.15228
NER 9.99804
NGA 179.67094
NIC 0.16264
NLD 261.09704
NOR 29.32558
NPL 19.54608
NZL 4.74475
OMN 54.52952
PAN 8.16015
PER 3.69728
PYF 0.27005
PNG 1.27892
PHL 51.14409
PAK 139.11342
POL 30.44133
PRI 8.09868
PRT 92.00089
PRY 0.23805
QAT 355.11509
REU 13.79687
ROU 15.91342
SRB 16.95489
RUS 40.90656
RWA 48.5731
SAU 69.79117
SYC 20.43154
SDN 33.32291
SWE 50.40759
SGP 56.65787
SVN 1.29876
SVK 0.25618
SLE 4.34641
SEN 11.44571
SOM 24.55599
SUR 1.84258
SSD 10.64096
SLV 1.82251
SXM 2.59241
SYR 1.57103
TCA 0.51922
TCD 5.13684
TGO 52.9134
THA 49.66655
TJK 1.83014
TLS 0.02988
TKM 0.06167
TUN 13.04231
TUR 156.76921
TTO 1.15207
TWN 14.77935
TZA 105.08752
UKR 29.40601
UGA 40.84321
USA 494.02879
URY 0.3974
UZB 5.01677
VCT 0.32745
VEN 0.4759
VGB 0.17743
VIR 1.72408
VNM 22.66347
VUT 0.00463
WSM 0.11511
MYT 6.43482
ZAF 0.0
ZMB 440.54425
ZWE 819.80035
