iso_a3_target daily_seeds
ARE 1661.59683
AFG 25.49819
ATG 95.94333
ALB 297.1493
ARM 44.21943
AGO 25.96402
ARG 25.25188
AUT 1454.71655
AUS 240.8601
ABW 52.29026
AZE 54.16569
BIH 73.83582
BRB 119.36908
BGD 197.65249
BEL 2436.2102
BFA 15.34644
BGR 1067.34583
BHR 192.5113
BDI 4.8892
BEN 8.89393
BLM 5.30694
BMU 79.80823
BRN 11.25685
BOL 10.98166
BES 25.58154
BRA 193.77006
BHS 67.44362
BTN 0.73605
BWA 3.1936
BLR 21.38728
BLZ 3.22736
CAN 848.44299
COD 20.2598
CAF 2.17492
COG 7.35537
CHE 2699.13401
CIV 58.6778
COK 0.43873
CHL 41.35241
CMR 20.75044
CHN 281.80671
COL 150.5502
CRI 65.76107
CUB 39.41473
CPV 55.72096
CUW 65.37615
CYP 1041.0387
CZE 985.51531
DEU 10115.57277
DJI 8.35224
DNK 1896.54786
DOM 277.63546
DZA 14.0133
ECU 55.8829
EST 212.62819
EGY 687.36363
ERI 3.33562
ESP 29134.10134
ETH 226.72858
FIN 392.36302
FRO 52.86256
FRA 7220.07595
GAB 5.09926
GBR 0.0
GRD 17.76594
GEO 170.9857
GUF 9.35307
GHA 147.21919
GIB 396.49667
GRL 5.36541
GMB 9.9193
GIN 14.61514
GLP 35.76269
GRC 9861.33813
GTM 23.79473
GUM 5.03414
GNB 8.90999
GUY 13.0736
HKG 76.56522
HND 13.01636
HRV 1274.95258
HTI 14.65986
HUN 854.20626
IDN 121.0021
IRL 4643.32606
ISR 666.2097
IND 1072.55134
IRQ 141.02328
IRN 93.18171
ISL 512.40522
ITA 9063.90581
JAM 146.0872
JOR 312.57392
JPN 664.65135
KEN 109.82934
KGZ 22.48331
KHM 19.23755
COM 5.14573
KOR 134.46184
KWT 219.55269
KAZ 44.21356
LAO 0.34406
LBN 297.98452
LCA 39.50977
LKA 107.80473
LBR 11.34251
LTU 685.50325
LUX 354.01535
LVA 614.90588
LBY 16.90553
MAR 1112.00101
MDA 169.68891
MNE 110.43493
MAF 3.54117
MDG 1.40414
MKD 101.06243
MLI 15.48727
MMR 3.7816
MAC 6.74974
MNP 3.32069
MTQ 28.60731
MRT 12.83214
MLT 1084.25721
MUS 6.99933
MDV 93.49574
MWI 4.05642
MEX 611.24376
MYS 97.52684
MOZ 11.4979
NAM 8.17541
NCL 0.89412
NER 9.20729
NGA 493.39524
NIC 7.20205
NLD 5783.0675
NOR 1456.53821
NPL 15.10932
NZL 31.29496
OMN 53.32249
PAN 107.77575
PER 71.75525
PYF 5.60778
PNG 5.39566
PHL 202.05677
PAK 373.1365
POL 4877.96939
PRI 101.60965
PRT 5058.72755
PRY 6.13571
QAT 676.77691
REU 39.35146
ROU 2105.27755
SRB 343.68341
RUS 1330.73639
RWA 22.62524
SAU 687.19781
SYC 22.52998
SDN 65.19653
SWE 1604.70128
SGP 132.62871
SVN 16.05587
SVK 239.44787
SLE 10.56937
SEN 58.1597
SOM 13.67386
SSD 5.39168
SLV 50.31066
SXM 33.99977
SYR 8.84187
TCA 26.50498
TCD 4.91008
TGO 29.30505
THA 324.57175
TJK 6.25384
TKM 0.34192
TUN 215.45038
TUR 3379.76469
TTO 7.54491
TWN 110.88267
TZA 55.40982
UKR 1156.89583
UGA 31.45655
USA 7885.87435
URY 7.54614
UZB 43.99381
VEN 12.82477
VGB 4.9396
VIR 21.28256
VNM 137.64248
YEM 6.43495
MYT 6.81214
ZAF 202.22033
ZMB 12.87251
ZWE 13.36549
