iso_a3_target daily_seeds
ARE 13337.61639
AFG 185.50237
ATG 12.23431
ALB 28.56003
ARM 73.87073
AGO 24.61846
ARG 15.36122
AUT 215.91363
AUS 1481.01961
ABW 17.96602
AZE 121.81522
BIH 20.53755
BRB 39.63727
BGD 1581.91958
BEL 151.54883
BFA 4.50045
BGR 52.69288
BHR 1031.10294
BDI 6.6299
BEN 4.14909
BLM 1.12749
BMU 8.21854
BRN 15.11131
BOL 1.80972
BES 3.53962
BRA 168.23424
BHS 21.91775
BWA 1.57684
BLR 37.55615
BLZ 2.03345
CAN 1223.0746
COD 11.2347
CAF 2.57612
COG 4.66618
CHE 476.53712
CIV 17.15288
COK 0.52563
CHL 14.83314
CMR 9.60376
CHN 316.78566
COL 28.97019
CRI 28.93331
CUB 30.13748
CPV 6.78811
CUW 9.95511
CYP 72.99647
CZE 89.79222
DEU 1443.27974
DJI 20.09039
DNK 168.9678
DMA 0.44212
DOM 110.59441
DZA 41.50256
ECU 6.85511
EST 10.2459
EGY 1162.42402
ERI 12.83393
ESP 567.09164
ETH 216.32687
FIN 210.89258
FJI 17.72371
FRO 1.09874
FRA 912.53365
GAB 3.42131
GBR 2271.24055
GRD 3.00673
GEO 175.79893
GUF 1.70295
GHA 62.8131
GIB 7.27626
GRL 0.61754
GMB 3.78581
GIN 13.11547
GLP 7.48374
GRC 141.75797
GTM 6.02856
GUM 6.16049
GNB 0.52443
GUY 5.84938
HKG 322.90197
HND 4.06036
HRV 31.69865
HTI 2.85555
HUN 73.51235
IDN 372.61898
IRL 196.07294
ISR 226.07197
IND 0.0
IRQ 462.82583
IRN 388.63118
ISL 30.93574
ITA 595.67236
JAM 41.12675
JOR 395.63675
JPN 758.48682
KEN 268.82976
KGZ 131.86337
KHM 50.12071
COM 7.44987
KNA 1.56265
KOR 249.69933
KWT 1991.35948
CYM 2.76905
KAZ 209.06985
LAO 6.35041
LBN 330.49002
LCA 13.94033
LKA 2591.0645
LBR 3.5767
LTU 12.56729
LUX 15.71829
LVA 25.09728
LBY 16.70696
MAR 27.68181
MDA 6.27629
MNE 7.24307
MAF 0.44006
MDG 3.58984
MKD 3.10927
MLI 6.95573
MMR 67.82253
MNG 3.2158
MAC 9.58894
MNP 1.12573
MTQ 7.71397
MRT 3.08465
MLT 14.27951
MUS 107.04958
MDV 1939.28285
MWI 5.85303
MEX 195.74944
MYS 802.30281
MOZ 11.86201
NAM 4.92728
NCL 4.42823
NER 3.70256
NGA 169.26274
NIC 0.79891
NLD 541.49207
NOR 102.73372
NPL 743.62898
NZL 61.61487
OMN 2009.24326
PAN 21.66549
PER 9.55109
PYF 3.53683
PNG 11.31314
PHL 602.53272
PAK 2215.57258
POL 186.68832
PRI 36.8205
PRT 151.59284
PRY 1.0653
QAT 2930.27441
REU 35.24882
ROU 98.15297
SRB 67.83304
RUS 995.16085
RWA 35.57631
SAU 5124.31838
SYC 123.26118
SDN 223.88448
SWE 185.65452
SGP 1525.08302
SVN 12.26947
SVK 8.02534
SLE 2.70301
SEN 25.42564
SOM 45.86524
SUR 2.32202
SSD 16.77426
STP 1.32929
SLV 14.17411
SXM 11.25039
SYR 150.16467
TCA 11.0376
TCD 2.88004
TGO 10.23708
THA 1880.02512
TJK 17.85098
TLS 0.74317
TKM 0.24173
TUN 66.23235
TUR 1006.23269
TTO 5.00285
TWN 167.43911
TZA 183.16875
UKR 220.46074
UGA 146.12876
USA 4433.45276
URY 2.0932
UZB 129.62255
VCT 1.55987
VEN 2.2123
VGB 0.51379
VIR 6.46938
VNM 319.86352
YEM 33.63857
MYT 5.95974
ZAF 216.82351
ZMB 22.8449
ZWE 15.85045
