week sequences_fraction total_sequences
2020-06-22 0.0 1
2020-06-29 0.0 1
2020-07-20 0.0 1
2020-07-27 0.0 1
2020-08-03 0.0 3
2020-08-10 0.0 3
2020-08-17 0.0 1
2020-08-24 0.0 1
2020-09-28 0.0 1
2020-10-05 0.0 1
2021-04-12 0.0 6
2021-04-19 0.143 6
2021-04-26 0.286 21
2021-05-03 0.188 21
2021-05-10 0.091 88
2021-05-17 0.141 88
2021-05-24 0.191 68
2021-05-31 0.198 68
2021-06-07 0.206 63
2021-06-14 0.19 63
2021-06-21 0.173 104
2021-06-28 0.128 104
2021-07-05 0.082 97
2021-07-12 0.051 97
2021-07-19 0.02 99
2021-07-26 0.04 99
2021-08-02 0.06 149
2021-08-09 0.064 149
2021-08-16 0.068 205
2021-08-23 0.058 205
2021-08-30 0.048 165
2021-09-06 0.038 165
2021-09-13 0.029 308
2021-09-20 0.018 308
2021-09-27 0.007 140
2021-10-04 0.004 140
2021-10-11 0.0 109
2021-10-18 0.016 109
2021-10-25 0.032 31
2021-11-01 0.016 31
2021-11-08 0.0 39
2021-11-15 0.0 39
2021-11-22 0.0 88
2021-11-29 0.0 88
2021-12-06 0.0 108
2021-12-13 0.0 108
2021-12-20 0.0 52
2021-12-27 0.0 52
2022-01-03 0.0 202
2022-01-10 0.0 202
2022-01-17 0.0 75
2022-01-24 0.0 75
2022-01-31 0.0 14
2022-02-07 0.0 14
2022-02-14 0.0 13
2022-02-21 0.0 13
2022-02-28 0.0 12
2022-03-07 0.0 12
2022-03-14 0.0 3
2022-03-21 0.0 3
2022-03-28 0.0 1
2022-04-04 0.0 1
2022-04-11 0.0 8
2022-04-18 0.0 8
2022-04-25 0.0 22
2022-05-02 0.0 22
2022-05-09 0.0 6
2022-05-16 0.0 6
2022-05-23 0.0 24
2022-05-30 0.0 24
2022-06-06 0.0 15
2022-06-13 0.0 15
2022-06-20 0.0 9
