week sequences_fraction total_sequences
2020-05-25 0.0 1
2020-06-01 0.0 1
2020-06-08 0.0 2
2020-06-15 0.0 2
2020-06-22 0.0 11
2020-06-29 0.0 11
2020-07-20 0.0 3
2020-07-27 0.0 3
2020-08-17 0.0 3
2020-08-24 0.0 3
2020-08-31 0.0 2
2020-09-07 0.0 2
2020-09-14 0.0 2
2020-09-21 0.0 2
2020-09-28 0.0 10
2020-10-05 0.0 10
2020-10-12 0.0 45
2020-10-19 0.0 45
2020-10-26 0.0 6
2020-11-02 0.0 6
2020-11-09 0.0 36
2020-11-16 0.0 36
2021-02-01 0.0 2
2021-02-08 0.0 2
2021-03-15 0.0 8
2021-03-22 0.134 8
2021-03-29 0.268 41
2021-04-05 0.134 41
2021-04-12 0.0 4
2021-04-19 0.034 4
2021-04-26 0.067 15
2021-05-03 0.33 15
2021-05-10 0.592 49
2021-05-17 0.674 49
2021-05-24 0.756 41
2021-05-31 0.702 41
2021-06-07 0.647 17
2021-06-14 0.655 17
2021-06-21 0.662 136
2021-06-28 0.654 136
2021-07-05 0.645 62
2021-07-12 0.586 62
2021-07-19 0.526 95
2021-07-26 0.405 95
2021-08-16 0.284 225
2021-08-23 0.337 225
2021-09-27 0.39 346
2021-10-04 0.326 346
2021-10-11 0.261 399
2021-10-18 0.203 399
2021-10-25 0.145 406
2021-11-01 0.112 406
2021-11-08 0.08 125
