week sequences_fraction total_sequences
2020-04-27 0.0 155
2020-05-04 0.0 155
2020-05-11 0.0 136
2020-05-18 0.0 136
2020-05-25 0.0 121
2020-06-01 0.0 121
2020-06-08 0.0 160
2020-06-15 0.0 160
2020-06-22 0.0 57
2020-06-29 0.0 57
2020-07-06 0.0 100
2020-07-13 0.0 100
2020-07-20 0.0 152
2020-07-27 0.0 152
2020-08-03 0.0 422
2020-08-10 0.0 422
2020-08-17 0.0 582
2020-08-24 0.0 582
2020-08-31 0.0 963
2020-09-07 0.0 963
2020-09-14 0.0 1589
2020-09-21 0.0 1589
2020-09-28 0.0 809
2020-10-05 0.0 809
2020-10-12 0.0 1417
2020-10-19 0.0 1417
2020-10-26 0.0 2920
2020-11-02 0.0 2920
2020-11-09 0.0 3059
2020-11-16 0.0 3059
2020-11-23 0.0 4965
2020-11-30 0.0 4965
2020-12-07 0.0 9126
2020-12-14 0.0 9126
2020-12-21 0.0 7544
2020-12-28 0.0 7544
2021-01-04 0.0 8410
2021-01-11 0.0 8410
2021-01-18 0.0 6155
2021-01-25 0.0 6155
2021-02-01 0.0 4113
2021-02-08 0.0 4113
2021-02-15 0.0 5004
2021-02-22 0.0 5004
2021-03-01 0.0 5637
2021-03-08 0.0 5637
2021-03-15 0.0 7052
2021-03-22 0.0 7052
2021-03-29 0.0 6778
2021-04-05 0.0 6778
2021-04-12 0.0 7132
2021-04-19 0.0 7132
2021-04-26 0.001 8559
2021-05-03 0.001 8559
2021-05-10 0.001 9450
2021-05-17 0.0 9450
2021-05-24 0.0 8413
2021-05-31 0.002 8413
2021-06-07 0.005 3006
2021-06-14 0.014 3006
2021-06-21 0.022 3033
2021-06-28 0.053 3033
2021-07-05 0.083 9018
2021-07-12 0.102 9018
2021-07-19 0.12 10307
2021-07-26 0.106 10307
2021-08-02 0.092 11138
2021-08-09 0.08 11138
2021-08-16 0.067 10602
2021-08-23 0.064 10602
2021-08-30 0.061 6140
2021-09-06 0.056 6140
2021-09-13 0.05 4055
2021-09-20 0.041 4055
2021-09-27 0.032 5919
2021-10-04 0.024 5919
2021-10-11 0.017 11136
2021-10-18 0.023 11136
2021-10-25 0.029 18511
2021-11-01 0.024 18511
2021-11-08 0.019 21800
2021-11-15 0.016 21800
2021-11-22 0.013 28985
2021-11-29 0.012 28985
2021-12-06 0.01 19685
2021-12-13 0.006 19685
2021-12-20 0.002 15339
2021-12-27 0.001 15339
2022-01-03 0.0 22011
2022-01-10 0.0 22011
2022-01-17 0.0 29912
2022-01-24 0.0 29912
2022-01-31 0.0 24747
2022-02-07 0.0 24747
2022-02-14 0.0 28515
2022-02-21 0.0 28515
2022-02-28 0.0 26634
2022-03-07 0.0 26634
2022-03-14 0.0 25639
2022-03-21 0.0 25639
2022-03-28 0.0 24368
2022-04-04 0.0 24368
2022-04-11 0.0 16419
2022-04-18 0.0 16419
2022-04-25 0.0 8665
2022-05-02 0.0 8665
2022-05-09 0.0 6190
2022-05-16 0.0 6190
2022-05-23 0.0 4430
2022-05-30 0.0 4430
2022-06-06 0.0 9257
2022-06-13 0.0 9257
2022-06-20 0.0 8473
2022-06-27 0.0 8473
2022-07-04 0.0 4310
