week sequences_fraction total_sequences
2020-04-27 0.0 1
2020-05-04 0.0 1
2020-05-11 0.0 1
2020-05-18 0.0 1
2020-05-25 0.0 18
2020-06-01 0.0 18
2020-06-08 0.0 7
2020-06-15 0.0 7
2020-06-22 0.0 16
2020-06-29 0.0 16
2020-07-06 0.0 5
2020-07-13 0.0 5
2020-07-20 0.0 42
2020-07-27 0.0 42
2020-08-03 0.0 7
2020-08-10 0.0 7
2020-08-17 0.0 1
2020-08-24 0.0 1
2020-08-31 0.0 3
2020-09-07 0.0 3
2020-09-14 0.0 1
2020-09-21 0.0 1
2020-10-12 0.0 1
2020-10-19 0.0 1
2020-11-23 0.0 7
2020-11-30 0.0 7
2020-12-07 0.0 50
2020-12-14 0.0 50
2020-12-21 0.0 1257
2020-12-28 0.0 1257
2021-01-04 0.0 1121
2021-01-11 0.0 1121
2021-01-18 0.0 1376
2021-01-25 0.0 1376
2021-02-01 0.0 1503
2021-02-08 0.0 1503
2021-02-15 0.0 1287
2021-02-22 0.0 1287
2021-03-01 0.0 1100
2021-03-08 0.0 1100
2021-03-15 0.0 674
2021-03-22 0.004 674
2021-03-29 0.008 789
2021-04-05 0.005 789
2021-04-12 0.002 409
2021-04-19 0.014 409
2021-04-26 0.027 262
2021-05-03 0.032 262
2021-05-10 0.038 157
2021-05-17 0.029 157
2021-05-24 0.02 51
2021-05-31 0.022 51
2021-06-07 0.024 170
2021-06-14 0.024 170
2021-06-21 0.025 1685
2021-06-28 0.048 1685
2021-07-05 0.072 318
2021-07-12 0.086 318
2021-07-19 0.101 587
2021-07-26 0.099 587
2021-08-02 0.097 1442
2021-08-09 0.072 1442
2021-08-16 0.046 1316
2021-08-23 0.033 1316
2021-08-30 0.02 1816
2021-09-06 0.012 1816
2021-09-13 0.005 916
2021-09-20 0.017 916
2021-09-27 0.03 838
2021-10-04 0.03 838
2021-10-11 0.029 1073
2021-10-18 0.024 1073
2021-10-25 0.02 864
2021-11-01 0.019 864
2021-11-08 0.018 1541
2021-11-15 0.018 1541
2021-11-22 0.017 1832
2021-11-29 0.012 1832
2021-12-06 0.008 1906
2021-12-13 0.006 1906
2021-12-20 0.004 2029
2021-12-27 0.002 2029
2022-01-03 0.0 2359
2022-01-10 0.0 2359
2022-01-17 0.0 3559
2022-01-24 0.0 3559
2022-01-31 0.0 2736
2022-02-07 0.0 2736
2022-02-14 0.0 4160
2022-02-21 0.0 4160
2022-02-28 0.0 3050
2022-03-07 0.0 3050
2022-03-14 0.0 5896
2022-03-21 0.0 5896
2022-03-28 0.0 2684
2022-04-04 0.0 2684
2022-04-11 0.0 3578
2022-04-18 0.0 3578
2022-04-25 0.0 4236
2022-05-02 0.0 4236
2022-05-09 0.0 4024
2022-05-16 0.0 4024
2022-05-23 0.0 2651
2022-05-30 0.0 2651
2022-06-06 0.0 6331
2022-06-13 0.0 6331
2022-06-20 0.0 7186
2022-06-27 0.0 7186
2022-07-04 0.0 4935
