week sequences_fraction total_sequences
2020-04-27 0.0 3
2020-05-04 0.0 3
2020-05-25 0.0 9
2020-06-01 0.0 9
2020-06-22 0.0 16
2020-06-29 0.0 16
2020-07-06 0.0 12
2020-07-13 0.0 12
2020-07-20 0.0 14
2020-07-27 0.0 14
2020-08-03 0.0 6
2020-08-10 0.0 6
2020-08-17 0.0 14
2020-08-24 0.0 14
2020-08-31 0.0 26
2020-09-07 0.0 26
2020-09-14 0.0 7
2020-09-21 0.0 7
2020-09-28 0.0 16
2020-10-05 0.0 16
2020-10-12 0.0 15
2020-10-19 0.0 15
2020-10-26 0.0 6
2020-11-02 0.0 6
2020-11-09 0.0 7
2020-11-16 0.0 7
2020-11-23 0.0 26
2020-11-30 0.0 26
2020-12-07 0.0 41
2020-12-14 0.0 41
2020-12-21 0.0 19
2020-12-28 0.0 19
2021-01-04 0.0 92
2021-01-11 0.0 92
2021-01-18 0.0 76
2021-01-25 0.0 76
2021-02-01 0.0 89
2021-02-08 0.0 89
2021-02-15 0.0 124
2021-02-22 0.0 124
2021-03-01 0.0 148
2021-03-08 0.0 148
2021-03-15 0.0 110
2021-03-22 0.0 110
2021-03-29 0.0 93
2021-04-05 0.0 93
2021-04-12 0.0 81
2021-04-19 0.0 81
2021-04-26 0.0 55
2021-05-03 0.0 55
2021-05-10 0.0 11
2021-05-17 0.0 11
2021-05-24 0.0 14
2021-05-31 0.0 14
2021-06-07 0.0 4
2021-06-14 0.056 4
2021-06-21 0.111 18
2021-06-28 0.072 18
2021-07-05 0.032 63
2021-07-12 0.06 63
2021-07-19 0.087 46
2021-07-26 0.091 46
2021-08-02 0.095 74
2021-08-09 0.088 74
2021-08-16 0.08 50
2021-08-23 0.04 50
2021-08-30 0.0 76
2021-09-06 0.027 76
2021-09-13 0.054 56
2021-09-20 0.037 56
2021-09-27 0.02 51
2021-10-04 0.045 51
2021-10-11 0.07 43
2021-10-18 0.068 43
2021-10-25 0.065 46
2021-11-01 0.074 46
2021-11-08 0.083 48
2021-11-15 0.06 48
2021-11-22 0.038 52
2021-11-29 0.034 52
2021-12-06 0.029 69
2021-12-13 0.041 69
2021-12-20 0.053 38
2021-12-27 0.026 38
2022-01-03 0.0 1
2022-01-10 0.018 1
2022-01-17 0.037 27
2022-01-24 0.018 27
2022-01-31 0.0 6
2022-02-07 0.0 6
2022-02-14 0.0 13
