week sequences_fraction total_sequences
2020-05-11 0.0 13
2020-05-18 0.0 13
2020-05-25 0.0 2
2020-06-01 0.0 2
2020-07-20 0.0 9
2020-07-27 0.0 9
2020-08-03 0.0 15
2020-08-10 0.0 15
2020-08-17 0.0 14
2020-08-24 0.0 14
2020-08-31 0.0 30
2020-09-07 0.0 30
2020-09-14 0.0 4
2020-09-21 0.0 4
2020-09-28 0.0 4
2020-10-05 0.0 4
2020-10-12 0.0 2
2020-10-19 0.0 2
2020-10-26 0.0 3
2020-11-02 0.0 3
2020-11-09 0.0 17
2020-11-16 0.0 17
2020-11-23 0.0 187
2020-11-30 0.0 187
2020-12-07 0.0 197
2020-12-14 0.0 197
2020-12-21 0.0 101
2020-12-28 0.0 101
2021-01-04 0.0 198
2021-01-11 0.0 198
2021-01-18 0.0 63
2021-01-25 0.0 63
2021-02-01 0.0 390
2021-02-08 0.0 390
2021-02-15 0.0 1451
2021-02-22 0.0 1451
2021-03-01 0.0 750
2021-03-08 0.0 750
2021-03-15 0.0 1847
2021-03-22 0.0 1847
2021-03-29 0.0 1693
2021-04-05 0.0 1693
2021-04-12 0.0 1741
2021-04-19 0.0 1741
2021-04-26 0.0 1542
2021-05-03 0.0 1542
2021-05-10 0.0 1492
2021-05-17 0.0 1492
2021-05-24 0.001 1349
2021-05-31 0.0 1349
2021-06-07 0.0 750
2021-06-14 0.002 750
2021-06-21 0.005 190
2021-06-28 0.005 190
2021-07-05 0.004 465
2021-07-12 0.006 465
2021-07-19 0.008 1382
2021-07-26 0.006 1382
2021-08-02 0.004 1550
2021-08-09 0.008 1550
2021-08-16 0.011 1399
2021-08-23 0.009 1399
2021-08-30 0.007 1196
2021-09-06 0.007 1196
2021-09-13 0.006 714
2021-09-20 0.008 714
2021-09-27 0.011 870
2021-10-04 0.006 870
2021-10-11 0.001 864
2021-10-18 0.002 864
2021-10-25 0.004 1139
2021-11-01 0.006 1139
2021-11-08 0.009 1061
2021-11-15 0.007 1061
2021-11-22 0.005 1493
2021-11-29 0.005 1493
2021-12-06 0.004 1741
2021-12-13 0.004 1741
2021-12-20 0.003 1634
2021-12-27 0.002 1634
2022-01-03 0.001 1277
2022-01-10 0.0 1277
2022-01-17 0.0 573
2022-01-24 0.0 573
2022-01-31 0.0 1221
2022-02-07 0.0 1221
2022-02-14 0.0 1315
2022-02-21 0.0 1315
2022-02-28 0.0 901
2022-03-07 0.0 901
2022-03-14 0.0 1256
2022-03-21 0.0 1256
2022-03-28 0.0 818
2022-04-04 0.0 818
2022-04-11 0.0 1045
2022-04-18 0.0 1045
2022-04-25 0.0 349
