week sequences_fraction total_sequences
2020-06-22 0.0 1
2020-06-29 0.0 1
2020-07-20 0.0 1
2020-07-27 0.0 1
2020-08-03 0.0 3
2020-08-10 0.0 3
2020-08-17 0.0 1
2020-08-24 0.0 1
2020-09-28 0.0 1
2020-10-05 0.334 1
2021-04-12 0.667 6
2021-04-19 0.428 6
2021-04-26 0.19 21
2021-05-03 0.18 21
2021-05-10 0.17 88
2021-05-17 0.218 88
2021-05-24 0.265 68
2021-05-31 0.228 68
2021-06-07 0.19 63
2021-06-14 0.191 63
2021-06-21 0.192 104
2021-06-28 0.194 104
2021-07-05 0.196 97
2021-07-12 0.194 97
2021-07-19 0.192 99
2021-07-26 0.23 99
2021-08-02 0.268 149
2021-08-09 0.22 149
2021-08-16 0.171 205
2021-08-23 0.155 205
2021-08-30 0.139 165
2021-09-06 0.141 165
2021-09-13 0.143 308
2021-09-20 0.14 308
2021-09-27 0.136 140
2021-10-04 0.119 140
2021-10-11 0.101 109
2021-10-18 0.099 109
2021-10-25 0.097 31
2021-11-01 0.1 31
2021-11-08 0.103 39
2021-11-15 0.108 39
2021-11-22 0.114 88
2021-11-29 0.098 88
2021-12-06 0.083 108
2021-12-13 0.042 108
2021-12-20 0.0 52
2021-12-27 0.002 52
2022-01-03 0.005 202
2022-01-10 0.002 202
2022-01-17 0.0 75
2022-01-24 0.0 75
2022-01-31 0.0 14
2022-02-07 0.0 14
2022-02-14 0.0 13
2022-02-21 0.0 13
2022-02-28 0.0 12
2022-03-07 0.0 12
2022-03-14 0.0 3
2022-03-21 0.0 3
2022-03-28 0.0 1
2022-04-04 0.0 1
2022-04-11 0.0 8
2022-04-18 0.0 8
2022-04-25 0.0 22
2022-05-02 0.0 22
2022-05-09 0.0 6
2022-05-16 0.0 6
2022-05-23 0.0 24
2022-05-30 0.0 24
2022-06-06 0.0 15
2022-06-13 0.0 15
2022-06-20 0.0 9
