week sequences_fraction total_sequences
2020-07-06 0.0 4
2020-07-13 0.0 4
2020-07-20 0.0 29
2020-07-27 0.0 29
2020-08-03 0.0 45
2020-08-10 0.0 45
2020-08-17 0.0 4
2020-08-24 0.0 4
2020-08-31 0.0 2
2020-09-07 0.0 2
2020-09-14 0.0 2
2020-09-21 0.0 2
2020-09-28 0.0 6
2020-10-05 0.0 6
2020-11-23 0.0 22
2020-11-30 0.0 22
2020-12-07 0.0 7
2020-12-14 0.0 7
2020-12-21 0.0 11
2020-12-28 0.0 11
2021-01-04 0.0 2
2021-01-11 0.0 2
2021-01-18 0.0 6
2021-01-25 0.0 6
2021-02-01 0.0 30
2021-02-08 0.0 30
2021-02-15 0.0 74
2021-02-22 0.0 74
2021-03-01 0.0 315
2021-03-08 0.0 315
2021-03-15 0.0 329
2021-03-22 0.0 329
2021-03-29 0.0 343
2021-04-05 0.0 343
2021-04-12 0.0 76
2021-04-19 0.0 76
2021-04-26 0.0 135
2021-05-03 0.0 135
2021-05-10 0.0 49
2021-05-17 0.0 49
2021-05-24 0.0 6
2021-05-31 0.0 6
2021-06-07 0.0 10
2021-06-14 0.0 10
2021-06-21 0.0 2
2021-06-28 0.334 2
2021-07-05 0.667 18
2021-07-12 0.369 18
2021-07-19 0.071 14
2021-07-26 0.062 14
2021-08-02 0.053 19
2021-08-09 0.108 19
2021-08-16 0.162 229
2021-08-23 0.202 229
2021-08-30 0.242 231
2021-09-06 0.42 231
2021-09-13 0.599 227
2021-09-20 0.595 227
2021-09-27 0.591 423
2021-10-04 0.592 423
2021-10-11 0.594 254
2021-10-18 0.58 254
2021-10-25 0.566 83
2021-11-01 0.514 83
2021-11-08 0.461 76
2021-11-15 0.436 76
2021-11-22 0.412 17
2021-11-29 0.524 17
2021-12-06 0.636 11
2021-12-13 0.596 11
2021-12-20 0.556 9
2021-12-27 0.312 9
2022-01-03 0.067 30
2022-01-10 0.034 30
2022-01-17 0.0 79
2022-01-24 0.0 79
2022-01-31 0.0 143
2022-02-07 0.0 143
2022-02-14 0.0 55
2022-02-21 0.0 55
2022-02-28 0.0 6
