week sequences_fraction total_sequences
2020-04-27 0.0 24
2020-05-04 0.0 24
2020-05-11 0.0 27
2020-05-18 0.0 27
2020-05-25 0.0 90
2020-06-01 0.0 90
2020-06-08 0.0 36
2020-06-15 0.0 36
2020-06-22 0.0 53
2020-06-29 0.0 53
2020-07-06 0.0 26
2020-07-13 0.0 26
2020-08-17 0.0 36
2020-08-24 0.0 36
2020-08-31 0.0 2
2020-09-07 0.0 2
2020-10-12 0.0 1
2020-10-19 0.0 1
2020-10-26 0.0 27
2020-11-02 0.0 27
2020-11-09 0.0 365
2020-11-16 0.0 365
2020-11-23 0.0 32
2020-11-30 0.0 32
2020-12-07 0.0 41
2020-12-14 0.0 41
2020-12-21 0.0 298
2020-12-28 0.0 298
2021-01-04 0.0 892
2021-01-11 0.0 892
2021-01-18 0.0 189
2021-01-25 0.0 189
2021-02-01 0.0 893
2021-02-08 0.0 893
2021-02-15 0.0 93
2021-02-22 0.0 93
2021-03-01 0.0 1059
2021-03-08 0.0 1059
2021-03-15 0.0 48
2021-03-22 0.0 48
2021-03-29 0.0 1164
2021-04-05 0.0 1164
2021-04-12 0.0 462
2021-04-19 0.002 462
2021-04-26 0.003 769
2021-05-03 0.008 769
2021-05-10 0.012 330
2021-05-17 0.017 330
2021-05-24 0.022 584
2021-05-31 0.018 584
2021-06-07 0.014 1050
2021-06-14 0.016 1050
2021-06-21 0.018 1254
2021-06-28 0.018 1254
2021-07-05 0.017 1334
2021-07-12 0.024 1334
2021-07-19 0.031 946
2021-07-26 0.031 946
2021-08-02 0.031 995
2021-08-09 0.03 995
2021-08-16 0.03 1002
2021-08-23 0.027 1002
2021-08-30 0.024 1068
2021-09-06 0.018 1068
2021-09-13 0.013 1057
2021-09-20 0.012 1057
2021-09-27 0.011 928
2021-10-04 0.013 928
2021-10-11 0.015 860
2021-10-18 0.008 860
2021-10-25 0.002 982
2021-11-01 0.008 982
2021-11-08 0.013 1030
2021-11-15 0.01 1030
2021-11-22 0.006 1120
2021-11-29 0.008 1120
2021-12-06 0.01 867
2021-12-13 0.007 867
2021-12-20 0.004 852
2021-12-27 0.002 852
2022-01-03 0.0 1076
2022-01-10 0.0 1076
2022-01-17 0.0 1034
2022-01-24 0.0 1034
2022-01-31 0.0 1051
2022-02-07 0.0 1051
2022-02-14 0.0 923
2022-02-21 0.0 923
2022-02-28 0.0 979
2022-03-07 0.0 979
2022-03-14 0.0 1122
2022-03-21 0.0 1122
2022-03-28 0.0 1146
2022-04-04 0.0 1146
2022-04-11 0.0 1081
2022-04-18 0.0 1081
2022-04-25 0.0 1109
2022-05-02 0.0 1109
2022-05-09 0.0 1128
2022-05-16 0.0 1128
2022-05-23 0.0 968
2022-05-30 0.0 968
2022-06-06 0.0 745
2022-06-13 0.0 745
2022-06-20 0.0 1223
2022-06-27 0.0 1223
2022-07-04 0.0 180
