week sequences_fraction total_sequences
2020-12-21 0.0 1
2020-12-28 0.0 1
2021-01-04 0.0 1
2021-01-11 0.0 1
2021-01-18 0.0 1
2021-01-25 0.0 1
2021-02-01 0.0 5
2021-02-08 0.0 5
2021-03-15 0.0 2
2021-03-22 0.166 2
2021-04-12 0.333 6
2021-04-19 0.582 6
2021-04-26 0.831 65
2021-05-03 0.884 65
2021-05-10 0.938 16
2021-05-17 0.969 16
2021-05-24 1.0 17
2021-05-31 1.0 17
2021-06-07 1.0 13
2021-06-14 1.0 13
2021-07-05 1.0 42
2021-07-12 1.0 42
2021-07-19 1.0 46
2021-07-26 0.986 46
2021-08-02 0.972 178
2021-08-09 0.978 178
2021-08-16 0.985 331
2021-08-23 0.992 331
2021-08-30 0.998 606
2021-09-06 0.944 606
2021-09-13 0.891 46
2021-09-20 0.908 46
2021-09-27 0.925 107
2021-10-04 0.962 107
2021-10-11 1.0 90
2021-10-18 0.958 90
2021-10-25 0.917 60
2021-11-01 0.912 60
2021-11-08 0.907 108
2021-11-15 0.94 108
2021-11-22 0.973 75
2021-11-29 0.976 75
2021-12-06 0.978 134
2021-12-13 0.842 134
2021-12-20 0.707 232
2021-12-27 0.564 232
2022-01-03 0.421 233
2022-01-10 0.342 233
2022-01-17 0.264 110
2022-01-24 0.44 110
2022-01-31 0.617 115
2022-02-07 0.406 115
2022-02-14 0.195 333
2022-02-21 0.11 333
2022-02-28 0.025 403
2022-03-07 0.016 403
2022-03-14 0.007 426
2022-03-21 0.004 426
2022-03-28 0.0 324
2022-04-04 0.002 324
2022-04-11 0.005 196
2022-04-18 0.011 196
2022-04-25 0.017 119
2022-05-02 0.008 119
2022-05-09 0.0 87
2022-05-16 0.012 87
2022-05-23 0.023 43
2022-05-30 0.076 43
2022-06-06 0.13 23
2022-06-13 0.258 23
2022-06-20 0.387 31
