week sequences_fraction total_sequences
2020-12-21 0.0 2
2020-12-28 0.0 2
2021-01-18 0.0 2
2021-01-25 0.406 2
2021-07-19 0.812 16
2021-07-26 0.406 16
2021-08-16 0.0 12
2021-08-23 0.034 12
2021-10-25 0.069 72
2021-11-01 0.096 72
2021-11-08 0.122 131
2021-11-15 0.086 131
2021-11-22 0.05 139
2021-11-29 0.06 139
2021-12-06 0.069 102
2021-12-13 0.081 102
2021-12-20 0.093 54
2021-12-27 0.07 54
2022-01-03 0.047 300
2022-01-10 0.034 300
2022-01-17 0.02 296
2022-01-24 0.01 296
2022-01-31 0.0 191
2022-02-07 0.0 191
2022-02-14 0.0 235
2022-02-21 0.0 235
2022-02-28 0.0 334
2022-03-07 0.0 334
2022-03-14 0.0 133
2022-03-21 0.0 133
2022-03-28 0.0 84
2022-04-04 0.0 84
2022-04-11 0.0 10
2022-04-18 0.0 10
2022-04-25 0.0 48
2022-05-02 0.0 48
2022-05-09 0.0 56
2022-05-16 0.0 56
2022-05-23 0.0 40
2022-05-30 0.0 40
2022-06-06 0.0 132
