week sequences_fraction total_sequences
2020-04-27 0.0 60
2020-05-04 0.0 60
2020-05-11 0.0 13
2020-05-18 0.0 13
2020-05-25 0.0 19
2020-06-01 0.0 19
2020-06-08 0.0 20
2020-06-15 0.0 20
2020-06-22 0.0 65
2020-06-29 0.0 65
2020-07-06 0.0 144
2020-07-13 0.0 144
2020-07-20 0.0 120
2020-07-27 0.0 120
2020-08-03 0.0 151
2020-08-10 0.0 151
2020-08-17 0.0 232
2020-08-24 0.0 232
2020-08-31 0.0 267
2020-09-07 0.0 267
2020-09-14 0.0 44
2020-09-21 0.0 44
2020-09-28 0.0 392
2020-10-05 0.0 392
2020-10-12 0.0 948
2020-10-19 0.0 948
2020-10-26 0.0 1492
2020-11-02 0.0 1492
2020-11-09 0.0 1515
2020-11-16 0.0 1515
2020-11-23 0.0 1220
2020-11-30 0.0 1220
2020-12-07 0.0 2032
2020-12-14 0.0 2032
2020-12-21 0.0 2580
2020-12-28 0.0 2580
2021-01-04 0.0 3150
2021-01-11 0.0 3150
2021-01-18 0.0 3077
2021-01-25 0.0 3077
2021-02-01 0.0 2215
2021-02-08 0.0 2215
2021-02-15 0.0 1735
2021-02-22 0.0 1735
2021-03-01 0.0 2209
2021-03-08 0.0 2209
2021-03-15 0.0 2304
2021-03-22 0.0 2304
2021-03-29 0.0 2696
2021-04-05 0.0 2696
2021-04-12 0.001 3625
2021-04-19 0.002 3625
2021-04-26 0.004 3424
2021-05-03 0.008 3424
2021-05-10 0.013 2397
2021-05-17 0.025 2397
2021-05-24 0.037 1505
2021-05-31 0.09 1505
2021-06-07 0.142 746
2021-06-14 0.304 746
2021-06-21 0.467 473
2021-06-28 0.633 473
2021-07-05 0.798 1830
2021-07-12 0.832 1830
2021-07-19 0.865 3432
2021-07-26 0.87 3432
2021-08-02 0.876 5780
2021-08-09 0.901 5780
2021-08-16 0.925 4933
2021-08-23 0.929 4933
2021-08-30 0.932 4357
2021-09-06 0.94 4357
2021-09-13 0.949 3851
2021-09-20 0.956 3851
2021-09-27 0.963 3006
2021-10-04 0.96 3006
2021-10-11 0.956 3714
2021-10-18 0.96 3714
2021-10-25 0.964 5595
2021-11-01 0.969 5595
2021-11-08 0.974 6321
2021-11-15 0.965 6321
2021-11-22 0.956 6012
2021-11-29 0.892 6012
2021-12-06 0.828 4878
2021-12-13 0.602 4878
2021-12-20 0.377 4412
2021-12-27 0.236 4412
2022-01-03 0.096 5620
2022-01-10 0.056 5620
2022-01-17 0.015 4842
2022-01-24 0.01 4842
2022-01-31 0.006 4773
2022-02-07 0.004 4773
2022-02-14 0.001 4351
2022-02-21 0.0 4351
2022-02-28 0.0 3479
2022-03-07 0.0 3479
2022-03-14 0.0 3079
2022-03-21 0.0 3079
2022-03-28 0.0 1219
2022-04-04 0.0 1219
2022-04-11 0.0 928
2022-04-18 0.0 928
2022-04-25 0.0 777
2022-05-02 0.0 777
2022-05-09 0.001 941
2022-05-16 0.002 941
2022-05-23 0.002 1010
2022-05-30 0.001 1010
2022-06-06 0.0 937
2022-06-13 0.0 937
2022-06-20 0.0 861
2022-06-27 0.0 861
2022-07-04 0.0 111
