week sequences_fraction total_sequences
2020-04-27 0.0 155
2020-05-04 0.0 155
2020-05-11 0.0 136
2020-05-18 0.0 136
2020-05-25 0.0 121
2020-06-01 0.0 121
2020-06-08 0.0 160
2020-06-15 0.0 160
2020-06-22 0.0 57
2020-06-29 0.0 57
2020-07-06 0.0 100
2020-07-13 0.0 100
2020-07-20 0.0 152
2020-07-27 0.0 152
2020-08-03 0.0 422
2020-08-10 0.0 422
2020-08-17 0.0 582
2020-08-24 0.0 582
2020-08-31 0.0 963
2020-09-07 0.0 963
2020-09-14 0.0 1589
2020-09-21 0.0 1589
2020-09-28 0.0 809
2020-10-05 0.0 809
2020-10-12 0.0 1417
2020-10-19 0.0 1417
2020-10-26 0.0 2920
2020-11-02 0.0 2920
2020-11-09 0.0 3059
2020-11-16 0.0 3059
2020-11-23 0.0 4965
2020-11-30 0.0 4965
2020-12-07 0.0 9126
2020-12-14 0.0 9126
2020-12-21 0.0 7544
2020-12-28 0.0 7544
2021-01-04 0.0 8410
2021-01-11 0.0 8410
2021-01-18 0.0 6155
2021-01-25 0.0 6155
2021-02-01 0.0 4113
2021-02-08 0.0 4113
2021-02-15 0.0 5004
2021-02-22 0.0 5004
2021-03-01 0.0 5637
2021-03-08 0.0 5637
2021-03-15 0.0 7052
2021-03-22 0.0 7052
2021-03-29 0.0 6778
2021-04-05 0.0 6778
2021-04-12 0.001 7132
2021-04-19 0.002 7132
2021-04-26 0.002 8559
2021-05-03 0.002 8559
2021-05-10 0.002 9450
2021-05-17 0.003 9450
2021-05-24 0.004 8413
2021-05-31 0.024 8413
2021-06-07 0.043 3006
2021-06-14 0.301 3006
2021-06-21 0.558 3033
2021-06-28 0.678 3033
2021-07-05 0.797 9018
2021-07-12 0.818 9018
2021-07-19 0.84 10307
2021-07-26 0.863 10307
2021-08-02 0.886 11138
2021-08-09 0.903 11138
2021-08-16 0.92 10602
2021-08-23 0.923 10602
2021-08-30 0.926 6140
2021-09-06 0.933 6140
2021-09-13 0.94 4055
2021-09-20 0.954 4055
2021-09-27 0.967 5919
2021-10-04 0.975 5919
2021-10-11 0.983 11136
2021-10-18 0.977 11136
2021-10-25 0.971 18511
2021-11-01 0.976 18511
2021-11-08 0.981 21800
2021-11-15 0.979 21800
2021-11-22 0.977 28985
2021-11-29 0.867 28985
2021-12-06 0.758 19685
2021-12-13 0.452 19685
2021-12-20 0.147 15339
2021-12-27 0.083 15339
2022-01-03 0.02 22011
2022-01-10 0.011 22011
2022-01-17 0.002 29912
2022-01-24 0.001 29912
2022-01-31 0.0 24747
2022-02-07 0.0 24747
2022-02-14 0.0 28515
2022-02-21 0.0 28515
2022-02-28 0.0 26634
2022-03-07 0.0 26634
2022-03-14 0.0 25639
2022-03-21 0.0 25639
2022-03-28 0.0 24368
2022-04-04 0.0 24368
2022-04-11 0.0 16419
2022-04-18 0.0 16419
2022-04-25 0.0 8665
2022-05-02 0.0 8665
2022-05-09 0.0 6190
2022-05-16 0.0 6190
2022-05-23 0.0 4430
2022-05-30 0.0 4430
2022-06-06 0.0 9257
2022-06-13 0.0 9257
2022-06-20 0.0 8473
2022-06-27 0.0 8473
2022-07-04 0.0 4310
