week sequences_fraction total_sequences
2020-04-27 0.0 439
2020-05-04 0.0 439
2020-05-11 0.0 530
2020-05-18 0.0 530
2020-05-25 0.0 546
2020-06-01 0.0 546
2020-06-08 0.0 734
2020-06-15 0.0 734
2020-06-22 0.0 267
2020-06-29 0.0 267
2020-07-06 0.0 315
2020-07-13 0.0 315
2020-07-20 0.0 379
2020-07-27 0.0 379
2020-08-03 0.0 404
2020-08-10 0.0 404
2020-08-17 0.0 304
2020-08-24 0.0 304
2020-08-31 0.0 426
2020-09-07 0.0 426
2020-09-14 0.0 384
2020-09-21 0.0 384
2020-09-28 0.0 385
2020-10-05 0.0 385
2020-10-12 0.0 267
2020-10-19 0.002 267
2020-10-26 0.003 296
2020-11-02 0.004 296
2020-11-09 0.005 185
2020-11-16 0.004 185
2020-11-23 0.003 959
2020-11-30 0.002 959
2020-12-07 0.0 1343
2020-12-14 0.002 1343
2020-12-21 0.003 1145
2020-12-28 0.045 1145
2021-01-04 0.087 990
2021-01-11 0.048 990
2021-01-18 0.008 878
2021-01-25 0.052 878
2021-02-01 0.096 1257
2021-02-08 0.05 1257
2021-02-15 0.005 1280
2021-02-22 0.014 1280
2021-03-01 0.022 2077
2021-03-08 0.027 2077
2021-03-15 0.032 2805
2021-03-22 0.061 2805
2021-03-29 0.09 4645
2021-04-05 0.145 4645
2021-04-12 0.2 5632
2021-04-19 0.241 5632
2021-04-26 0.281 6015
2021-05-03 0.35 6015
2021-05-10 0.419 4737
2021-05-17 0.465 4737
2021-05-24 0.511 3444
2021-05-31 0.54 3444
2021-06-07 0.569 3195
2021-06-14 0.605 3195
2021-06-21 0.641 3146
2021-06-28 0.656 3146
2021-07-05 0.671 3166
2021-07-12 0.724 3166
2021-07-19 0.777 2887
2021-07-26 0.783 2887
2021-08-02 0.789 2975
2021-08-09 0.796 2975
2021-08-16 0.802 3685
2021-08-23 0.819 3685
2021-08-30 0.836 4440
2021-09-06 0.847 4440
2021-09-13 0.858 3572
2021-09-20 0.85 3572
2021-09-27 0.843 4006
2021-10-04 0.87 4006
2021-10-11 0.898 3567
2021-10-18 0.912 3567
2021-10-25 0.926 3381
2021-11-01 0.934 3381
2021-11-08 0.942 2753
2021-11-15 0.944 2753
2021-11-22 0.946 3672
2021-11-29 0.898 3672
2021-12-06 0.851 3722
2021-12-13 0.578 3722
2021-12-20 0.306 10232
2021-12-27 0.171 10232
2022-01-03 0.036 9660
2022-01-10 0.019 9660
2022-01-17 0.002 8138
2022-01-24 0.002 8138
2022-01-31 0.002 9304
2022-02-07 0.002 9304
2022-02-14 0.003 3945
2022-02-21 0.002 3945
2022-02-28 0.001 1468
2022-03-07 0.0 1468
2022-03-14 0.0 664
2022-03-21 0.0 664
2022-03-28 0.0 485
2022-04-04 0.0 485
2022-04-11 0.001 863
2022-04-18 0.001 863
2022-04-25 0.001 1115
2022-05-02 0.002 1115
2022-05-09 0.003 982
2022-05-16 0.002 982
2022-05-23 0.001 1414
2022-05-30 0.0 1414
2022-06-06 0.0 2644
2022-06-13 0.0 2644
2022-06-20 0.001 1500
