week sequences_fraction total_sequences
2020-07-20 0.0 50
2020-07-27 0.0 50
2020-08-03 0.0 79
2020-08-10 0.0 79
2020-08-17 0.0 74
2020-08-24 0.0 74
2020-08-31 0.0 41
2020-09-07 0.0 41
2020-09-14 0.0 453
2020-09-21 0.0 453
2020-09-28 0.0 837
2020-10-05 0.0 837
2020-10-12 0.0 776
2020-10-19 0.0 776
2020-10-26 0.0 520
2020-11-02 0.0 520
2020-11-09 0.0 158
2020-11-16 0.0 158
2020-11-23 0.0 176
2020-11-30 0.0 176
2020-12-07 0.0 145
2020-12-14 0.0 145
2020-12-21 0.0 137
2020-12-28 0.0 137
2021-01-04 0.0 159
2021-01-11 0.0 159
2021-01-18 0.0 30
2021-01-25 0.0 30
2021-02-01 0.0 21
2021-02-08 0.0 21
2021-02-15 0.0 13
2021-02-22 0.0 13
2021-03-01 0.0 24
2021-03-08 0.0 24
2021-03-15 0.0 86
2021-03-22 0.0 86
2021-03-29 0.0 80
2021-04-05 0.0 80
2021-04-12 0.0 142
2021-04-19 0.0 142
2021-04-26 0.0 93
2021-05-03 0.027 93
2021-05-10 0.054 37
2021-05-17 0.05 37
2021-05-24 0.047 43
2021-05-31 0.104 43
2021-06-07 0.16 25
2021-06-14 0.236 25
2021-06-21 0.312 32
2021-06-28 0.477 32
2021-07-05 0.641 117
2021-07-12 0.57 117
2021-07-19 0.499 1161
2021-07-26 0.442 1161
2021-08-02 0.385 1456
2021-08-09 0.473 1456
2021-08-16 0.561 953
2021-08-23 0.28 953
2021-08-30 0.0 2
2021-09-06 0.0 2
2022-04-25 0.0 5
