week sequences_fraction total_sequences
2020-04-27 0.0 111
2020-05-04 0.0 111
2020-05-11 0.0 49
2020-05-18 0.0 49
2020-05-25 0.0 35
2020-06-01 0.0 35
2020-06-08 0.0 50
2020-06-15 0.0 50
2020-06-22 0.0 107
2020-06-29 0.0 107
2020-07-06 0.0 32
2020-07-13 0.0 32
2020-07-20 0.0 22
2020-07-27 0.0 22
2020-08-03 0.0 30
2020-08-10 0.0 30
2020-08-17 0.0 133
2020-08-24 0.0 133
2020-08-31 0.0 156
2020-09-07 0.0 156
2020-09-14 0.0 159
2020-09-21 0.0 159
2020-09-28 0.0 148
2020-10-05 0.0 148
2020-10-12 0.0 210
2020-10-19 0.0 210
2020-10-26 0.0 476
2020-11-02 0.0 476
2020-11-09 0.0 232
2020-11-16 0.0 232
2020-11-23 0.0 262
2020-11-30 0.0 262
2020-12-07 0.0 674
2020-12-14 0.0 674
2020-12-21 0.001 735
2020-12-28 0.002 735
2021-01-04 0.004 969
2021-01-11 0.002 969
2021-01-18 0.0 850
2021-01-25 0.0 850
2021-02-01 0.0 2055
2021-02-08 0.0 2055
2021-02-15 0.0 3094
2021-02-22 0.0 3094
2021-03-01 0.0 4334
2021-03-08 0.014 4334
2021-03-15 0.027 4225
2021-03-22 0.014 4225
2021-03-29 0.001 3671
2021-04-05 0.001 3671
2021-04-12 0.001 4313
2021-04-19 0.014 4313
2021-04-26 0.027 2722
2021-05-03 0.022 2722
2021-05-10 0.017 2581
2021-05-17 0.04 2581
2021-05-24 0.064 1612
2021-05-31 0.096 1612
2021-06-07 0.128 1370
2021-06-14 0.204 1370
2021-06-21 0.279 2259
2021-06-28 0.466 2259
2021-07-05 0.653 3541
2021-07-12 0.72 3541
2021-07-19 0.787 4230
2021-07-26 0.814 4230
2021-08-02 0.841 3046
2021-08-09 0.843 3046
2021-08-16 0.846 2906
2021-08-23 0.863 2906
2021-08-30 0.881 2310
2021-09-06 0.881 2310
2021-09-13 0.88 2253
2021-09-20 0.886 2253
2021-09-27 0.892 2050
2021-10-04 0.9 2050
2021-10-11 0.907 2163
2021-10-18 0.93 2163
2021-10-25 0.952 3019
2021-11-01 0.956 3019
2021-11-08 0.96 3466
2021-11-15 0.963 3466
2021-11-22 0.966 3034
2021-11-29 0.938 3034
2021-12-06 0.911 3864
2021-12-13 0.674 3864
2021-12-20 0.438 4750
2021-12-27 0.283 4750
2022-01-03 0.128 3712
2022-01-10 0.082 3712
2022-01-17 0.036 3657
2022-01-24 0.024 3657
2022-01-31 0.013 4094
2022-02-07 0.008 4094
2022-02-14 0.003 1755
2022-02-21 0.002 1755
2022-02-28 0.001 2347
2022-03-07 0.0 2347
2022-03-14 0.0 2424
2022-03-21 0.0 2424
2022-03-28 0.0 3207
2022-04-04 0.0 3207
2022-04-11 0.0 2237
2022-04-18 0.0 2237
2022-04-25 0.0 2433
2022-05-02 0.0 2433
2022-05-09 0.0 1519
2022-05-16 0.0 1519
2022-05-23 0.0 1329
2022-05-30 0.0 1329
2022-06-06 0.0 1837
2022-06-13 0.0 1837
2022-06-20 0.0 1122
2022-06-27 0.0 1122
2022-07-04 0.0 1099
