week sequences_fraction total_sequences
2020-04-27 0.0 7
2020-05-04 0.0 7
2020-05-11 0.0 14
2020-05-18 0.0 14
2020-05-25 0.0 8
2020-06-01 0.0 8
2020-06-08 0.0 3
2020-06-15 0.0 3
2020-07-06 0.0 2
2020-07-13 0.0 2
2020-07-20 0.0 6
2020-07-27 0.0 6
2020-08-03 0.0 7
2020-08-10 0.0 7
2020-08-17 0.0 1
2020-08-24 0.0 1
2020-08-31 0.0 23
2020-09-07 0.0 23
2020-09-28 0.0 25
2020-10-05 0.0 25
2020-10-12 0.0 44
2020-10-19 0.0 44
2020-10-26 0.0 75
2020-11-02 0.0 75
2020-11-09 0.0 62
2020-11-16 0.0 62
2020-11-23 0.0 42
2020-11-30 0.0 42
2020-12-07 0.0 60
2020-12-14 0.0 60
2020-12-21 0.0 37
2020-12-28 0.01 37
2021-01-04 0.02 148
2021-01-11 0.01 148
2021-01-18 0.0 135
2021-01-25 0.0 135
2021-02-01 0.0 88
2021-02-08 0.0 88
2021-02-15 0.0 91
2021-02-22 0.06 91
2021-03-01 0.119 59
2021-03-08 0.068 59
2021-03-15 0.017 58
2021-03-22 0.03 58
2021-03-29 0.044 137
2021-04-05 0.022 137
2021-04-12 0.0 121
2021-04-19 0.028 121
2021-04-26 0.056 143
2021-05-03 0.04 143
2021-05-10 0.024 84
2021-05-17 0.07 84
2021-05-24 0.115 131
2021-05-31 0.21 131
2021-06-07 0.306 72
2021-06-14 0.304 72
2021-06-21 0.302 126
2021-06-28 0.271 126
2021-07-05 0.241 87
2021-07-12 0.305 87
2021-07-19 0.369 301
2021-07-26 0.459 301
2021-08-02 0.549 568
2021-08-09 0.552 568
2021-08-16 0.555 703
2021-08-23 0.583 703
2021-08-30 0.611 854
2021-09-06 0.665 854
2021-09-13 0.719 716
2021-09-20 0.701 716
2021-09-27 0.683 622
2021-10-04 0.685 622
2021-10-11 0.687 393
2021-10-18 0.666 393
2021-10-25 0.645 468
2021-11-01 0.69 468
2021-11-08 0.736 416
2021-11-15 0.71 416
2021-11-22 0.684 488
2021-11-29 0.615 488
2021-12-06 0.546 557
2021-12-13 0.383 557
2021-12-20 0.22 1113
2021-12-27 0.277 1113
2022-01-03 0.334 617
2022-01-10 0.228 617
2022-01-17 0.122 850
2022-01-24 0.069 850
2022-01-31 0.016 1113
2022-02-07 0.012 1113
2022-02-14 0.008 1109
2022-02-21 0.006 1109
2022-02-28 0.003 773
2022-03-07 0.002 773
2022-03-14 0.0 3741
2022-03-21 0.0 3741
2022-03-28 0.001 1127
2022-04-04 0.002 1127
2022-04-11 0.003 740
2022-04-18 0.002 740
2022-04-25 0.002 426
2022-05-02 0.001 426
2022-05-09 0.0 356
2022-05-16 0.0 356
2022-05-23 0.0 94
2022-05-30 0.0 94
2022-06-06 0.0 164
2022-06-13 0.0 164
2022-06-20 0.0 35
