week sequences_fraction total_sequences
2020-04-27 0.0 66
2020-05-04 0.0 66
2020-05-11 0.0 140
2020-05-18 0.0 140
2020-05-25 0.0 181
2020-06-01 0.0 181
2020-06-08 0.0 109
2020-06-15 0.0 109
2020-06-22 0.0 80
2020-06-29 0.0 80
2020-07-06 0.0 84
2020-07-13 0.0 84
2020-07-20 0.0 55
2020-07-27 0.0 55
2020-08-03 0.0 206
2020-08-10 0.0 206
2020-08-17 0.0 310
2020-08-24 0.0 310
2020-08-31 0.0 293
2020-09-07 0.0 293
2020-09-14 0.0 358
2020-09-21 0.0 358
2020-09-28 0.0 548
2020-10-05 0.0 548
2020-10-12 0.0 301
2020-10-19 0.0 301
2020-10-26 0.0 168
2020-11-02 0.0 168
2020-11-09 0.0 318
2020-11-16 0.0 318
2020-11-23 0.0 140
2020-11-30 0.0 140
2020-12-07 0.0 177
2020-12-14 0.0 177
2020-12-21 0.0 216
2020-12-28 0.0 216
2021-01-04 0.0 69
2021-01-11 0.0 69
2021-01-18 0.0 36
2021-01-25 0.0 36
2021-02-01 0.0 94
2021-02-08 0.0 94
2021-02-15 0.0 215
2021-02-22 0.003 215
2021-03-01 0.006 179
2021-03-08 0.003 179
2021-03-15 0.0 141
2021-03-22 0.0 141
2021-03-29 0.0 219
2021-04-05 0.012 219
2021-04-12 0.023 262
2021-04-19 0.088 262
2021-04-26 0.152 210
2021-05-03 0.338 210
2021-05-10 0.524 374
2021-05-17 0.643 374
2021-05-24 0.762 432
2021-05-31 0.83 432
2021-06-07 0.899 948
2021-06-14 0.924 948
2021-06-21 0.949 336
2021-06-28 0.962 336
2021-07-05 0.974 573
2021-07-12 0.962 573
2021-07-19 0.949 178
2021-07-26 0.939 178
2021-08-02 0.929 239
2021-08-09 0.957 239
2021-08-16 0.985 196
2021-08-23 0.986 196
2021-08-30 0.986 288
2021-09-06 0.99 288
2021-09-13 0.993 289
2021-09-20 0.991 289
2021-09-27 0.989 379
2021-10-04 0.988 379
2021-10-11 0.987 838
2021-10-18 0.99 838
2021-10-25 0.994 634
2021-11-01 0.993 634
2021-11-08 0.992 621
2021-11-15 0.98 621
2021-11-22 0.968 378
2021-11-29 0.877 378
2021-12-06 0.786 346
2021-12-13 0.655 346
2021-12-20 0.523 300
2021-12-27 0.456 300
2022-01-03 0.389 450
2022-01-10 0.27 450
2022-01-17 0.15 513
2022-01-24 0.092 513
2022-01-31 0.033 492
2022-02-07 0.019 492
2022-02-14 0.004 508
2022-02-21 0.004 508
2022-02-28 0.004 253
2022-03-07 0.002 253
2022-03-14 0.0 13
2022-03-21 0.0 13
2022-03-28 0.0 49
2022-04-04 0.125 49
2022-04-11 0.25 4
2022-04-18 0.125 4
2022-04-25 0.0 50
2022-05-02 0.0 50
2022-05-09 0.0 142
2022-05-16 0.0 142
2022-05-23 0.0 83
2022-05-30 0.0 83
2022-06-06 0.0 59
2022-06-13 0.0 59
2022-06-20 0.0 121
