week sequences_fraction total_sequences
2020-12-21 0.0 1
2020-12-28 0.0 1
2021-01-04 0.0 1
2021-01-11 0.0 1
2021-01-18 0.0 1
2021-01-25 0.0 1
2021-02-01 0.0 5
2021-02-08 0.0 5
2021-03-15 0.0 2
2021-03-22 0.084 2
2021-04-12 0.167 6
2021-04-19 0.107 6
2021-04-26 0.046 65
2021-05-03 0.023 65
2021-05-10 0.0 16
2021-05-17 0.0 16
2021-05-24 0.0 17
2021-05-31 0.0 17
2021-06-07 0.0 13
2021-06-14 0.0 13
2021-07-05 0.0 42
2021-07-12 0.0 42
2021-07-19 0.0 46
2021-07-26 0.008 46
2021-08-02 0.017 178
2021-08-09 0.016 178
2021-08-16 0.015 331
2021-08-23 0.008 331
2021-08-30 0.002 606
2021-09-06 0.001 606
2021-09-13 0.0 46
2021-09-20 0.004 46
2021-09-27 0.009 107
2021-10-04 0.004 107
2021-10-11 0.0 90
2021-10-18 0.042 90
2021-10-25 0.083 60
2021-11-01 0.078 60
2021-11-08 0.074 108
2021-11-15 0.05 108
2021-11-22 0.027 75
2021-11-29 0.024 75
2021-12-06 0.022 134
2021-12-13 0.05 134
2021-12-20 0.078 232
2021-12-27 0.076 232
2022-01-03 0.073 233
2022-01-10 0.041 233
2022-01-17 0.009 110
2022-01-24 0.004 110
2022-01-31 0.0 115
2022-02-07 0.003 115
2022-02-14 0.006 333
2022-02-21 0.007 333
2022-02-28 0.007 403
2022-03-07 0.005 403
2022-03-14 0.002 426
2022-03-21 0.001 426
2022-03-28 0.0 324
2022-04-04 0.0 324
2022-04-11 0.0 196
2022-04-18 0.0 196
2022-04-25 0.0 119
2022-05-02 0.0 119
2022-05-09 0.0 87
2022-05-16 0.0 87
2022-05-23 0.0 43
2022-05-30 0.0 43
2022-06-06 0.0 23
2022-06-13 0.0 23
2022-06-20 0.0 31
