week sequences_fraction total_sequences
2020-04-27 0.0 127
2020-05-04 0.0 127
2020-05-11 0.0 156
2020-05-18 0.0 156
2020-05-25 0.0 105
2020-06-01 0.0 105
2020-06-08 0.0 102
2020-06-15 0.0 102
2020-06-22 0.0 155
2020-06-29 0.0 155
2020-07-06 0.0 181
2020-07-13 0.0 181
2020-07-20 0.0 86
2020-07-27 0.0 86
2020-08-03 0.0 54
2020-08-10 0.0 54
2020-08-17 0.0 26
2020-08-24 0.0 26
2020-08-31 0.0 93
2020-09-07 0.0 93
2020-09-14 0.0 13
2020-09-21 0.0 13
2020-09-28 0.0 23
2020-10-05 0.0 23
2020-10-12 0.0 15
2020-10-19 0.0 15
2020-10-26 0.0 18
2020-11-02 0.0 18
2020-11-09 0.0 26
2020-11-16 0.0 26
2020-11-23 0.0 48
2020-11-30 0.0 48
2020-12-07 0.0 20
2020-12-14 0.022 20
2020-12-21 0.045 44
2020-12-28 0.231 44
2021-01-04 0.417 24
2021-01-11 0.243 24
2021-01-18 0.069 58
2021-01-25 0.166 58
2021-02-01 0.263 19
2021-02-08 0.373 19
2021-02-15 0.483 29
2021-02-22 0.308 29
2021-03-01 0.132 91
2021-03-08 0.146 91
2021-03-15 0.159 107
2021-03-22 0.122 107
2021-03-29 0.084 131
2021-04-05 0.08 131
2021-04-12 0.075 93
2021-04-19 0.088 93
2021-04-26 0.1 40
2021-05-03 0.064 40
2021-05-10 0.027 73
2021-05-17 0.033 73
2021-05-24 0.039 77
2021-05-31 0.02 77
2021-06-07 0.0 81
2021-06-14 0.002 81
2021-06-21 0.004 236
2021-06-28 0.002 236
2021-07-05 0.0 396
2021-07-12 0.0 396
2021-07-19 0.0 231
2021-07-26 0.0 231
2021-08-02 0.0 350
2021-08-09 0.0 350
2021-08-16 0.0 203
2021-08-23 0.0 203
2021-08-30 0.0 156
2021-09-06 0.0 156
2021-09-13 0.0 146
2021-09-20 0.0 146
2021-09-27 0.0 142
2021-10-04 0.0 142
2021-10-11 0.0 125
2021-10-18 0.0 125
2021-10-25 0.0 98
2021-11-01 0.0 98
2021-11-08 0.0 124
2021-11-15 0.0 124
2021-11-22 0.0 143
2021-11-29 0.0 143
2021-12-06 0.0 120
2021-12-13 0.0 120
2021-12-20 0.0 142
2021-12-27 0.0 142
2022-01-03 0.0 372
2022-01-10 0.0 372
2022-01-17 0.0 322
2022-01-24 0.0 322
2022-01-31 0.0 183
2022-02-07 0.0 183
2022-02-14 0.0 114
2022-02-21 0.0 114
2022-02-28 0.0 48
2022-03-07 0.0 48
2022-03-14 0.0 20
2022-03-21 0.0 20
2022-03-28 0.0 6
2022-04-04 0.0 6
2022-04-11 0.0 2
2022-04-18 0.0 2
2022-04-25 0.0 4
2022-05-02 0.0 4
2022-05-09 0.0 2
2022-05-16 0.0 2
2022-05-23 0.0 9
2022-05-30 0.0 9
2022-06-06 0.0 72
2022-06-13 0.0 72
2022-06-20 0.0 95
