week sequences_fraction total_sequences
2020-05-11 0.0 17
2020-05-18 0.0 17
2020-05-25 0.0 7
2020-06-01 0.0 7
2020-06-08 0.0 3
2020-06-15 0.0 3
2020-06-22 0.0 1
2020-06-29 0.0 1
2020-07-06 0.0 11
2020-07-13 0.0 11
2020-07-20 0.0 43
2020-07-27 0.0 43
2020-08-03 0.0 5
2020-08-10 0.0 5
2020-08-17 0.0 23
2020-08-24 0.0 23
2020-08-31 0.0 16
2020-09-07 0.0 16
2020-09-28 0.0 2
2020-10-05 0.0 2
2020-10-26 0.0 17
2020-11-02 0.031 17
2020-11-09 0.062 16
2020-11-16 0.031 16
2020-11-23 0.0 31
2020-11-30 0.052 31
2020-12-07 0.105 19
2020-12-14 0.263 19
2020-12-21 0.421 19
2020-12-28 0.522 19
2021-01-04 0.623 175
2021-01-11 0.653 175
2021-01-18 0.683 41
2021-01-25 0.647 41
2021-02-01 0.61 100
2021-02-08 0.584 100
2021-02-15 0.558 86
2021-02-22 0.548 86
2021-03-01 0.538 93
2021-03-08 0.471 93
2021-03-15 0.404 57
2021-03-22 0.481 57
2021-03-29 0.558 77
2021-04-05 0.44 77
2021-04-12 0.322 87
2021-04-19 0.208 87
2021-04-26 0.093 54
2021-05-03 0.087 54
2021-05-10 0.081 74
2021-05-17 0.046 74
2021-05-24 0.012 81
2021-05-31 0.02 81
2021-06-07 0.028 72
2021-06-14 0.014 72
2021-06-21 0.0 79
2021-06-28 0.0 79
2021-07-05 0.0 193
2021-07-12 0.0 193
2021-07-19 0.0 108
2021-07-26 0.0 108
2021-08-02 0.0 108
2021-08-09 0.0 108
2021-08-16 0.0 42
2021-08-23 0.0 42
2021-08-30 0.0 63
2021-09-06 0.0 63
2021-09-13 0.0 142
2021-09-20 0.0 142
2021-09-27 0.0 50
2021-10-04 0.0 50
2021-10-11 0.0 51
2021-10-18 0.0 51
2021-10-25 0.0 32
2021-11-01 0.0 32
2021-11-08 0.0 26
2021-11-15 0.0 26
2021-11-22 0.0 66
2021-11-29 0.0 66
2021-12-06 0.0 293
2021-12-13 0.0 293
2021-12-20 0.0 190
2021-12-27 0.0 190
2022-01-03 0.0 76
2022-01-10 0.0 76
2022-01-17 0.0 2
2022-01-24 0.0 2
2022-01-31 0.0 10
2022-02-07 0.0 10
2022-02-14 0.0 4
2022-02-21 0.0 4
2022-03-28 0.0 1
2022-04-04 0.0 1
2022-05-09 0.0 1
2022-05-16 0.0 1
2022-05-23 0.0 43
2022-05-30 0.0 43
2022-06-06 0.0 45
