week sequences_fraction total_sequences
2020-04-27 0.0 62
2020-05-04 0.0 62
2020-05-11 0.0 89
2020-05-18 0.0 89
2020-05-25 0.0 33
2020-06-01 0.0 33
2020-06-08 0.0 49
2020-06-15 0.0 49
2020-06-22 0.0 87
2020-06-29 0.0 87
2020-07-06 0.0 70
2020-07-13 0.0 70
2020-07-20 0.0 37
2020-07-27 0.0 37
2020-08-03 0.0 68
2020-08-10 0.0 68
2020-08-17 0.0 39
2020-08-24 0.0 39
2020-08-31 0.0 45
2020-09-07 0.0 45
2020-09-14 0.0 21
2020-09-21 0.0 21
2020-09-28 0.0 66
2020-10-05 0.0 66
2020-10-12 0.0 181
2020-10-19 0.0 181
2020-10-26 0.0 358
2020-11-02 0.0 358
2020-11-09 0.0 226
2020-11-16 0.0 226
2020-11-23 0.0 145
2020-11-30 0.008 145
2020-12-07 0.016 63
2020-12-14 0.054 63
2020-12-21 0.091 22
2020-12-28 0.114 22
2021-01-04 0.136 44
2021-01-11 0.222 44
2021-01-18 0.308 39
2021-01-25 0.481 39
2021-02-01 0.654 52
2021-02-08 0.655 52
2021-02-15 0.655 139
2021-02-22 0.65 139
2021-03-01 0.645 214
2021-03-08 0.698 214
2021-03-15 0.75 228
2021-03-22 0.742 228
2021-03-29 0.733 176
2021-04-05 0.76 176
2021-04-12 0.786 154
2021-04-19 0.673 154
2021-04-26 0.56 166
2021-05-03 0.543 166
2021-05-10 0.526 137
2021-05-17 0.464 137
2021-05-24 0.402 179
2021-05-31 0.359 179
2021-06-07 0.316 174
2021-06-14 0.204 174
2021-06-21 0.092 250
2021-06-28 0.074 250
2021-07-05 0.056 232
2021-07-12 0.036 232
2021-07-19 0.016 315
2021-07-26 0.011 315
2021-08-02 0.006 329
2021-08-09 0.005 329
2021-08-16 0.003 358
2021-08-23 0.002 358
2021-08-30 0.0 193
2021-09-06 0.006 193
2021-09-13 0.012 166
2021-09-20 0.012 166
2021-09-27 0.012 82
2021-10-04 0.006 82
2021-10-11 0.0 20
2021-10-18 0.0 20
2021-10-25 0.0 41
2021-11-01 0.0 41
2021-11-08 0.0 51
2021-11-15 0.0 51
2021-11-22 0.0 71
2021-11-29 0.0 71
2021-12-06 0.0 811
2021-12-13 0.0 811
2021-12-20 0.0 959
2021-12-27 0.0 959
2022-01-03 0.0 549
2022-01-10 0.0 549
2022-01-17 0.0 100
2022-01-24 0.0 100
2022-01-31 0.0 13
2022-02-07 0.0 13
2022-02-14 0.0 7
2022-02-21 0.0 7
2022-02-28 0.0 4
2022-03-07 0.0 4
2022-03-14 0.0 3
2022-03-21 0.0 3
2022-03-28 0.0 8
2022-04-04 0.0 8
2022-04-11 0.0 6
2022-04-18 0.0 6
2022-04-25 0.0 6
2022-05-02 0.0 6
2022-05-09 0.0 45
2022-05-16 0.0 45
2022-05-23 0.0 79
2022-05-30 0.0 79
2022-06-06 0.0 277
2022-06-13 0.0 277
2022-06-20 0.0 58
