week sequences_fraction total_sequences
2020-10-26 0.0 2
2020-11-02 0.0 2
2020-11-09 0.0 3
2020-11-16 0.0 3
2020-11-23 0.0 15
2020-11-30 0.0 15
2020-12-21 0.0 5
2020-12-28 0.0 5
2021-01-18 0.0 2
2021-01-25 0.5 2
2021-02-01 1.0 3
2021-02-08 0.95 3
2021-02-15 0.9 20
2021-02-22 0.95 20
2021-03-01 1.0 18
2021-03-08 1.0 18
2021-03-15 1.0 1
2021-03-22 0.921 1
2021-03-29 0.842 19
2021-04-05 0.911 19
2021-04-12 0.98 50
2021-04-19 0.99 50
2021-04-26 1.0 52
2021-05-03 0.993 52
2021-05-10 0.986 71
2021-05-17 0.891 71
2021-05-24 0.795 73
2021-05-31 0.754 73
2021-06-07 0.712 66
2021-06-14 0.717 66
2021-06-21 0.722 97
2021-06-28 0.67 97
2021-07-05 0.618 89
2021-07-12 0.582 89
2021-07-19 0.546 97
2021-07-26 0.647 97
2021-08-02 0.747 91
2021-08-09 0.69 91
2021-08-16 0.633 90
2021-08-23 0.62 90
2021-08-30 0.608 102
2021-09-06 0.55 102
2021-09-13 0.491 114
2021-09-20 0.369 114
2021-09-27 0.247 89
2021-10-04 0.185 89
2021-10-11 0.123 138
2021-10-18 0.066 138
2021-10-25 0.009 108
2021-11-01 0.004 108
2021-11-08 0.0 126
2021-11-15 0.004 126
2021-11-22 0.007 140
2021-11-29 0.004 140
2021-12-06 0.0 89
2021-12-13 0.0 89
2021-12-20 0.0 79
2021-12-27 0.0 79
2022-01-03 0.0 95
2022-01-10 0.0 95
2022-01-17 0.0 119
2022-01-24 0.0 119
2022-01-31 0.0 217
2022-02-07 0.0 217
2022-02-14 0.0 184
2022-02-21 0.0 184
2022-02-28 0.0 147
2022-03-07 0.0 147
2022-03-14 0.0 56
2022-03-21 0.0 56
2022-03-28 0.0 55
2022-04-04 0.0 55
2022-04-11 0.0 39
2022-04-18 0.0 39
2022-04-25 0.0 15
2022-05-02 0.0 15
2022-05-09 0.0 7
2022-05-16 0.0 7
2022-05-23 0.0 6
2022-05-30 0.0 6
2022-06-06 0.0 6
2022-06-13 0.0 6
2022-06-20 0.0 35
