week sequences_fraction total_sequences
2020-04-27 0.0 1
2020-05-04 0.0 1
2020-07-20 0.0 3
2020-07-27 0.0 3
2020-09-28 0.0 1
2020-10-05 0.0 1
2020-10-12 0.0 4
2020-10-19 0.0 4
2020-10-26 0.0 7
2020-11-02 0.0 7
2020-11-09 0.0 1
2020-11-16 0.0 1
2020-11-23 0.0 2
2020-11-30 0.062 2
2020-12-21 0.125 8
2020-12-28 0.062 8
2021-01-04 0.0 17
2021-01-11 0.1 17
2021-01-18 0.2 70
2021-01-25 0.1 70
2021-02-01 0.0 36
2021-02-08 0.0 36
2021-02-15 0.0 41
2021-02-22 0.091 41
2021-03-01 0.182 22
2021-03-08 0.109 22
2021-03-15 0.036 28
2021-03-22 0.268 28
2021-03-29 0.5 10
2021-04-05 0.725 10
2021-04-12 0.95 20
2021-04-19 0.921 20
2021-04-26 0.892 37
2021-05-03 0.869 37
2021-05-10 0.846 39
2021-05-17 0.91 39
2021-05-24 0.973 37
2021-05-31 0.927 37
2021-06-07 0.881 84
2021-06-14 0.875 84
2021-06-21 0.869 84
2021-06-28 0.712 84
2021-07-05 0.554 101
2021-07-12 0.414 101
2021-07-19 0.273 77
2021-07-26 0.154 77
2021-08-02 0.034 118
2021-08-09 0.034 118
2021-08-16 0.033 92
2021-08-23 0.028 92
2021-08-30 0.022 178
2021-09-06 0.022 178
2021-09-13 0.022 89
2021-09-20 0.011 89
2021-09-27 0.0 127
2021-10-04 0.0 127
2021-10-11 0.0 81
2021-10-18 0.0 81
2021-10-25 0.0 130
2021-11-01 0.0 130
2021-11-08 0.0 88
2021-11-15 0.0 88
2021-11-22 0.0 167
2021-11-29 0.0 167
2021-12-06 0.0 189
2021-12-13 0.0 189
2021-12-20 0.0 135
2021-12-27 0.0 135
2022-01-03 0.0 143
2022-01-10 0.0 143
2022-01-17 0.0 195
2022-01-24 0.0 195
2022-01-31 0.0 169
2022-02-07 0.0 169
2022-02-14 0.0 85
2022-02-21 0.0 85
2022-02-28 0.0 75
2022-03-07 0.0 75
2022-03-14 0.0 23
2022-03-21 0.0 23
2022-03-28 0.0 11
2022-04-04 0.0 11
2022-04-11 0.0 9
2022-04-18 0.0 9
2022-04-25 0.0 2
2022-05-02 0.0 2
2022-05-09 0.0 3
2022-05-16 0.0 3
2022-05-23 0.0 1
2022-05-30 0.0 1
2022-06-20 0.0 3
