week sequences_fraction total_sequences
2020-06-22 0.0 2
2020-06-29 0.0 2
2020-07-20 0.0 6
2020-07-27 0.0 6
2020-08-03 0.0 3
2020-08-10 0.0 3
2020-08-17 0.0 2
2020-08-24 0.0 2
2020-09-14 0.0 2
2020-09-21 0.0 2
2020-09-28 0.0 7
2020-10-05 0.0 7
2020-10-12 0.0 7
2020-10-19 0.0 7
2020-10-26 0.0 10
2020-11-02 0.0 10
2020-11-09 0.0 11
2020-11-16 0.0 11
2020-11-23 0.0 18
2020-11-30 0.0 18
2020-12-07 0.0 74
2020-12-14 0.013 74
2020-12-21 0.026 38
2020-12-28 0.036 38
2021-01-04 0.045 66
2021-01-11 0.083 66
2021-01-18 0.122 41
2021-01-25 0.14 41
2021-02-01 0.157 83
2021-02-08 0.111 83
2021-02-15 0.065 46
2021-02-22 0.102 46
2021-03-01 0.139 36
2021-03-08 0.18 36
2021-03-15 0.222 27
2021-03-22 0.538 27
2021-03-29 0.855 69
2021-04-05 0.918 69
2021-04-12 0.981 158
2021-04-19 0.958 158
2021-04-26 0.936 236
2021-05-03 0.87 236
2021-05-10 0.804 688
2021-05-17 0.832 688
2021-05-24 0.859 411
2021-05-31 0.737 411
2021-06-07 0.615 335
2021-06-14 0.531 335
2021-06-21 0.447 253
2021-06-28 0.399 253
2021-07-05 0.352 443
2021-07-12 0.282 443
2021-07-19 0.212 453
2021-07-26 0.21 453
2021-08-02 0.207 295
2021-08-09 0.126 295
2021-08-16 0.045 244
2021-08-23 0.03 244
2021-08-30 0.015 344
2021-09-06 0.014 344
2021-09-13 0.014 518
2021-09-20 0.015 518
2021-09-27 0.016 773
2021-10-04 0.012 773
2021-10-11 0.009 895
2021-10-18 0.006 895
2021-10-25 0.002 515
2021-11-01 0.001 515
2021-11-08 0.0 415
2021-11-15 0.0 415
2021-11-22 0.0 576
2021-11-29 0.001 576
2021-12-06 0.002 433
2021-12-13 0.001 433
2021-12-20 0.0 806
2021-12-27 0.0 806
2022-01-03 0.0 1526
2022-01-10 0.0 1526
2022-01-17 0.0 902
2022-01-24 0.0 902
2022-01-31 0.0 1470
2022-02-07 0.0 1470
2022-02-14 0.0 1251
2022-02-21 0.0 1251
2022-02-28 0.0 924
2022-03-07 0.0 924
2022-03-14 0.0 671
2022-03-21 0.0 671
2022-03-28 0.0 543
2022-04-04 0.0 543
2022-04-11 0.0 468
2022-04-18 0.0 468
2022-04-25 0.0 862
2022-05-02 0.0 862
2022-05-09 0.0 674
2022-05-16 0.0 674
2022-05-23 0.0 536
2022-05-30 0.0 536
2022-06-06 0.0 544
2022-06-13 0.0 544
2022-06-20 0.0 269
