week sequences_fraction total_sequences
2020-04-27 0.0 8
2020-05-04 0.0 8
2020-05-11 0.0 1
2020-05-18 0.0 1
2020-06-08 0.0 5
2020-06-15 0.0 5
2020-06-22 0.0 3
2020-06-29 0.0 3
2020-07-06 0.0 3
2020-07-13 0.0 3
2020-07-20 0.0 2
2020-07-27 0.0 2
2020-08-03 0.0 37
2020-08-10 0.0 37
2020-08-17 0.0 74
2020-08-24 0.0 74
2020-08-31 0.0 33
2020-09-07 0.0 33
2020-09-14 0.0 16
2020-09-21 0.0 16
2020-09-28 0.0 14
2020-10-05 0.0 14
2020-10-12 0.0 36
2020-10-19 0.0 36
2020-10-26 0.0 32
2020-11-02 0.0 32
2020-11-09 0.0 20
2020-11-16 0.0 20
2020-11-23 0.0 28
2020-11-30 0.0 28
2020-12-07 0.0 20
2020-12-14 0.0 20
2020-12-21 0.0 27
2020-12-28 0.0 27
2021-01-04 0.0 19
2021-01-11 0.0 19
2021-01-18 0.0 22
2021-01-25 0.0 22
2021-02-01 0.0 15
2021-02-08 0.0 15
2021-02-15 0.0 20
2021-02-22 0.0 20
2021-03-01 0.0 29
2021-03-08 0.0 29
2021-03-15 0.0 21
2021-03-22 0.0 21
2021-03-29 0.0 37
2021-04-05 0.0 37
2021-04-12 0.0 16
2021-04-19 0.0 16
2021-04-26 0.0 14
2021-05-03 0.0 14
2021-05-10 0.0 8
2021-05-17 0.0 8
2021-05-24 0.0 7
2021-05-31 0.0 7
2021-06-07 0.0 16
2021-06-14 0.0 16
2021-06-21 0.0 15
2021-06-28 0.0 15
2021-07-05 0.0 36
2021-07-12 0.0 36
2021-07-19 0.0 31
2021-07-26 0.0 31
2021-08-02 0.0 28
2021-08-09 0.0 28
2021-08-16 0.0 573
2021-08-23 0.0 573
2021-08-30 0.0 333
2021-09-06 0.0 333
2021-09-13 0.0 202
2021-09-20 0.0 202
2021-09-27 0.0 407
2021-10-04 0.0 407
2021-10-11 0.0 732
2021-10-18 0.0 732
2021-10-25 0.0 434
2021-11-01 0.0 434
2021-11-08 0.0 624
2021-11-15 0.0 624
2021-11-22 0.0 369
2021-11-29 0.035 369
2021-12-06 0.07 327
2021-12-13 0.138 327
2021-12-20 0.205 542
2021-12-27 0.385 542
2022-01-03 0.565 499
2022-01-10 0.582 499
2022-01-17 0.599 648
2022-01-24 0.648 648
2022-01-31 0.697 659
2022-02-07 0.64 659
2022-02-14 0.583 733
2022-02-21 0.414 733
2022-02-28 0.245 709
2022-03-07 0.234 709
2022-03-14 0.223 578
2022-03-21 0.135 578
2022-03-28 0.047 663
2022-04-04 0.04 663
2022-04-11 0.032 727
2022-04-18 0.021 727
2022-04-25 0.01 883
2022-05-02 0.007 883
2022-05-09 0.004 998
2022-05-16 0.003 998
2022-05-23 0.002 934
2022-05-30 0.002 934
2022-06-06 0.003 1090
2022-06-13 0.002 1090
2022-06-20 0.001 1181
2022-06-27 0.0 1181
2022-07-04 0.0 243
