week sequences_fraction total_sequences
2020-04-27 0.0 36
2020-05-04 0.0 36
2020-05-11 0.0 42
2020-05-18 0.0 42
2020-05-25 0.0 3
2020-06-01 0.0 3
2020-06-08 0.0 7
2020-06-15 0.0 7
2020-06-22 0.0 2
2020-06-29 0.0 2
2020-07-06 0.0 14
2020-07-13 0.0 14
2020-07-20 0.0 11
2020-07-27 0.0 11
2020-08-03 0.0 22
2020-08-10 0.0 22
2020-08-17 0.0 42
2020-08-24 0.0 42
2020-08-31 0.0 37
2020-09-07 0.0 37
2020-09-14 0.0 33
2020-09-21 0.0 33
2020-09-28 0.0 29
2020-10-05 0.0 29
2020-10-12 0.0 73
2020-10-19 0.0 73
2020-10-26 0.0 181
2020-11-02 0.0 181
2020-11-09 0.0 178
2020-11-16 0.0 178
2020-11-23 0.0 129
2020-11-30 0.0 129
2020-12-07 0.0 53
2020-12-14 0.0 53
2020-12-21 0.0 341
2020-12-28 0.0 341
2021-01-04 0.0 341
2021-01-11 0.0 341
2021-01-18 0.0 316
2021-01-25 0.0 316
2021-02-01 0.0 361
2021-02-08 0.0 361
2021-02-15 0.0 352
2021-02-22 0.0 352
2021-03-01 0.0 554
2021-03-08 0.0 554
2021-03-15 0.0 393
2021-03-22 0.0 393
2021-03-29 0.0 233
2021-04-05 0.0 233
2021-04-12 0.0 229
2021-04-19 0.0 229
2021-04-26 0.0 255
2021-05-03 0.0 255
2021-05-10 0.0 601
2021-05-17 0.0 601
2021-05-24 0.0 221
2021-05-31 0.0 221
2021-06-07 0.0 757
2021-06-14 0.0 757
2021-06-21 0.0 401
2021-06-28 0.0 401
2021-07-05 0.0 683
2021-07-12 0.0 683
2021-07-19 0.0 653
2021-07-26 0.0 653
2021-08-02 0.0 503
2021-08-09 0.0 503
2021-08-16 0.0 607
2021-08-23 0.0 607
2021-08-30 0.0 323
2021-09-06 0.0 323
2021-09-13 0.0 355
2021-09-20 0.0 355
2021-09-27 0.0 314
2021-10-04 0.0 314
2021-10-11 0.0 439
2021-10-18 0.0 439
2021-10-25 0.0 448
2021-11-01 0.0 448
2021-11-08 0.0 419
2021-11-15 0.0 419
2021-11-22 0.0 270
2021-11-29 0.0 270
2021-12-06 0.0 248
2021-12-13 0.011 248
2021-12-20 0.022 768
2021-12-27 0.05 768
2022-01-03 0.079 569
2022-01-10 0.23 569
2022-01-17 0.382 866
2022-01-24 0.444 866
2022-01-31 0.507 1678
2022-02-07 0.424 1678
2022-02-14 0.34 1129
2022-02-21 0.48 1129
2022-02-28 0.619 1131
2022-03-07 0.64 1131
2022-03-14 0.661 1311
2022-03-21 0.772 1311
2022-03-28 0.882 873
2022-04-04 0.854 873
2022-04-11 0.827 647
2022-04-18 0.816 647
2022-04-25 0.805 880
2022-05-02 0.714 880
2022-05-09 0.624 991
2022-05-16 0.617 991
2022-05-23 0.611 1345
2022-05-30 0.482 1345
2022-06-06 0.352 1159
2022-06-13 0.29 1159
2022-06-20 0.228 801
2022-06-27 0.17 801
2022-07-04 0.111 487
