week sequences_fraction total_sequences
2020-04-27 0.0 111
2020-05-04 0.0 111
2020-05-11 0.0 49
2020-05-18 0.0 49
2020-05-25 0.0 35
2020-06-01 0.0 35
2020-06-08 0.0 50
2020-06-15 0.0 50
2020-06-22 0.0 107
2020-06-29 0.0 107
2020-07-06 0.0 32
2020-07-13 0.0 32
2020-07-20 0.0 22
2020-07-27 0.0 22
2020-08-03 0.0 30
2020-08-10 0.0 30
2020-08-17 0.0 133
2020-08-24 0.0 133
2020-08-31 0.0 156
2020-09-07 0.0 156
2020-09-14 0.0 159
2020-09-21 0.0 159
2020-09-28 0.0 148
2020-10-05 0.0 148
2020-10-12 0.0 210
2020-10-19 0.0 210
2020-10-26 0.0 476
2020-11-02 0.0 476
2020-11-09 0.0 232
2020-11-16 0.0 232
2020-11-23 0.0 262
2020-11-30 0.0 262
2020-12-07 0.0 674
2020-12-14 0.0 674
2020-12-21 0.0 735
2020-12-28 0.0 735
2021-01-04 0.0 969
2021-01-11 0.0 969
2021-01-18 0.0 850
2021-01-25 0.0 850
2021-02-01 0.0 2055
2021-02-08 0.0 2055
2021-02-15 0.0 3094
2021-02-22 0.0 3094
2021-03-01 0.0 4334
2021-03-08 0.0 4334
2021-03-15 0.0 4225
2021-03-22 0.0 4225
2021-03-29 0.0 3671
2021-04-05 0.0 3671
2021-04-12 0.0 4313
2021-04-19 0.0 4313
2021-04-26 0.0 2722
2021-05-03 0.0 2722
2021-05-10 0.0 2581
2021-05-17 0.0 2581
2021-05-24 0.0 1612
2021-05-31 0.0 1612
2021-06-07 0.0 1370
2021-06-14 0.0 1370
2021-06-21 0.0 2259
2021-06-28 0.0 2259
2021-07-05 0.0 3541
2021-07-12 0.0 3541
2021-07-19 0.0 4230
2021-07-26 0.0 4230
2021-08-02 0.0 3046
2021-08-09 0.0 3046
2021-08-16 0.0 2906
2021-08-23 0.0 2906
2021-08-30 0.0 2310
2021-09-06 0.0 2310
2021-09-13 0.0 2253
2021-09-20 0.0 2253
2021-09-27 0.0 2050
2021-10-04 0.0 2050
2021-10-11 0.0 2163
2021-10-18 0.0 2163
2021-10-25 0.0 3019
2021-11-01 0.0 3019
2021-11-08 0.0 3466
2021-11-15 0.0 3466
2021-11-22 0.0 3034
2021-11-29 0.0 3034
2021-12-06 0.0 3864
2021-12-13 0.0 3864
2021-12-20 0.0 4750
2021-12-27 0.002 4750
2022-01-03 0.003 3712
2022-01-10 0.012 3712
2022-01-17 0.02 3657
2022-01-24 0.039 3657
2022-01-31 0.058 4094
2022-02-07 0.153 4094
2022-02-14 0.248 1755
2022-02-21 0.378 1755
2022-02-28 0.507 2347
2022-03-07 0.629 2347
2022-03-14 0.75 2424
2022-03-21 0.808 2424
2022-03-28 0.867 3207
2022-04-04 0.893 3207
2022-04-11 0.919 2237
2022-04-18 0.932 2237
2022-04-25 0.945 2433
2022-05-02 0.944 2433
2022-05-09 0.942 1519
2022-05-16 0.847 1519
2022-05-23 0.752 1329
2022-05-30 0.623 1329
2022-06-06 0.494 1837
2022-06-13 0.326 1837
2022-06-20 0.158 1122
2022-06-27 0.113 1122
2022-07-04 0.068 1099
