week sequences_fraction total_sequences
2020-12-21 0.0 2
2020-12-28 0.0 2
2021-01-18 0.0 10
2021-01-25 0.0 10
2021-02-01 0.0 4
2021-02-08 0.0 4
2021-02-15 0.0 83
2021-02-22 0.0 83
2021-03-01 0.0 31
2021-03-08 0.0 31
2021-03-15 0.0 1
2021-03-22 0.0 1
2021-03-29 0.0 12
2021-04-05 0.0 12
2021-04-12 0.0 11
2021-04-19 0.0 11
2021-04-26 0.0 12
2021-05-03 0.0 12
2021-05-10 0.0 28
2021-05-17 0.0 28
2021-05-24 0.0 14
2021-05-31 0.0 14
2021-07-05 0.0 13
2021-07-12 0.0 13
2021-07-19 0.0 77
2021-07-26 0.0 77
2021-08-02 0.0 37
2021-08-09 0.0 37
2021-08-16 0.0 14
2021-08-23 0.0 14
2021-08-30 0.0 6
2021-09-06 0.0 6
2021-09-27 0.0 1
2021-10-04 0.0 1
2021-10-11 0.0 18
2021-10-18 0.0 18
2021-10-25 0.0 41
2021-11-01 0.0 41
2021-11-08 0.0 53
2021-11-15 0.0 53
2021-11-22 0.0 58
2021-11-29 0.0 58
2021-12-06 0.0 115
2021-12-13 0.0 115
2021-12-20 0.0 130
2021-12-27 0.0 130
2022-01-03 0.0 170
2022-01-10 0.0 170
2022-01-17 0.0 133
2022-01-24 0.0 133
2022-01-31 0.0 102
2022-02-07 0.011 102
2022-02-14 0.022 90
2022-02-21 0.078 90
2022-02-28 0.133 15
2022-03-07 0.272 15
2022-03-14 0.412 17
2022-03-21 0.693 17
2022-03-28 0.974 77
2022-04-04 0.953 77
2022-04-11 0.932 132
2022-04-18 0.946 132
2022-04-25 0.961 180
2022-05-02 0.956 180
2022-05-09 0.95 139
