week sequences_fraction total_sequences
2020-04-27 0.0 421
2020-05-04 0.0 421
2020-05-11 0.0 117
2020-05-18 0.0 117
2020-05-25 0.0 149
2020-06-01 0.0 149
2020-06-08 0.0 190
2020-06-15 0.0 190
2020-06-22 0.0 391
2020-06-29 0.0 391
2020-07-06 0.0 806
2020-07-13 0.0 806
2020-07-20 0.0 1920
2020-07-27 0.0 1920
2020-08-03 0.0 2166
2020-08-10 0.0 2166
2020-08-17 0.0 1495
2020-08-24 0.0 1495
2020-08-31 0.0 790
2020-09-07 0.0 790
2020-09-14 0.0 535
2020-09-21 0.0 535
2020-09-28 0.0 560
2020-10-05 0.0 560
2020-10-12 0.0 699
2020-10-19 0.0 699
2020-10-26 0.0 835
2020-11-02 0.0 835
2020-11-09 0.0 1848
2020-11-16 0.0 1848
2020-11-23 0.0 2029
2020-11-30 0.0 2029
2020-12-07 0.0 2336
2020-12-14 0.0 2336
2020-12-21 0.0 2611
2020-12-28 0.0 2611
2021-01-04 0.0 4525
2021-01-11 0.0 4525
2021-01-18 0.0 3190
2021-01-25 0.0 3190
2021-02-01 0.0 1738
2021-02-08 0.0 1738
2021-02-15 0.0 1203
2021-02-22 0.0 1203
2021-03-01 0.0 1720
2021-03-08 0.0 1720
2021-03-15 0.0 2883
2021-03-22 0.0 2883
2021-03-29 0.0 4900
2021-04-05 0.0 4900
2021-04-12 0.0 7751
2021-04-19 0.0 7751
2021-04-26 0.0 10807
2021-05-03 0.0 10807
2021-05-10 0.0 8506
2021-05-17 0.0 8506
2021-05-24 0.0 4671
2021-05-31 0.0 4671
2021-06-07 0.0 4273
2021-06-14 0.0 4273
2021-06-21 0.0 4543
2021-06-28 0.0 4543
2021-07-05 0.0 7492
2021-07-12 0.0 7492
2021-07-19 0.0 16599
2021-07-26 0.0 16599
2021-08-02 0.0 20759
2021-08-09 0.0 20759
2021-08-16 0.0 32119
2021-08-23 0.0 32119
2021-08-30 0.0 16357
2021-09-06 0.0 16357
2021-09-13 0.0 5459
2021-09-20 0.0 5459
2021-09-27 0.0 1858
2021-10-04 0.0 1858
2021-10-11 0.0 765
2021-10-18 0.0 765
2021-10-25 0.0 551
2021-11-01 0.0 551
2021-11-08 0.0 400
2021-11-15 0.0 400
2021-11-22 0.0 318
2021-11-29 0.0 318
2021-12-06 0.0 742
2021-12-13 0.004 742
2021-12-20 0.009 2487
2021-12-27 0.013 2487
2022-01-03 0.017 21162
2022-01-10 0.02 21162
2022-01-17 0.022 21162
2022-01-24 0.027 21162
2022-01-31 0.032 11070
2022-02-07 0.064 11070
2022-02-14 0.095 9474
2022-02-21 0.166 9474
2022-02-28 0.238 8925
2022-03-07 0.359 8925
2022-03-14 0.48 8331
2022-03-21 0.607 8331
2022-03-28 0.734 10746
2022-04-04 0.802 10746
2022-04-11 0.87 9167
2022-04-18 0.901 9167
2022-04-25 0.932 8108
2022-05-02 0.94 8108
2022-05-09 0.948 8233
2022-05-16 0.896 8233
2022-05-23 0.843 3124
2022-05-30 0.822 3124
2022-06-06 0.802 1349
2022-06-13 0.67 1349
2022-06-20 0.538 872
2022-06-27 0.45 872
2022-07-04 0.361 83
