week sequences_fraction total_sequences
2020-12-21 0.0 1
2020-12-28 0.0 1
2021-01-04 0.0 1
2021-01-11 0.0 1
2021-01-18 0.0 1
2021-01-25 0.0 1
2021-02-01 0.0 5
2021-02-08 0.0 5
2021-03-15 0.0 2
2021-03-22 0.0 2
2021-04-12 0.0 6
2021-04-19 0.0 6
2021-04-26 0.0 65
2021-05-03 0.0 65
2021-05-10 0.0 16
2021-05-17 0.0 16
2021-05-24 0.0 17
2021-05-31 0.0 17
2021-06-07 0.0 13
2021-06-14 0.0 13
2021-07-05 0.0 42
2021-07-12 0.0 42
2021-07-19 0.0 46
2021-07-26 0.0 46
2021-08-02 0.0 178
2021-08-09 0.0 178
2021-08-16 0.0 331
2021-08-23 0.0 331
2021-08-30 0.0 606
2021-09-06 0.0 606
2021-09-13 0.0 46
2021-09-20 0.0 46
2021-09-27 0.0 107
2021-10-04 0.0 107
2021-10-11 0.0 90
2021-10-18 0.0 90
2021-10-25 0.0 60
2021-11-01 0.0 60
2021-11-08 0.0 108
2021-11-15 0.0 108
2021-11-22 0.0 75
2021-11-29 0.0 75
2021-12-06 0.0 134
2021-12-13 0.004 134
2021-12-20 0.009 232
2021-12-27 0.015 232
2022-01-03 0.021 233
2022-01-10 0.052 233
2022-01-17 0.082 110
2022-01-24 0.111 110
2022-01-31 0.139 115
2022-02-07 0.4 115
2022-02-14 0.661 333
2022-02-21 0.774 333
2022-02-28 0.888 403
2022-03-07 0.936 403
2022-03-14 0.984 426
2022-03-21 0.989 426
2022-03-28 0.994 324
2022-04-04 0.994 324
2022-04-11 0.995 196
2022-04-18 0.989 196
2022-04-25 0.983 119
2022-05-02 0.98 119
2022-05-09 0.977 87
2022-05-16 0.942 87
2022-05-23 0.907 43
2022-05-30 0.823 43
2022-06-06 0.739 23
2022-06-13 0.644 23
2022-06-20 0.548 31
