week sequences_fraction total_sequences
2020-04-27 0.0 130
2020-05-04 0.0 130
2020-05-11 0.0 64
2020-05-18 0.0 64
2020-05-25 0.0 78
2020-06-01 0.0 78
2020-06-08 0.0 152
2020-06-15 0.0 152
2020-06-22 0.0 281
2020-06-29 0.0 281
2020-07-06 0.0 428
2020-07-13 0.0 428
2020-07-20 0.0 509
2020-07-27 0.0 509
2020-08-03 0.0 178
2020-08-10 0.0 178
2020-08-17 0.0 122
2020-08-24 0.0 122
2020-08-31 0.0 335
2020-09-07 0.0 335
2020-09-14 0.0 215
2020-09-21 0.0 215
2020-09-28 0.0 273
2020-10-05 0.0 273
2020-10-12 0.0 299
2020-10-19 0.0 299
2020-10-26 0.0 396
2020-11-02 0.0 396
2020-11-09 0.0 336
2020-11-16 0.0 336
2020-11-23 0.0 401
2020-11-30 0.0 401
2020-12-07 0.0 478
2020-12-14 0.0 478
2020-12-21 0.0 769
2020-12-28 0.0 769
2021-01-04 0.0 828
2021-01-11 0.0 828
2021-01-18 0.0 357
2021-01-25 0.0 357
2021-02-01 0.0 301
2021-02-08 0.0 301
2021-02-15 0.0 166
2021-02-22 0.0 166
2021-03-01 0.0 286
2021-03-08 0.0 286
2021-03-15 0.0 243
2021-03-22 0.0 243
2021-03-29 0.0 159
2021-04-05 0.0 159
2021-04-12 0.0 297
2021-04-19 0.0 297
2021-04-26 0.0 424
2021-05-03 0.0 424
2021-05-10 0.0 484
2021-05-17 0.0 484
2021-05-24 0.0 831
2021-05-31 0.0 831
2021-06-07 0.0 1202
2021-06-14 0.0 1202
2021-06-21 0.0 1896
2021-06-28 0.0 1896
2021-07-05 0.0 1725
2021-07-12 0.0 1725
2021-07-19 0.0 1509
2021-07-26 0.0 1509
2021-08-02 0.0 1293
2021-08-09 0.0 1293
2021-08-16 0.0 1193
2021-08-23 0.0 1193
2021-08-30 0.0 1084
2021-09-06 0.0 1084
2021-09-13 0.0 672
2021-09-20 0.0 672
2021-09-27 0.0 355
2021-10-04 0.0 355
2021-10-11 0.0 277
2021-10-18 0.0 277
2021-10-25 0.0 118
2021-11-01 0.002 118
2021-11-08 0.003 338
2021-11-15 0.005 338
2021-11-22 0.006 2003
2021-11-29 0.019 2003
2021-12-06 0.032 2250
2021-12-13 0.073 2250
2021-12-20 0.114 1532
2021-12-27 0.202 1532
2022-01-03 0.29 1281
2022-01-10 0.444 1281
2022-01-17 0.597 1040
2022-01-24 0.696 1040
2022-01-31 0.795 483
2022-02-07 0.844 483
2022-02-14 0.893 544
2022-02-21 0.878 544
2022-02-28 0.863 519
2022-03-07 0.805 519
2022-03-14 0.747 565
2022-03-21 0.606 565
2022-03-28 0.464 732
2022-04-04 0.372 732
2022-04-11 0.28 921
2022-04-18 0.183 921
2022-04-25 0.085 1674
2022-05-02 0.056 1674
2022-05-09 0.028 670
2022-05-16 0.032 670
2022-05-23 0.035 514
2022-05-30 0.019 514
2022-06-06 0.003 306
2022-06-13 0.028 306
2022-06-20 0.054 112
2022-06-27 0.027 112
2022-07-04 0.0 13
