week sequences_fraction total_sequences
2020-04-27 0.0 106
2020-05-04 0.0 106
2020-05-11 0.0 84
2020-05-18 0.0 84
2020-05-25 0.0 80
2020-06-01 0.0 80
2020-06-08 0.0 8
2020-06-15 0.0 8
2020-06-22 0.0 61
2020-06-29 0.0 61
2020-07-06 0.0 34
2020-07-13 0.0 34
2020-07-20 0.0 36
2020-07-27 0.0 36
2020-08-03 0.0 25
2020-08-10 0.0 25
2020-08-17 0.0 58
2020-08-24 0.0 58
2020-08-31 0.0 54
2020-09-07 0.0 54
2020-09-14 0.0 44
2020-09-21 0.0 44
2020-09-28 0.0 65
2020-10-05 0.0 65
2020-10-12 0.0 47
2020-10-19 0.0 47
2020-10-26 0.0 9
2020-11-02 0.0 9
2020-11-09 0.0 13
2020-11-16 0.0 13
2020-11-23 0.0 8
2020-11-30 0.0 8
2020-12-07 0.0 23
2020-12-14 0.0 23
2020-12-21 0.0 68
2020-12-28 0.0 68
2021-01-04 0.0 64
2021-01-11 0.0 64
2021-01-18 0.0 29
2021-01-25 0.0 29
2021-02-01 0.0 53
2021-02-08 0.0 53
2021-02-15 0.0 52
2021-02-22 0.0 52
2021-03-01 0.0 67
2021-03-08 0.0 67
2021-03-15 0.0 168
2021-03-22 0.0 168
2021-03-29 0.0 282
2021-04-05 0.0 282
2021-04-12 0.0 391
2021-04-19 0.0 391
2021-04-26 0.0 512
2021-05-03 0.0 512
2021-05-10 0.0 457
2021-05-17 0.0 457
2021-05-24 0.0 475
2021-05-31 0.0 475
2021-06-07 0.0 661
2021-06-14 0.0 661
2021-06-21 0.0 839
2021-06-28 0.0 839
2021-07-05 0.0 731
2021-07-12 0.0 731
2021-07-19 0.0 607
2021-07-26 0.0 607
2021-08-02 0.0 827
2021-08-09 0.0 827
2021-08-16 0.0 745
2021-08-23 0.0 745
2021-08-30 0.0 1008
2021-09-06 0.0 1008
2021-09-13 0.0 1433
2021-09-20 0.0 1433
2021-09-27 0.0 1521
2021-10-04 0.0 1521
2021-10-11 0.0 1178
2021-10-18 0.0 1178
2021-10-25 0.0 1156
2021-11-01 0.0 1156
2021-11-08 0.0 728
2021-11-15 0.0 728
2021-11-22 0.0 425
2021-11-29 0.0 425
2021-12-06 0.0 792
2021-12-13 0.0 792
2021-12-20 0.0 1345
2021-12-27 0.0 1345
2022-01-03 0.0 1134
2022-01-10 0.0 1134
2022-01-17 0.0 465
2022-01-24 0.0 465
2022-01-31 0.0 496
2022-02-07 0.0 496
2022-02-14 0.0 533
2022-02-21 0.0 533
2022-02-28 0.0 562
2022-03-07 0.002 562
2022-03-14 0.004 488
2022-03-21 0.01 488
2022-03-28 0.015 597
2022-04-04 0.032 597
2022-04-11 0.049 489
2022-04-18 0.046 489
2022-04-25 0.042 334
2022-05-02 0.072 334
2022-05-09 0.101 823
2022-05-16 0.167 823
2022-05-23 0.233 907
2022-05-30 0.206 907
2022-06-06 0.178 811
2022-06-13 0.135 811
2022-06-20 0.092 721
2022-06-27 0.087 721
2022-07-04 0.082 171
