week sequences_fraction total_sequences
2020-04-27 0.0 3
2020-05-04 0.0 3
2020-05-11 0.0 3
2020-05-18 0.0 3
2020-05-25 0.0 8
2020-06-01 0.0 8
2020-06-08 0.0 5
2020-06-15 0.0 5
2020-06-22 0.0 31
2020-06-29 0.0 31
2020-07-06 0.0 231
2020-07-13 0.0 231
2020-07-20 0.0 240
2020-07-27 0.0 240
2020-08-03 0.0 105
2020-08-10 0.0 105
2020-08-17 0.0 55
2020-08-24 0.0 55
2020-08-31 0.0 28
2020-09-07 0.0 28
2020-09-14 0.0 42
2020-09-21 0.0 42
2020-09-28 0.0 64
2020-10-05 0.0 64
2020-10-12 0.0 13
2020-10-19 0.0 13
2020-10-26 0.0 25
2020-11-02 0.0 25
2020-11-09 0.0 115
2020-11-16 0.0 115
2020-11-23 0.0 230
2020-11-30 0.0 230
2020-12-07 0.0 135
2020-12-14 0.0 135
2020-12-21 0.0 184
2020-12-28 0.0 184
2021-01-04 0.0 41
2021-01-11 0.0 41
2021-01-18 0.0 82
2021-01-25 0.0 82
2021-02-01 0.0 19
2021-02-08 0.0 19
2021-02-15 0.0 21
2021-02-22 0.0 21
2021-03-01 0.0 115
2021-03-08 0.0 115
2021-03-15 0.0 51
2021-03-22 0.0 51
2021-03-29 0.0 71
2021-04-05 0.0 71
2021-04-12 0.0 49
2021-04-19 0.0 49
2021-04-26 0.0 37
2021-05-03 0.0 37
2021-05-10 0.0 7
2021-05-17 0.0 7
2021-05-24 0.0 27
2021-05-31 0.0 27
2021-06-07 0.0 23
2021-06-14 0.0 23
2021-06-21 0.0 72
2021-06-28 0.0 72
2021-07-05 0.0 15
2021-07-12 0.0 15
2021-07-19 0.0 18
2021-07-26 0.0 18
2021-08-02 0.0 26
2021-08-09 0.0 26
2021-08-16 0.0 43
2021-08-23 0.0 43
2021-08-30 0.0 52
2021-09-06 0.0 52
2021-09-13 0.0 20
2021-09-20 0.0 20
2021-09-27 0.0 31
2021-10-04 0.0 31
2021-10-11 0.0 30
2021-10-18 0.0 30
2021-10-25 0.0 40
2021-11-01 0.0 40
2021-11-08 0.0 49
2021-11-15 0.0 49
2021-11-22 0.0 112
2021-11-29 0.0 112
2021-12-06 0.0 120
2021-12-13 0.0 120
2021-12-20 0.0 308
2021-12-27 0.0 308
2022-01-03 0.0 351
2022-01-10 0.0 351
2022-01-17 0.0 707
2022-01-24 0.0 707
2022-01-31 0.0 918
2022-02-07 0.0 918
2022-02-14 0.0 230
2022-02-21 0.0 230
2022-02-28 0.0 290
2022-03-07 0.0 290
2022-03-14 0.0 366
2022-03-21 0.0 366
2022-03-28 0.0 417
2022-04-04 0.01 417
2022-04-11 0.02 147
2022-04-18 0.042 147
2022-04-25 0.063 316
2022-05-02 0.117 316
2022-05-09 0.171 351
2022-05-16 0.2 351
2022-05-23 0.23 396
2022-05-30 0.213 396
2022-06-06 0.195 118
2022-06-13 0.131 118
2022-06-20 0.067 45
2022-06-27 0.034 45
2022-07-04 0.0 11
