week sequences_fraction total_sequences
2020-08-31 0.0 5
2020-09-07 0.0 5
2020-09-14 0.0 117
2020-09-21 0.0 117
2020-09-28 0.0 53
2020-10-05 0.0 53
2020-10-12 0.0 19
2020-10-19 0.0 19
2020-10-26 0.0 44
2020-11-02 0.0 44
2020-11-09 0.0 17
2020-11-16 0.0 17
2020-12-07 0.0 2
2020-12-14 0.0 2
2020-12-21 0.0 43
2020-12-28 0.0 43
2021-01-04 0.0 6
2021-01-11 0.0 6
2021-01-18 0.0 40
2021-01-25 0.0 40
2021-02-01 0.0 159
2021-02-08 0.0 159
2021-02-15 0.0 440
2021-02-22 0.0 440
2021-03-01 0.0 624
2021-03-08 0.0 624
2021-03-15 0.0 959
2021-03-22 0.0 959
2021-03-29 0.0 769
2021-04-05 0.0 769
2021-04-12 0.0 352
2021-04-19 0.0 352
2021-04-26 0.0 327
2021-05-03 0.0 327
2021-05-10 0.0 167
2021-05-17 0.0 167
2021-05-24 0.0 79
2021-05-31 0.0 79
2021-06-07 0.0 98
2021-06-14 0.0 98
2021-06-21 0.0 56
2021-06-28 0.0 56
2021-07-05 0.0 160
2021-07-12 0.0 160
2021-07-19 0.0 367
2021-07-26 0.0 367
2021-08-02 0.0 360
2021-08-09 0.0 360
2021-08-16 0.0 362
2021-08-23 0.0 362
2021-08-30 0.0 366
2021-09-06 0.0 366
2021-09-13 0.0 347
2021-09-20 0.0 347
2021-09-27 0.0 331
2021-10-04 0.0 331
2021-10-11 0.0 362
2021-10-18 0.0 362
2021-10-25 0.0 290
2021-11-01 0.0 290
2021-11-08 0.0 325
2021-11-15 0.0 325
2021-11-22 0.0 332
2021-11-29 0.0 332
2021-12-06 0.0 340
2021-12-13 0.0 340
2021-12-20 0.0 206
2021-12-27 0.0 206
2022-01-03 0.0 33
2022-01-10 0.0 33
2022-01-17 0.0 11
2022-01-24 0.0 11
2022-01-31 0.0 190
2022-02-07 0.0 190
2022-02-14 0.0 349
2022-02-21 0.0 349
2022-02-28 0.0 357
2022-03-07 0.0 357
2022-03-14 0.0 349
2022-03-21 0.0 349
2022-03-28 0.0 364
2022-04-04 0.0 364
2022-04-11 0.0 342
2022-04-18 0.004 342
2022-04-25 0.008 362
2022-05-02 0.018 362
2022-05-09 0.027 372
2022-05-16 0.126 372
2022-05-23 0.225 351
2022-05-30 0.374 351
2022-06-06 0.524 294
