week sequences_fraction total_sequences
2020-04-27 0.0 216
2020-05-04 0.0 216
2020-05-11 0.0 272
2020-05-18 0.0 272
2020-05-25 0.0 286
2020-06-01 0.0 286
2020-06-08 0.0 166
2020-06-15 0.0 166
2020-06-22 0.0 216
2020-06-29 0.0 216
2020-07-06 0.0 135
2020-07-13 0.0 135
2020-07-20 0.0 152
2020-07-27 0.0 152
2020-08-03 0.0 143
2020-08-10 0.0 143
2020-08-17 0.0 180
2020-08-24 0.0 180
2020-08-31 0.0 119
2020-09-07 0.0 119
2020-09-14 0.0 62
2020-09-21 0.0 62
2020-09-28 0.0 81
2020-10-05 0.0 81
2020-10-12 0.0 88
2020-10-19 0.0 88
2020-10-26 0.0 86
2020-11-02 0.0 86
2020-11-09 0.0 167
2020-11-16 0.0 167
2020-11-23 0.0 231
2020-11-30 0.0 231
2020-12-07 0.0 302
2020-12-14 0.0 302
2020-12-21 0.0 268
2020-12-28 0.0 268
2021-01-04 0.0 259
2021-01-11 0.0 259
2021-01-18 0.0 368
2021-01-25 0.0 368
2021-02-01 0.0 793
2021-02-08 0.0 793
2021-02-15 0.0 959
2021-02-22 0.0 959
2021-03-01 0.0 1384
2021-03-08 0.0 1384
2021-03-15 0.0 1065
2021-03-22 0.002 1065
2021-03-29 0.005 1022
2021-04-05 0.004 1022
2021-04-12 0.002 1191
2021-04-19 0.005 1191
2021-04-26 0.007 1538
2021-05-03 0.004 1538
2021-05-10 0.001 1525
2021-05-17 0.0 1525
2021-05-24 0.0 1742
2021-05-31 0.0 1742
2021-06-07 0.0 1676
2021-06-14 0.0 1676
2021-06-21 0.0 2087
2021-06-28 0.0 2087
2021-07-05 0.0 1731
2021-07-12 0.0 1731
2021-07-19 0.0 2875
2021-07-26 0.0 2875
2021-08-02 0.0 2535
2021-08-09 0.0 2535
2021-08-16 0.0 2238
2021-08-23 0.0 2238
2021-08-30 0.0 2159
2021-09-06 0.0 2159
2021-09-13 0.0 2218
2021-09-20 0.0 2218
2021-09-27 0.0 2149
2021-10-04 0.0 2149
2021-10-11 0.0 1684
2021-10-18 0.0 1684
2021-10-25 0.0 1587
2021-11-01 0.0 1587
2021-11-08 0.0 1299
2021-11-15 0.0 1299
2021-11-22 0.0 1219
2021-11-29 0.0 1219
2021-12-06 0.0 1330
2021-12-13 0.0 1330
2021-12-20 0.0 2897
2021-12-27 0.0 2897
2022-01-03 0.0 3151
2022-01-10 0.0 3151
2022-01-17 0.0 3109
2022-01-24 0.0 3109
2022-01-31 0.0 1844
2022-02-07 0.0 1844
2022-02-14 0.0 1345
2022-02-21 0.0 1345
2022-02-28 0.0 694
2022-03-07 0.0 694
2022-03-14 0.0 363
2022-03-21 0.0 363
2022-03-28 0.0 422
2022-04-04 0.0 422
2022-04-11 0.0 314
2022-04-18 0.0 314
2022-04-25 0.0 459
2022-05-02 0.0 459
2022-05-09 0.0 837
2022-05-16 0.0 837
2022-05-23 0.0 1328
2022-05-30 0.0 1328
2022-06-06 0.0 1885
2022-06-13 0.0 1885
2022-06-20 0.0 1358
