week sequences_fraction total_sequences
2020-04-27 0.0 3
2020-05-04 0.0 3
2020-05-11 0.0 10
2020-05-18 0.0 10
2020-05-25 0.0 23
2020-06-01 0.0 23
2020-06-08 0.0 7
2020-06-15 0.0 7
2020-06-22 0.0 5
2020-06-29 0.0 5
2020-07-06 0.0 6
2020-07-13 0.0 6
2020-08-03 0.0 10
2020-08-10 0.0 10
2020-08-31 0.0 3
2020-09-07 0.0 3
2020-09-28 0.0 8
2020-10-05 0.0 8
2020-10-12 0.0 1
2020-10-19 0.0 1
2020-10-26 0.0 1
2020-11-02 0.0 1
2020-11-09 0.0 8
2020-11-16 0.0 8
2020-11-23 0.0 19
2020-11-30 0.0 19
2020-12-07 0.0 25
2020-12-14 0.0 25
2020-12-21 0.0 10
2020-12-28 0.0 10
2021-01-04 0.0 5
2021-01-11 0.0 5
2021-01-18 0.0 1
2021-01-25 0.0 1
2021-02-01 0.0 5
2021-02-08 0.0 5
2021-02-15 0.0 1
2021-02-22 0.0 1
2021-03-01 0.0 23
2021-03-08 0.03 23
2021-03-15 0.059 17
2021-03-22 0.044 17
2021-03-29 0.03 100
2021-04-05 0.015 100
2021-04-12 0.0 53
2021-04-19 0.04 53
2021-04-26 0.081 37
2021-05-03 0.216 37
2021-05-10 0.351 37
2021-05-17 0.264 37
2021-05-24 0.177 175
2021-05-31 0.138 175
2021-06-07 0.1 50
2021-06-14 0.069 50
2021-06-21 0.038 80
2021-06-28 0.035 80
2021-07-05 0.032 63
2021-07-12 0.03 63
2021-07-19 0.028 72
2021-07-26 0.014 72
2021-08-02 0.0 147
2021-08-09 0.0 147
2021-08-16 0.0 218
2021-08-23 0.004 218
2021-08-30 0.008 123
2021-09-06 0.004 123
2021-09-13 0.0 55
2021-09-20 0.008 55
2021-09-27 0.015 66
2021-10-04 0.016 66
2021-10-11 0.018 55
2021-10-18 0.009 55
2021-10-25 0.0 52
2021-11-01 0.0 52
2021-11-08 0.0 9
2021-11-15 0.0 9
2021-11-22 0.0 14
2021-11-29 0.0 14
2021-12-06 0.0 19
2021-12-13 0.0 19
2021-12-20 0.0 46
2021-12-27 0.0 46
2022-01-03 0.0 29
2022-01-10 0.0 29
2022-01-17 0.0 38
2022-01-24 0.0 38
2022-01-31 0.0 98
2022-02-07 0.0 98
2022-02-14 0.0 64
2022-02-21 0.0 64
2022-02-28 0.0 23
2022-03-07 0.0 23
2022-03-14 0.0 21
2022-03-21 0.0 21
2022-03-28 0.0 43
2022-04-04 0.0 43
2022-04-11 0.0 11
2022-04-18 0.0 11
2022-04-25 0.0 9
2022-05-02 0.0 9
2022-05-09 0.0 23
2022-05-16 0.0 23
2022-05-23 0.0 18
2022-05-30 0.0 18
2022-06-06 0.0 122
2022-06-13 0.0 122
2022-06-20 0.0 88
2022-06-27 0.0 88
2022-07-04 0.0 22
