week sequences_fraction total_sequences
2020-04-27 0.0 66
2020-05-04 0.0 66
2020-05-11 0.0 140
2020-05-18 0.0 140
2020-05-25 0.0 181
2020-06-01 0.0 181
2020-06-08 0.0 109
2020-06-15 0.0 109
2020-06-22 0.0 80
2020-06-29 0.0 80
2020-07-06 0.0 84
2020-07-13 0.0 84
2020-07-20 0.0 55
2020-07-27 0.0 55
2020-08-03 0.0 206
2020-08-10 0.0 206
2020-08-17 0.0 310
2020-08-24 0.0 310
2020-08-31 0.0 293
2020-09-07 0.0 293
2020-09-14 0.0 358
2020-09-21 0.0 358
2020-09-28 0.0 548
2020-10-05 0.0 548
2020-10-12 0.0 301
2020-10-19 0.0 301
2020-10-26 0.0 168
2020-11-02 0.0 168
2020-11-09 0.0 318
2020-11-16 0.0 318
2020-11-23 0.0 140
2020-11-30 0.0 140
2020-12-07 0.0 177
2020-12-14 0.0 177
2020-12-21 0.0 216
2020-12-28 0.0 216
2021-01-04 0.0 69
2021-01-11 0.014 69
2021-01-18 0.028 36
2021-01-25 0.02 36
2021-02-01 0.011 94
2021-02-08 0.017 94
2021-02-15 0.023 215
2021-02-22 0.022 215
2021-03-01 0.022 179
2021-03-08 0.018 179
2021-03-15 0.014 141
2021-03-22 0.014 141
2021-03-29 0.014 219
2021-04-05 0.018 219
2021-04-12 0.023 262
2021-04-19 0.021 262
2021-04-26 0.019 210
2021-05-03 0.015 210
2021-05-10 0.011 374
2021-05-17 0.006 374
2021-05-24 0.0 432
2021-05-31 0.002 432
2021-06-07 0.003 948
2021-06-14 0.002 948
2021-06-21 0.0 336
2021-06-28 0.0 336
2021-07-05 0.0 573
2021-07-12 0.0 573
2021-07-19 0.0 178
2021-07-26 0.0 178
2021-08-02 0.0 239
2021-08-09 0.0 239
2021-08-16 0.0 196
2021-08-23 0.0 196
2021-08-30 0.0 288
2021-09-06 0.0 288
2021-09-13 0.0 289
2021-09-20 0.0 289
2021-09-27 0.0 379
2021-10-04 0.0 379
2021-10-11 0.0 838
2021-10-18 0.0 838
2021-10-25 0.0 634
2021-11-01 0.0 634
2021-11-08 0.0 621
2021-11-15 0.0 621
2021-11-22 0.0 378
2021-11-29 0.0 378
2021-12-06 0.0 346
2021-12-13 0.0 346
2021-12-20 0.0 300
2021-12-27 0.0 300
2022-01-03 0.0 450
2022-01-10 0.0 450
2022-01-17 0.0 513
2022-01-24 0.0 513
2022-01-31 0.0 492
2022-02-07 0.0 492
2022-02-14 0.0 508
2022-02-21 0.0 508
2022-02-28 0.0 253
2022-03-07 0.0 253
2022-03-14 0.0 13
2022-03-21 0.0 13
2022-03-28 0.0 49
2022-04-04 0.0 49
2022-04-11 0.0 4
2022-04-18 0.0 4
2022-04-25 0.0 50
2022-05-02 0.0 50
2022-05-09 0.0 142
2022-05-16 0.0 142
2022-05-23 0.0 83
2022-05-30 0.0 83
2022-06-06 0.0 59
2022-06-13 0.0 59
2022-06-20 0.0 121
