week sequences_fraction total_sequences
2020-04-27 0.0 134
2020-05-04 0.0 134
2020-05-11 0.0 67
2020-05-18 0.0 67
2020-05-25 0.0 15
2020-06-01 0.0 15
2020-06-08 0.0 38
2020-06-15 0.0 38
2020-06-22 0.0 39
2020-06-29 0.0 39
2020-07-06 0.0 39
2020-07-13 0.0 39
2020-07-20 0.0 146
2020-07-27 0.0 146
2020-08-03 0.0 129
2020-08-10 0.0 129
2020-08-17 0.0 54
2020-08-24 0.0 54
2020-08-31 0.0 87
2020-09-07 0.0 87
2020-09-14 0.0 246
2020-09-21 0.0 246
2020-09-28 0.0 130
2020-10-05 0.0 130
2020-10-12 0.0 358
2020-10-19 0.0 358
2020-10-26 0.0 218
2020-11-02 0.0 218
2020-11-09 0.0 243
2020-11-16 0.0 243
2020-11-23 0.0 150
2020-11-30 0.0 150
2020-12-07 0.0 343
2020-12-14 0.0 343
2020-12-21 0.0 237
2020-12-28 0.002 237
2021-01-04 0.003 756
2021-01-11 0.002 756
2021-01-18 0.001 1709
2021-01-25 0.0 1709
2021-02-01 0.0 1635
2021-02-08 0.0 1635
2021-02-15 0.0 2125
2021-02-22 0.0 2125
2021-03-01 0.0 2386
2021-03-08 0.0 2386
2021-03-15 0.0 3187
2021-03-22 0.0 3187
2021-03-29 0.001 2989
2021-04-05 0.007 2989
2021-04-12 0.013 3154
2021-04-19 0.023 3154
2021-04-26 0.032 3215
2021-05-03 0.039 3215
2021-05-10 0.044 3155
2021-05-17 0.066 3155
2021-05-24 0.088 2365
2021-05-31 0.158 2365
2021-06-07 0.228 1479
2021-06-14 0.449 1479
2021-06-21 0.672 1397
2021-06-28 0.766 1397
2021-07-05 0.861 3576
2021-07-12 0.914 3576
2021-07-19 0.966 3597
2021-07-26 0.978 3597
2021-08-02 0.992 4564
2021-08-09 0.994 4564
2021-08-16 0.995 4408
2021-08-23 0.998 4408
2021-08-30 1.0 3859
2021-09-06 1.0 3859
2021-09-13 0.999 2885
2021-09-20 1.0 2885
2021-09-27 0.999 3063
2021-10-04 1.0 3063
2021-10-11 1.0 3859
2021-10-18 0.999 3859
2021-10-25 1.0 3161
2021-11-01 0.999 3161
2021-11-08 0.998 4194
2021-11-15 0.992 4194
2021-11-22 0.987 4568
2021-11-29 0.869 4568
2021-12-06 0.751 4929
2021-12-13 0.531 4929
2021-12-20 0.312 4552
2021-12-27 0.18 4552
2022-01-03 0.048 6617
2022-01-10 0.028 6617
2022-01-17 0.008 7346
2022-01-24 0.006 7346
2022-01-31 0.003 5593
2022-02-07 0.002 5593
2022-02-14 0.002 3733
2022-02-21 0.002 3733
2022-02-28 0.002 3202
2022-03-07 0.002 3202
2022-03-14 0.001 3133
2022-03-21 0.0 3133
2022-03-28 0.0 3273
2022-04-04 0.0 3273
2022-04-11 0.0 2967
2022-04-18 0.0 2967
2022-04-25 0.0 2690
2022-05-02 0.0 2690
2022-05-09 0.0 2278
2022-05-16 0.0 2278
2022-05-23 0.001 1616
2022-05-30 0.0 1616
2022-06-06 0.0 2471
2022-06-13 0.0 2471
2022-06-20 0.0 2568
2022-06-27 0.0 2568
2022-07-04 0.0 1282
