week sequences_fraction total_sequences
2020-04-27 0.0 6
2020-05-04 0.0 6
2020-05-11 0.0 9
2020-05-18 0.0 9
2020-05-25 0.0 4
2020-06-01 0.0 4
2020-06-08 0.0 9
2020-06-15 0.0 9
2020-07-06 0.0 9
2020-07-13 0.0 9
2020-07-20 0.0 24
2020-07-27 0.0 24
2020-08-03 0.0 26
2020-08-10 0.0 26
2020-08-17 0.0 10
2020-08-24 0.0 10
2020-08-31 0.0 8
2020-09-07 0.0 8
2020-09-14 0.0 23
2020-09-21 0.0 23
2020-09-28 0.0 73
2020-10-05 0.0 73
2020-10-12 0.0 59
2020-10-19 0.0 59
2020-10-26 0.0 54
2020-11-02 0.0 54
2020-11-09 0.0 14
2020-11-16 0.0 14
2020-11-23 0.0 9
2020-11-30 0.0 9
2020-12-07 0.0 14
2020-12-14 0.018 14
2020-12-21 0.037 27
2020-12-28 0.018 27
2021-01-04 0.0 225
2021-01-11 0.004 225
2021-01-18 0.008 125
2021-01-25 0.004 125
2021-02-01 0.0 659
2021-02-08 0.001 659
2021-02-15 0.002 498
2021-02-22 0.003 498
2021-03-01 0.004 490
2021-03-08 0.006 490
2021-03-15 0.007 426
2021-03-22 0.004 426
2021-03-29 0.0 569
2021-04-05 0.009 569
2021-04-12 0.017 637
2021-04-19 0.022 637
2021-04-26 0.025 606
2021-05-03 0.048 606
2021-05-10 0.071 438
2021-05-17 0.119 438
2021-05-24 0.167 275
2021-05-31 0.121 275
2021-06-07 0.075 263
2021-06-14 0.385 263
2021-06-21 0.695 302
2021-06-28 0.836 302
2021-07-05 0.978 544
2021-07-12 0.983 544
2021-07-19 0.987 413
2021-07-26 0.989 413
2021-08-02 0.992 867
2021-08-09 0.996 867
2021-08-16 0.998 655
2021-08-23 0.998 655
2021-08-30 0.998 1155
2021-09-06 0.998 1155
2021-09-13 0.999 1271
2021-09-20 1.0 1271
2021-09-27 1.0 1567
2021-10-04 1.0 1567
2021-10-11 1.0 1963
2021-10-18 0.998 1963
2021-10-25 0.998 2077
2021-11-01 0.998 2077
2021-11-08 1.0 1541
2021-11-15 0.998 1541
2021-11-22 0.997 2164
2021-11-29 0.986 2164
2021-12-06 0.975 1945
2021-12-13 0.804 1945
2021-12-20 0.634 1439
2021-12-27 0.416 1439
2022-01-03 0.196 2249
2022-01-10 0.126 2249
2022-01-17 0.056 2039
2022-01-24 0.034 2039
2022-01-31 0.012 1769
2022-02-07 0.01 1769
2022-02-14 0.007 2233
2022-02-21 0.004 2233
2022-02-28 0.0 1933
2022-03-07 0.0 1933
2022-03-14 0.0 1772
2022-03-21 0.0 1772
2022-03-28 0.001 1931
2022-04-04 0.0 1931
2022-04-11 0.0 1414
2022-04-18 0.0 1414
2022-04-25 0.0 1405
2022-05-02 0.0 1405
2022-05-09 0.0 612
2022-05-16 0.002 612
2022-05-23 0.003 365
2022-05-30 0.002 365
2022-06-06 0.0 745
2022-06-13 0.001 745
2022-06-20 0.002 455
2022-06-27 0.001 455
2022-07-04 0.0 66
