week sequences_fraction total_sequences
2020-04-27 0.0 102
2020-05-04 0.0 102
2020-05-11 0.0 51
2020-05-18 0.0 51
2020-05-25 0.0 36
2020-06-01 0.0 36
2020-06-08 0.0 4
2020-06-15 0.0 4
2020-08-03 0.0 10
2020-08-10 0.0 10
2020-08-17 0.0 14
2020-08-24 0.0 14
2020-08-31 0.0 23
2020-09-07 0.0 23
2020-09-14 0.0 96
2020-09-21 0.0 96
2020-09-28 0.0 283
2020-10-05 0.0 283
2020-10-12 0.0 98
2020-10-19 0.0 98
2020-10-26 0.0 51
2020-11-02 0.0 51
2020-11-09 0.0 54
2020-11-16 0.0 54
2020-11-23 0.0 156
2020-11-30 0.0 156
2020-12-07 0.0 109
2020-12-14 0.0 109
2020-12-21 0.0 145
2020-12-28 0.0 145
2021-01-04 0.0 421
2021-01-11 0.0 421
2021-01-18 0.0 851
2021-01-25 0.0 851
2021-02-01 0.0 1489
2021-02-08 0.0 1489
2021-02-15 0.0 1449
2021-02-22 0.0 1449
2021-03-01 0.0 1605
2021-03-08 0.0 1605
2021-03-15 0.0 1125
2021-03-22 0.0 1125
2021-03-29 0.0 729
2021-04-05 0.004 729
2021-04-12 0.008 491
2021-04-19 0.038 491
2021-04-26 0.068 498
2021-05-03 0.118 498
2021-05-10 0.168 513
2021-05-17 0.208 513
2021-05-24 0.249 329
2021-05-31 0.355 329
2021-06-07 0.461 280
2021-06-14 0.691 280
2021-06-21 0.92 750
2021-06-28 0.953 750
2021-07-05 0.985 1035
2021-07-12 0.986 1035
2021-07-19 0.987 1733
2021-07-26 0.99 1733
2021-08-02 0.993 1170
2021-08-09 0.996 1170
2021-08-16 0.999 906
2021-08-23 0.999 906
2021-08-30 0.998 822
2021-09-06 1.0 822
2021-09-13 1.0 829
2021-09-20 1.0 829
2021-09-27 1.0 961
2021-10-04 1.0 961
2021-10-11 1.0 799
2021-10-18 1.0 799
2021-10-25 1.0 502
2021-11-01 1.0 502
2021-11-08 1.0 505
2021-11-15 0.994 505
2021-11-22 0.987 859
2021-11-29 0.872 859
2021-12-06 0.758 1312
2021-12-13 0.54 1312
2021-12-20 0.321 1017
2021-12-27 0.194 1017
2022-01-03 0.068 1481
2022-01-10 0.042 1481
2022-01-17 0.017 1375
2022-01-24 0.01 1375
2022-01-31 0.004 987
2022-02-07 0.003 987
2022-02-14 0.002 553
2022-02-21 0.001 553
2022-02-28 0.0 521
2022-03-07 0.0 521
2022-03-14 0.0 565
2022-03-21 0.0 565
2022-03-28 0.0 542
2022-04-04 0.0 542
2022-04-11 0.0 491
2022-04-18 0.0 491
2022-04-25 0.0 377
2022-05-02 0.0 377
2022-05-09 0.0 486
2022-05-16 0.0 486
2022-05-23 0.0 368
2022-05-30 0.0 368
2022-06-06 0.0 250
