week sequences_fraction total_sequences
2020-04-27 0.0 4666
2020-05-04 0.0 4666
2020-05-11 0.0 2715
2020-05-18 0.0 2715
2020-05-25 0.0 1719
2020-06-01 0.0 1719
2020-06-08 0.0 4681
2020-06-15 0.0 4681
2020-06-22 0.0 2274
2020-06-29 0.0 2274
2020-07-06 0.0 1075
2020-07-13 0.0 1075
2020-07-20 0.0 1185
2020-07-27 0.0 1185
2020-08-03 0.0 2341
2020-08-10 0.0 2341
2020-08-17 0.0 4111
2020-08-24 0.0 4111
2020-08-31 0.0 5633
2020-09-07 0.0 5633
2020-09-14 0.0 9664
2020-09-21 0.0 9664
2020-09-28 0.0 11453
2020-10-05 0.0 11453
2020-10-12 0.0 16068
2020-10-19 0.0 16068
2020-10-26 0.0 17802
2020-11-02 0.0 17802
2020-11-09 0.0 17844
2020-11-16 0.0 17844
2020-11-23 0.0 8360
2020-11-30 0.0 8360
2020-12-07 0.0 21408
2020-12-14 0.0 21408
2020-12-21 0.0 18508
2020-12-28 0.0 18508
2021-01-04 0.0 28208
2021-01-11 0.0 28208
2021-01-18 0.0 35707
2021-01-25 0.0 35707
2021-02-01 0.0 28045
2021-02-08 0.0 28045
2021-02-15 0.0 33185
2021-02-22 0.0 33185
2021-03-01 0.0 32322
2021-03-08 0.0 32322
2021-03-15 0.0 34027
2021-03-22 0.001 34027
2021-03-29 0.004 20946
2021-04-05 0.023 20946
2021-04-12 0.042 15305
2021-04-19 0.11 15305
2021-04-26 0.178 14623
2021-05-03 0.355 14623
2021-05-10 0.535 17027
2021-05-17 0.685 17027
2021-05-24 0.837 37140
2021-05-31 0.888 37140
2021-06-07 0.939 34053
2021-06-14 0.96 34053
2021-06-21 0.981 59046
2021-06-28 0.987 59046
2021-07-05 0.992 51707
2021-07-12 0.994 51707
2021-07-19 0.996 67885
2021-07-26 0.997 67885
2021-08-02 0.999 62904
2021-08-09 1.0 62904
2021-08-16 1.0 75336
2021-08-23 1.0 75336
2021-08-30 1.0 80390
2021-09-06 1.0 80390
2021-09-13 1.0 78578
2021-09-20 0.998 78578
2021-09-27 0.999 79662
2021-10-04 1.0 79662
2021-10-11 0.999 80221
2021-10-18 0.999 80221
2021-10-25 1.0 90325
2021-11-01 1.001 90325
2021-11-08 1.0 108055
2021-11-15 0.994 108055
2021-11-22 0.988 124492
2021-11-29 0.796 124492
2021-12-06 0.605 136222
2021-12-13 0.349 136222
2021-12-20 0.092 120518
2021-12-27 0.054 120518
2022-01-03 0.015 139519
2022-01-10 0.009 139519
2022-01-17 0.003 133531
2022-01-24 0.002 133531
2022-01-31 0.0 144542
2022-02-07 0.0 144542
2022-02-14 0.0 128929
2022-02-21 0.0 128929
2022-02-28 0.0 134445
2022-03-07 0.0 134445
2022-03-14 0.0 141355
2022-03-21 0.0 141355
2022-03-28 0.0 48923
2022-04-04 0.0 48923
2022-04-11 0.0 37389
2022-04-18 0.0 37389
2022-04-25 0.0 19564
2022-05-02 0.0 19564
2022-05-09 0.0 9831
2022-05-16 0.0 9831
2022-05-23 0.0 7333
2022-05-30 0.0 7333
2022-06-06 0.0 15366
2022-06-13 0.0 15366
2022-06-20 0.0 23664
2022-06-27 0.0 23664
2022-07-04 0.0 5218
