week sequences_fraction total_sequences
2020-05-11 0.0 3
2020-05-18 0.0 3
2020-05-25 0.0 6
2020-06-01 0.0 6
2020-06-08 0.0 19
2020-06-15 0.0 19
2020-06-22 0.0 11
2020-06-29 0.0 11
2020-07-06 0.0 6
2020-07-13 0.0 6
2020-07-20 0.0 10
2020-07-27 0.0 10
2020-08-03 0.0 3
2020-08-10 0.0 3
2020-08-31 0.0 1
2020-09-07 0.0 1
2020-09-14 0.0 2
2020-09-21 0.0 2
2020-09-28 0.0 17
2020-10-05 0.0 17
2020-10-12 0.0 10
2020-10-19 0.0 10
2020-10-26 0.0 10
2020-11-02 0.0 10
2020-11-09 0.0 4
2020-11-16 0.0 4
2020-11-23 0.0 7
2020-11-30 0.0 7
2020-12-07 0.0 4
2020-12-14 0.0 4
2020-12-21 0.0 8
2020-12-28 0.0 8
2021-01-04 0.0 41
2021-01-11 0.0 41
2021-01-18 0.0 5
2021-01-25 0.0 5
2021-02-01 0.0 2
2021-02-08 0.0 2
2021-02-15 0.0 22
2021-02-22 0.0 22
2021-03-01 0.0 32
2021-03-08 0.0 32
2021-03-15 0.0 11
2021-03-22 0.0 11
2021-03-29 0.0 18
2021-04-05 0.05 18
2021-04-12 0.1 10
2021-04-19 0.05 10
2021-04-26 0.0 6
2021-05-03 0.0 6
2021-05-10 0.0 14
2021-05-17 0.0 14
2021-05-24 0.0 21
2021-05-31 0.046 21
2021-06-07 0.091 33
2021-06-14 0.219 33
2021-06-21 0.348 158
2021-06-28 0.374 158
2021-07-05 0.4 80
2021-07-12 0.47 80
2021-07-19 0.541 61
2021-07-26 0.72 61
2021-08-02 0.9 60
2021-08-09 0.832 60
2021-08-16 0.765 51
2021-08-23 0.857 51
2021-08-30 0.948 156
2021-09-06 0.962 156
2021-09-13 0.974 117
2021-09-20 0.986 117
2021-09-27 1.0 106
2021-10-04 1.0 106
2021-10-11 1.0 23
2021-10-18 1.0 23
2021-10-25 1.0 25
2021-11-01 1.0 25
2021-11-08 1.0 27
2021-11-15 1.0 27
2021-11-22 1.0 9
2021-11-29 0.778 9
2021-12-06 0.556 36
2021-12-13 0.314 36
2021-12-20 0.073 124
2021-12-27 0.042 124
2022-01-03 0.012 83
2022-01-10 0.017 83
2022-01-17 0.022 46
2022-01-24 0.011 46
2022-01-31 0.0 28
2022-02-07 0.0 28
2022-02-14 0.0 48
2022-02-21 0.0 48
2022-02-28 0.0 5
2022-03-07 0.0 5
2022-03-14 0.0 55
2022-03-21 0.0 55
2022-03-28 0.0 36
2022-04-04 0.0 36
2022-04-11 0.0 39
2022-04-18 0.0 39
2022-04-25 0.0 41
2022-05-02 0.0 41
2022-05-09 0.0 54
2022-05-16 0.0 54
2022-05-23 0.0 53
2022-05-30 0.0 53
2022-06-06 0.0 21
