week sequences_fraction total_sequences
2020-04-27 0.0 3
2020-05-04 0.0 3
2020-05-11 0.0 3
2020-05-18 0.0 3
2020-05-25 0.0 8
2020-06-01 0.0 8
2020-06-08 0.0 5
2020-06-15 0.0 5
2020-06-22 0.0 31
2020-06-29 0.0 31
2020-07-06 0.0 231
2020-07-13 0.0 231
2020-07-20 0.0 240
2020-07-27 0.0 240
2020-08-03 0.0 105
2020-08-10 0.0 105
2020-08-17 0.0 55
2020-08-24 0.0 55
2020-08-31 0.0 28
2020-09-07 0.0 28
2020-09-14 0.0 42
2020-09-21 0.0 42
2020-09-28 0.0 64
2020-10-05 0.0 64
2020-10-12 0.0 13
2020-10-19 0.0 13
2020-10-26 0.0 25
2020-11-02 0.0 25
2020-11-09 0.0 115
2020-11-16 0.0 115
2020-11-23 0.0 230
2020-11-30 0.0 230
2020-12-07 0.0 135
2020-12-14 0.0 135
2020-12-21 0.0 184
2020-12-28 0.0 184
2021-01-04 0.0 41
2021-01-11 0.0 41
2021-01-18 0.0 82
2021-01-25 0.0 82
2021-02-01 0.0 19
2021-02-08 0.0 19
2021-02-15 0.0 21
2021-02-22 0.0 21
2021-03-01 0.0 115
2021-03-08 0.01 115
2021-03-15 0.02 51
2021-03-22 0.031 51
2021-03-29 0.042 71
2021-04-05 0.164 71
2021-04-12 0.286 49
2021-04-19 0.4 49
2021-04-26 0.513 37
2021-05-03 0.399 37
2021-05-10 0.286 7
2021-05-17 0.309 7
2021-05-24 0.333 27
2021-05-31 0.645 27
2021-06-07 0.956 23
2021-06-14 0.964 23
2021-06-21 0.973 72
2021-06-28 0.919 72
2021-07-05 0.866 15
2021-07-12 0.877 15
2021-07-19 0.889 18
2021-07-26 0.924 18
2021-08-02 0.961 26
2021-08-09 0.981 26
2021-08-16 1.0 43
2021-08-23 1.0 43
2021-08-30 1.0 52
2021-09-06 1.0 52
2021-09-13 1.0 20
2021-09-20 1.0 20
2021-09-27 1.0 31
2021-10-04 1.0 31
2021-10-11 1.0 30
2021-10-18 1.0 30
2021-10-25 1.0 40
2021-11-01 0.847 40
2021-11-08 0.694 49
2021-11-15 0.811 49
2021-11-22 0.929 112
2021-11-29 0.756 112
2021-12-06 0.584 120
2021-12-13 0.299 120
2021-12-20 0.016 308
2021-12-27 0.021 308
2022-01-03 0.025 351
2022-01-10 0.051 351
2022-01-17 0.076 707
2022-01-24 0.061 707
2022-01-31 0.046 918
2022-02-07 0.023 918
2022-02-14 0.0 230
2022-02-21 0.0 230
2022-02-28 0.0 290
2022-03-07 0.0 290
2022-03-14 0.0 366
2022-03-21 0.0 366
2022-03-28 0.0 417
2022-04-04 0.0 417
2022-04-11 0.0 147
2022-04-18 0.0 147
2022-04-25 0.0 316
2022-05-02 0.0 316
2022-05-09 0.0 351
2022-05-16 0.0 351
2022-05-23 0.0 396
2022-05-30 0.0 396
2022-06-06 0.0 118
2022-06-13 0.0 118
2022-06-20 0.0 45
2022-06-27 0.0 45
2022-07-04 0.0 11
