week sequences_fraction total_sequences
2020-04-27 0.0 111
2020-05-04 0.0 111
2020-05-11 0.0 43
2020-05-18 0.0 43
2020-05-25 0.0 8
2020-06-01 0.0 8
2020-06-08 0.0 5
2020-06-15 0.0 5
2020-06-22 0.0 9
2020-06-29 0.0 9
2020-07-06 0.0 31
2020-07-13 0.0 31
2020-07-20 0.0 58
2020-07-27 0.0 58
2020-08-03 0.0 85
2020-08-10 0.0 85
2020-08-17 0.0 21
2020-08-24 0.0 21
2020-08-31 0.0 79
2020-09-07 0.0 79
2020-09-14 0.0 101
2020-09-21 0.0 101
2020-09-28 0.0 85
2020-10-05 0.0 85
2020-10-12 0.0 98
2020-10-19 0.0 98
2020-10-26 0.0 63
2020-11-02 0.0 63
2020-11-09 0.0 94
2020-11-16 0.0 94
2020-11-23 0.0 89
2020-11-30 0.0 89
2020-12-07 0.0 96
2020-12-14 0.0 96
2020-12-21 0.0 202
2020-12-28 0.0 202
2021-01-04 0.0 359
2021-01-11 0.0 359
2021-01-18 0.0 537
2021-01-25 0.0 537
2021-02-01 0.0 1650
2021-02-08 0.0 1650
2021-02-15 0.001 1569
2021-02-22 0.0 1569
2021-03-01 0.0 1456
2021-03-08 0.0 1456
2021-03-15 0.0 1773
2021-03-22 0.006 1773
2021-03-29 0.01 1219
2021-04-05 0.015 1219
2021-04-12 0.019 1591
2021-04-19 0.028 1591
2021-04-26 0.038 1957
2021-05-03 0.033 1957
2021-05-10 0.028 1776
2021-05-17 0.043 1776
2021-05-24 0.06 1594
2021-05-31 0.168 1594
2021-06-07 0.275 1488
2021-06-14 0.485 1488
2021-06-21 0.696 1272
2021-06-28 0.811 1272
2021-07-05 0.926 2552
2021-07-12 0.953 2552
2021-07-19 0.98 2752
2021-07-26 0.987 2752
2021-08-02 0.995 2735
2021-08-09 0.997 2735
2021-08-16 1.0 2562
2021-08-23 1.0 2562
2021-08-30 1.0 2752
2021-09-06 1.0 2752
2021-09-13 1.0 1649
2021-09-20 1.0 1649
2021-09-27 1.001 2305
2021-10-04 1.001 2305
2021-10-11 0.999 2408
2021-10-18 1.0 2408
2021-10-25 1.0 2561
2021-11-01 1.0 2561
2021-11-08 1.0 388
2021-11-15 0.987 388
2021-11-22 0.975 1758
2021-11-29 0.745 1758
2021-12-06 0.515 3706
2021-12-13 0.305 3706
2021-12-20 0.096 1276
2021-12-27 0.06 1276
2022-01-03 0.025 3905
2022-01-10 0.016 3905
2022-01-17 0.007 2921
2022-01-24 0.004 2921
2022-01-31 0.002 1029
2022-02-07 0.002 1029
2022-02-14 0.001 842
2022-02-21 0.002 842
2022-02-28 0.003 291
2022-03-07 0.002 291
2022-03-14 0.0 3855
2022-03-21 0.0 3855
2022-03-28 0.0 2533
2022-04-04 0.0 2533
2022-04-11 0.0 1925
2022-04-18 0.0 1925
2022-04-25 0.0 2713
2022-05-02 0.0 2713
2022-05-09 0.0 1037
2022-05-16 0.0 1037
2022-05-23 0.0 1104
2022-05-30 0.0 1104
2022-06-06 0.0 2046
2022-06-13 0.0 2046
2022-06-20 0.0 433
2022-06-27 0.0 433
2022-07-04 0.0 197
