week sequences_fraction total_sequences
2020-10-26 0.0 2
2020-11-02 0.0 2
2020-11-09 0.0 3
2020-11-16 0.0 3
2020-11-23 0.0 15
2020-11-30 0.0 15
2020-12-21 0.0 5
2020-12-28 0.0 5
2021-01-18 0.0 2
2021-01-25 0.0 2
2021-02-01 0.0 3
2021-02-08 0.0 3
2021-02-15 0.0 20
2021-02-22 0.0 20
2021-03-01 0.0 18
2021-03-08 0.0 18
2021-03-15 0.0 1
2021-03-22 0.0 1
2021-03-29 0.0 19
2021-04-05 0.0 19
2021-04-12 0.0 50
2021-04-19 0.0 50
2021-04-26 0.0 52
2021-05-03 0.0 52
2021-05-10 0.0 71
2021-05-17 0.048 71
2021-05-24 0.096 73
2021-05-31 0.192 73
2021-06-07 0.288 66
2021-06-14 0.283 66
2021-06-21 0.278 97
2021-06-28 0.33 97
2021-07-05 0.382 89
2021-07-12 0.418 89
2021-07-19 0.453 97
2021-07-26 0.353 97
2021-08-02 0.253 91
2021-08-09 0.31 91
2021-08-16 0.367 90
2021-08-23 0.379 90
2021-08-30 0.392 102
2021-09-06 0.451 102
2021-09-13 0.509 114
2021-09-20 0.63 114
2021-09-27 0.753 89
2021-10-04 0.816 89
2021-10-11 0.877 138
2021-10-18 0.934 138
2021-10-25 0.99 108
2021-11-01 0.994 108
2021-11-08 1.0 126
2021-11-15 0.997 126
2021-11-22 0.992 140
2021-11-29 0.984 140
2021-12-06 0.977 89
2021-12-13 0.785 89
2021-12-20 0.595 79
2021-12-27 0.42 79
2022-01-03 0.243 95
2022-01-10 0.172 95
2022-01-17 0.101 119
2022-01-24 0.053 119
2022-01-31 0.005 217
2022-02-07 0.002 217
2022-02-14 0.0 184
2022-02-21 0.0 184
2022-02-28 0.0 147
2022-03-07 0.0 147
2022-03-14 0.0 56
2022-03-21 0.0 56
2022-03-28 0.0 55
2022-04-04 0.0 55
2022-04-11 0.0 39
2022-04-18 0.0 39
2022-04-25 0.0 15
2022-05-02 0.0 15
2022-05-09 0.0 7
2022-05-16 0.0 7
2022-05-23 0.0 6
2022-05-30 0.0 6
2022-06-06 0.0 6
2022-06-13 0.0 6
2022-06-20 0.0 35
