week sequences_fraction total_sequences
2020-04-27 0.0 24
2020-05-04 0.0 24
2020-05-11 0.0 27
2020-05-18 0.0 27
2020-05-25 0.0 90
2020-06-01 0.0 90
2020-06-08 0.0 36
2020-06-15 0.0 36
2020-06-22 0.0 53
2020-06-29 0.0 53
2020-07-06 0.0 26
2020-07-13 0.0 26
2020-08-17 0.0 36
2020-08-24 0.0 36
2020-08-31 0.0 2
2020-09-07 0.0 2
2020-10-12 0.0 1
2020-10-19 0.0 1
2020-10-26 0.0 27
2020-11-02 0.0 27
2020-11-09 0.0 365
2020-11-16 0.0 365
2020-11-23 0.0 32
2020-11-30 0.0 32
2020-12-07 0.0 41
2020-12-14 0.0 41
2020-12-21 0.0 298
2020-12-28 0.0 298
2021-01-04 0.0 892
2021-01-11 0.0 892
2021-01-18 0.0 189
2021-01-25 0.0 189
2021-02-01 0.0 893
2021-02-08 0.0 893
2021-02-15 0.0 93
2021-02-22 0.0 93
2021-03-01 0.0 1059
2021-03-08 0.0 1059
2021-03-15 0.0 48
2021-03-22 0.0 48
2021-03-29 0.0 1164
2021-04-05 0.002 1164
2021-04-12 0.004 462
2021-04-19 0.021 462
2021-04-26 0.037 769
2021-05-03 0.125 769
2021-05-10 0.212 330
2021-05-17 0.357 330
2021-05-24 0.501 584
2021-05-31 0.577 584
2021-06-07 0.654 1050
2021-06-14 0.772 1050
2021-06-21 0.891 1254
2021-06-28 0.933 1254
2021-07-05 0.974 1334
2021-07-12 0.981 1334
2021-07-19 0.988 946
2021-07-26 0.992 946
2021-08-02 0.995 995
2021-08-09 0.997 995
2021-08-16 1.0 1002
2021-08-23 0.998 1002
2021-08-30 0.996 1068
2021-09-06 0.995 1068
2021-09-13 0.995 1057
2021-09-20 0.997 1057
2021-09-27 1.0 928
2021-10-04 0.999 928
2021-10-11 1.0 860
2021-10-18 0.999 860
2021-10-25 0.999 982
2021-11-01 1.0 982
2021-11-08 0.999 1030
2021-11-15 0.983 1030
2021-11-22 0.967 1120
2021-11-29 0.908 1120
2021-12-06 0.851 867
2021-12-13 0.583 867
2021-12-20 0.315 852
2021-12-27 0.196 852
2022-01-03 0.077 1076
2022-01-10 0.057 1076
2022-01-17 0.037 1034
2022-01-24 0.022 1034
2022-01-31 0.006 1051
2022-02-07 0.004 1051
2022-02-14 0.002 923
2022-02-21 0.002 923
2022-02-28 0.001 979
2022-03-07 0.001 979
2022-03-14 0.001 1122
2022-03-21 0.002 1122
2022-03-28 0.002 1146
2022-04-04 0.001 1146
2022-04-11 0.0 1081
2022-04-18 0.0 1081
2022-04-25 0.0 1109
2022-05-02 0.0 1109
2022-05-09 0.0 1128
2022-05-16 0.0 1128
2022-05-23 0.0 968
2022-05-30 0.0 968
2022-06-06 0.0 745
2022-06-13 0.0 745
2022-06-20 0.0 1223
2022-06-27 0.0 1223
2022-07-04 0.0 180
