week sequences_fraction total_sequences
2020-04-27 0.0 5973
2020-05-04 0.0 5973
2020-05-11 0.0 4830
2020-05-18 0.0 4830
2020-05-25 0.0 4527
2020-06-01 0.0 4527
2020-06-08 0.0 6465
2020-06-15 0.0 6465
2020-06-22 0.0 8424
2020-06-29 0.0 8424
2020-07-06 0.0 9622
2020-07-13 0.0 9622
2020-07-20 0.0 7003
2020-07-27 0.0 7003
2020-08-03 0.0 5680
2020-08-10 0.0 5680
2020-08-17 0.0 5679
2020-08-24 0.0 5679
2020-08-31 0.0 5500
2020-09-07 0.0 5500
2020-09-14 0.0 7406
2020-09-21 0.0 7406
2020-09-28 0.0 8418
2020-10-05 0.0 8418
2020-10-12 0.0 8244
2020-10-19 0.0 8244
2020-10-26 0.0 14869
2020-11-02 0.0 14869
2020-11-09 0.0 15544
2020-11-16 0.0 15544
2020-11-23 0.0 14820
2020-11-30 0.0 14820
2020-12-07 0.0 23315
2020-12-14 0.0 23315
2020-12-21 0.0 19977
2020-12-28 0.0 19977
2021-01-04 0.0 38309
2021-01-11 0.0 38309
2021-01-18 0.0 32230
2021-01-25 0.0 32230
2021-02-01 0.0 36467
2021-02-08 0.0 36467
2021-02-15 0.0 31361
2021-02-22 0.0 31361
2021-03-01 0.0 38273
2021-03-08 0.0 38273
2021-03-15 0.0 49872
2021-03-22 0.0 49872
2021-03-29 0.002 64919
2021-04-05 0.004 64919
2021-04-12 0.007 60897
2021-04-19 0.014 60897
2021-04-26 0.02 53694
2021-05-03 0.03 53694
2021-05-10 0.043 33238
2021-05-17 0.094 33238
2021-05-24 0.147 18518
2021-05-31 0.265 18518
2021-06-07 0.383 19376
2021-06-14 0.54 19376
2021-06-21 0.696 26090
2021-06-28 0.793 26090
2021-07-05 0.889 57970
2021-07-12 0.928 57970
2021-07-19 0.964 121364
2021-07-26 0.975 121364
2021-08-02 0.987 143527
2021-08-09 0.991 143527
2021-08-16 0.994 128851
2021-08-23 0.995 128851
2021-08-30 0.997 139526
2021-09-06 0.997 139526
2021-09-13 0.997 117670
2021-09-20 0.997 117670
2021-09-27 0.998 111970
2021-10-04 0.998 111970
2021-10-11 0.998 101607
2021-10-18 0.996 101607
2021-10-25 0.997 110928
2021-11-01 0.996 110928
2021-11-08 0.995 118491
2021-11-15 0.995 118491
2021-11-22 0.994 110991
2021-11-29 0.873 110991
2021-12-06 0.751 129209
2021-12-13 0.454 129209
2021-12-20 0.157 173357
2021-12-27 0.092 173357
2022-01-03 0.029 197098
2022-01-10 0.017 197098
2022-01-17 0.006 167935
2022-01-24 0.004 167935
2022-01-31 0.002 135632
2022-02-07 0.002 135632
2022-02-14 0.001 76234
2022-02-21 0.001 76234
2022-02-28 0.001 37381
2022-03-07 0.001 37381
2022-03-14 0.001 35554
2022-03-21 0.0 35554
2022-03-28 0.0 47684
2022-04-04 0.0 47684
2022-04-11 0.0 55183
2022-04-18 0.0 55183
2022-04-25 0.0 65441
2022-05-02 0.0 65441
2022-05-09 0.0 76763
2022-05-16 0.0 76763
2022-05-23 0.0 71675
2022-05-30 0.0 71675
2022-06-06 0.0 61753
2022-06-13 0.0 61753
2022-06-20 0.0 45285
2022-06-27 0.0 45285
2022-07-04 0.0 10047
