week sequences_fraction total_sequences
2020-04-27 0.0 130
2020-05-04 0.0 130
2020-05-11 0.0 64
2020-05-18 0.0 64
2020-05-25 0.0 78
2020-06-01 0.0 78
2020-06-08 0.0 152
2020-06-15 0.0 152
2020-06-22 0.0 281
2020-06-29 0.0 281
2020-07-06 0.0 428
2020-07-13 0.0 428
2020-07-20 0.0 509
2020-07-27 0.0 509
2020-08-03 0.0 178
2020-08-10 0.0 178
2020-08-17 0.0 122
2020-08-24 0.0 122
2020-08-31 0.0 335
2020-09-07 0.0 335
2020-09-14 0.0 215
2020-09-21 0.0 215
2020-09-28 0.0 273
2020-10-05 0.0 273
2020-10-12 0.0 299
2020-10-19 0.0 299
2020-10-26 0.0 396
2020-11-02 0.0 396
2020-11-09 0.0 336
2020-11-16 0.0 336
2020-11-23 0.0 401
2020-11-30 0.0 401
2020-12-07 0.0 478
2020-12-14 0.0 478
2020-12-21 0.0 769
2020-12-28 0.0 769
2021-01-04 0.001 828
2021-01-11 0.0 828
2021-01-18 0.0 357
2021-01-25 0.0 357
2021-02-01 0.0 301
2021-02-08 0.0 301
2021-02-15 0.0 166
2021-02-22 0.0 166
2021-03-01 0.0 286
2021-03-08 0.004 286
2021-03-15 0.008 243
2021-03-22 0.004 243
2021-03-29 0.0 159
2021-04-05 0.005 159
2021-04-12 0.01 297
2021-04-19 0.029 297
2021-04-26 0.047 424
2021-05-03 0.075 424
2021-05-10 0.103 484
2021-05-17 0.228 484
2021-05-24 0.354 831
2021-05-31 0.519 831
2021-06-07 0.684 1202
2021-06-14 0.791 1202
2021-06-21 0.898 1896
2021-06-28 0.932 1896
2021-07-05 0.966 1725
2021-07-12 0.975 1725
2021-07-19 0.986 1509
2021-07-26 0.988 1509
2021-08-02 0.992 1293
2021-08-09 0.993 1293
2021-08-16 0.995 1193
2021-08-23 0.996 1193
2021-08-30 0.996 1084
2021-09-06 0.994 1084
2021-09-13 0.992 672
2021-09-20 0.993 672
2021-09-27 0.994 355
2021-10-04 0.988 355
2021-10-11 0.979 277
2021-10-18 0.968 277
2021-10-25 0.957 118
2021-11-01 0.567 118
2021-11-08 0.175 338
2021-11-15 0.095 338
2021-11-22 0.014 2003
2021-11-29 0.008 2003
2021-12-06 0.002 2250
2021-12-13 0.002 2250
2021-12-20 0.003 1532
2021-12-27 0.002 1532
2022-01-03 0.003 1281
2022-01-10 0.003 1281
2022-01-17 0.003 1040
2022-01-24 0.004 1040
2022-01-31 0.006 483
2022-02-07 0.006 483
2022-02-14 0.006 544
2022-02-21 0.005 544
2022-02-28 0.004 519
2022-03-07 0.005 519
2022-03-14 0.005 565
2022-03-21 0.003 565
2022-03-28 0.001 732
2022-04-04 0.0 732
2022-04-11 0.0 921
2022-04-18 0.0 921
2022-04-25 0.001 1674
2022-05-02 0.001 1674
2022-05-09 0.001 670
2022-05-16 0.0 670
2022-05-23 0.0 514
2022-05-30 0.0 514
2022-06-06 0.0 306
2022-06-13 0.0 306
2022-06-20 0.0 112
2022-06-27 0.0 112
2022-07-04 0.0 13
