week sequences_fraction total_sequences
2020-04-27 0.0 146
2020-05-04 0.0 146
2020-05-11 0.0 165
2020-05-18 0.0 165
2020-05-25 0.0 67
2020-06-01 0.0 67
2020-06-08 0.0 78
2020-06-15 0.0 78
2020-06-22 0.0 59
2020-06-29 0.0 59
2020-07-06 0.0 110
2020-07-13 0.0 110
2020-07-20 0.0 99
2020-07-27 0.0 99
2020-08-03 0.0 110
2020-08-10 0.0 110
2020-08-17 0.0 135
2020-08-24 0.0 135
2020-08-31 0.0 49
2020-09-07 0.0 49
2020-09-14 0.0 53
2020-09-21 0.0 53
2020-09-28 0.0 38
2020-10-05 0.0 38
2020-10-12 0.0 95
2020-10-19 0.0 95
2020-10-26 0.0 55
2020-11-02 0.0 55
2020-11-09 0.0 60
2020-11-16 0.0 60
2020-11-23 0.0 48
2020-11-30 0.0 48
2020-12-07 0.0 72
2020-12-14 0.0 72
2020-12-21 0.0 46
2020-12-28 0.0 46
2021-01-04 0.0 70
2021-01-11 0.018 70
2021-01-18 0.035 57
2021-01-25 0.04 57
2021-02-01 0.044 68
2021-02-08 0.054 68
2021-02-15 0.064 47
2021-02-22 0.094 47
2021-03-01 0.124 105
2021-03-08 0.166 105
2021-03-15 0.209 187
2021-03-22 0.262 187
2021-03-29 0.316 234
2021-04-05 0.356 234
2021-04-12 0.395 347
2021-04-19 0.45 347
2021-04-26 0.505 279
2021-05-03 0.554 279
2021-05-10 0.604 328
2021-05-17 0.589 328
2021-05-24 0.575 379
2021-05-31 0.628 379
2021-06-07 0.681 404
2021-06-14 0.685 404
2021-06-21 0.689 373
2021-06-28 0.672 373
2021-07-05 0.655 380
2021-07-12 0.606 380
2021-07-19 0.558 355
2021-07-26 0.564 355
2021-08-02 0.571 494
2021-08-09 0.562 494
2021-08-16 0.552 440
2021-08-23 0.537 440
2021-08-30 0.522 395
2021-09-06 0.424 395
2021-09-13 0.327 281
2021-09-20 0.324 281
2021-09-27 0.322 255
2021-10-04 0.262 255
2021-10-11 0.201 546
2021-10-18 0.154 546
2021-10-25 0.108 715
2021-11-01 0.07 715
2021-11-08 0.033 704
2021-11-15 0.02 704
2021-11-22 0.006 798
2021-11-29 0.005 798
2021-12-06 0.003 796
2021-12-13 0.002 796
2021-12-20 0.001 1034
2021-12-27 0.0 1034
2022-01-03 0.0 635
2022-01-10 0.0 635
2022-01-17 0.0 584
2022-01-24 0.0 584
2022-01-31 0.0 338
2022-02-07 0.0 338
2022-02-14 0.0 209
2022-02-21 0.0 209
2022-02-28 0.0 114
2022-03-07 0.0 114
2022-03-14 0.0 50
2022-03-21 0.0 50
2022-03-28 0.0 42
2022-04-04 0.0 42
2022-04-11 0.0 51
2022-04-18 0.0 51
2022-04-25 0.0 87
2022-05-02 0.0 87
2022-05-09 0.0 116
2022-05-16 0.0 116
2022-05-23 0.0 169
2022-05-30 0.0 169
2022-06-06 0.0 36
2022-06-13 0.0 36
2022-06-20 0.0 32
