week sequences_fraction total_sequences
2020-04-27 0.0 191
2020-05-04 0.0 191
2020-05-11 0.0 58
2020-05-18 0.0 58
2020-05-25 0.0 30
2020-06-01 0.0 30
2020-06-08 0.0 43
2020-06-15 0.0 43
2020-06-22 0.0 28
2020-06-29 0.0 28
2020-07-06 0.0 59
2020-07-13 0.0 59
2020-07-20 0.0 120
2020-07-27 0.0 120
2020-08-03 0.0 193
2020-08-10 0.0 193
2020-08-17 0.0 198
2020-08-24 0.0 198
2020-08-31 0.0 791
2020-09-07 0.0 791
2020-09-14 0.0 459
2020-09-21 0.0 459
2020-09-28 0.0 329
2020-10-05 0.0 329
2020-10-12 0.0 729
2020-10-19 0.0 729
2020-10-26 0.0 862
2020-11-02 0.0 862
2020-11-09 0.0 579
2020-11-16 0.0 579
2020-11-23 0.0 295
2020-11-30 0.0 295
2020-12-07 0.0 349
2020-12-14 0.0 349
2020-12-21 0.0 464
2020-12-28 0.0 464
2021-01-04 0.0 1678
2021-01-11 0.002 1678
2021-01-18 0.004 3354
2021-01-25 0.003 3354
2021-02-01 0.002 2581
2021-02-08 0.004 2581
2021-02-15 0.005 3006
2021-02-22 0.006 3006
2021-03-01 0.007 4460
2021-03-08 0.008 4460
2021-03-15 0.009 6764
2021-03-22 0.015 6764
2021-03-29 0.021 4857
2021-04-05 0.026 4857
2021-04-12 0.031 4756
2021-04-19 0.023 4756
2021-04-26 0.015 3585
2021-05-03 0.021 3585
2021-05-10 0.027 3047
2021-05-17 0.026 3047
2021-05-24 0.025 2690
2021-05-31 0.027 2690
2021-06-07 0.029 1898
2021-06-14 0.04 1898
2021-06-21 0.052 2915
2021-06-28 0.035 2915
2021-07-05 0.018 8849
2021-07-12 0.013 8849
2021-07-19 0.008 17240
2021-07-26 0.006 17240
2021-08-02 0.004 11558
2021-08-09 0.002 11558
2021-08-16 0.001 10135
2021-08-23 0.001 10135
2021-08-30 0.001 6363
2021-09-06 0.001 6363
2021-09-13 0.001 4033
2021-09-20 0.0 4033
2021-09-27 0.0 3306
2021-10-04 0.0 3306
2021-10-11 0.0 5610
2021-10-18 0.0 5610
2021-10-25 0.0 13659
2021-11-01 0.0 13659
2021-11-08 0.0 12411
2021-11-15 0.0 12411
2021-11-22 0.0 12396
2021-11-29 0.0 12396
2021-12-06 0.0 12533
2021-12-13 0.0 12533
2021-12-20 0.0 15099
2021-12-27 0.0 15099
2022-01-03 0.0 14765
2022-01-10 0.0 14765
2022-01-17 0.0 11602
2022-01-24 0.0 11602
2022-01-31 0.0 9919
2022-02-07 0.0 9919
2022-02-14 0.0 10541
2022-02-21 0.0 10541
2022-02-28 0.0 12170
2022-03-07 0.0 12170
2022-03-14 0.0 12677
2022-03-21 0.0 12677
2022-03-28 0.0 11548
2022-04-04 0.0 11548
2022-04-11 0.0 10561
2022-04-18 0.0 10561
2022-04-25 0.0 8932
2022-05-02 0.0 8932
2022-05-09 0.0 6512
2022-05-16 0.0 6512
2022-05-23 0.0 5672
2022-05-30 0.0 5672
2022-06-06 0.0 6024
2022-06-13 0.0 6024
2022-06-20 0.0 7306
2022-06-27 0.0 7306
2022-07-04 0.0 1408
