week sequences_fraction total_sequences
2020-04-27 0.0 49
2020-05-04 0.0 49
2020-05-11 0.0 50
2020-05-18 0.0 50
2020-05-25 0.0 4
2020-06-01 0.0 4
2020-06-08 0.0 92
2020-06-15 0.0 92
2020-06-22 0.0 35
2020-06-29 0.0 35
2020-07-06 0.0 10
2020-07-13 0.0 10
2020-07-20 0.0 14
2020-07-27 0.0 14
2020-08-03 0.0 70
2020-08-10 0.0 70
2020-08-17 0.0 123
2020-08-24 0.0 123
2020-08-31 0.0 81
2020-09-07 0.0 81
2020-09-14 0.0 46
2020-09-21 0.0 46
2020-09-28 0.0 17
2020-10-05 0.0 17
2020-10-12 0.0 138
2020-10-19 0.0 138
2020-10-26 0.0 4
2020-11-02 0.0 4
2020-11-09 0.0 43
2020-11-16 0.0 43
2020-11-23 0.0 56
2020-11-30 0.004 56
2020-12-07 0.007 139
2020-12-14 0.048 139
2020-12-21 0.09 111
2020-12-28 0.08 111
2021-01-04 0.07 143
2021-01-11 0.064 143
2021-01-18 0.057 105
2021-01-25 0.078 105
2021-02-01 0.099 142
2021-02-08 0.123 142
2021-02-15 0.147 129
2021-02-22 0.124 129
2021-03-01 0.1 250
2021-03-08 0.136 250
2021-03-15 0.173 185
2021-03-22 0.159 185
2021-03-29 0.146 425
2021-04-05 0.165 425
2021-04-12 0.185 319
2021-04-19 0.178 319
2021-04-26 0.17 330
2021-05-03 0.19 330
2021-05-10 0.211 355
2021-05-17 0.188 355
2021-05-24 0.165 496
2021-05-31 0.196 496
2021-06-07 0.228 679
2021-06-14 0.228 679
2021-06-21 0.229 353
2021-06-28 0.286 353
2021-07-05 0.342 638
2021-07-12 0.347 638
2021-07-19 0.351 444
2021-07-26 0.365 444
2021-08-02 0.379 750
2021-08-09 0.361 750
2021-08-16 0.342 599
2021-08-23 0.316 599
2021-08-30 0.291 664
2021-09-06 0.246 664
2021-09-13 0.2 919
2021-09-20 0.155 919
2021-09-27 0.11 812
2021-10-04 0.078 812
2021-10-11 0.045 784
2021-10-18 0.041 784
2021-10-25 0.037 733
2021-11-01 0.029 733
2021-11-08 0.021 864
2021-11-15 0.026 864
2021-11-22 0.03 674
2021-11-29 0.016 674
2021-12-06 0.003 1048
2021-12-13 0.002 1048
2021-12-20 0.001 701
2021-12-27 0.001 701
2022-01-03 0.001 1165
2022-01-10 0.0 1165
2022-01-17 0.0 814
2022-01-24 0.0 814
2022-01-31 0.0 1234
2022-02-07 0.0 1234
2022-02-14 0.0 862
2022-02-21 0.0 862
2022-02-28 0.0 570
2022-03-07 0.0 570
2022-03-14 0.0 311
2022-03-21 0.0 311
2022-03-28 0.0 150
2022-04-04 0.0 150
2022-04-11 0.0 131
2022-04-18 0.0 131
2022-04-25 0.0 192
2022-05-02 0.0 192
2022-05-09 0.0 501
2022-05-16 0.0 501
2022-05-23 0.0 863
2022-05-30 0.0 863
2022-06-06 0.0 1222
2022-06-13 0.0 1222
2022-06-20 0.0 1219
2022-06-27 0.0 1219
2022-07-04 0.0 43
