week sequences_fraction total_sequences
2020-04-27 0.0 61
2020-05-04 0.0 61
2020-05-11 0.0 26
2020-05-18 0.0 26
2020-05-25 0.0 23
2020-06-01 0.0 23
2020-06-08 0.0 4
2020-06-15 0.0 4
2020-08-03 0.0 1
2020-08-10 0.0 1
2020-08-17 0.0 3
2020-08-24 0.0 3
2020-08-31 0.0 6
2020-09-07 0.0 6
2020-09-14 0.0 9
2020-09-21 0.0 9
2020-09-28 0.0 4
2020-10-05 0.0 4
2020-10-12 0.0 7
2020-10-19 0.0 7
2020-10-26 0.0 9
2020-11-02 0.0 9
2020-11-09 0.0 7
2020-11-16 0.0 7
2020-11-23 0.0 37
2020-11-30 0.0 37
2020-12-07 0.0 65
2020-12-14 0.0 65
2020-12-21 0.0 133
2020-12-28 0.0 133
2021-01-04 0.0 190
2021-01-11 0.0 190
2021-01-18 0.0 326
2021-01-25 0.0 326
2021-02-01 0.0 456
2021-02-08 0.0 456
2021-02-15 0.0 1201
2021-02-22 0.0 1201
2021-03-01 0.0 1981
2021-03-08 0.0 1981
2021-03-15 0.0 1689
2021-03-22 0.001 1689
2021-03-29 0.002 2094
2021-04-05 0.002 2094
2021-04-12 0.002 2988
2021-04-19 0.001 2988
2021-04-26 0.0 2557
2021-05-03 0.0 2557
2021-05-10 0.001 2178
2021-05-17 0.004 2178
2021-05-24 0.006 977
2021-05-31 0.009 977
2021-06-07 0.012 345
2021-06-14 0.006 345
2021-06-21 0.0 158
2021-06-28 0.003 158
2021-07-05 0.006 157
2021-07-12 0.003 157
2021-07-19 0.0 298
2021-07-26 0.002 298
2021-08-02 0.003 309
2021-08-09 0.002 309
2021-08-16 0.0 965
2021-08-23 0.0 965
2021-08-30 0.0 1108
2021-09-06 0.0 1108
2021-09-13 0.0 1624
2021-09-20 0.0 1624
2021-09-27 0.0 2038
2021-10-04 0.0 2038
2021-10-11 0.0 2426
2021-10-18 0.0 2426
2021-10-25 0.0 3543
2021-11-01 0.0 3543
2021-11-08 0.0 2911
2021-11-15 0.0 2911
2021-11-22 0.0 2814
2021-11-29 0.0 2814
2021-12-06 0.0 3547
2021-12-13 0.0 3547
2021-12-20 0.0 3932
2021-12-27 0.0 3932
2022-01-03 0.0 8128
2022-01-10 0.0 8128
2022-01-17 0.0 9775
2022-01-24 0.0 9775
2022-01-31 0.0 9103
2022-02-07 0.0 9103
2022-02-14 0.0 3572
2022-02-21 0.0 3572
2022-02-28 0.0 1967
2022-03-07 0.0 1967
2022-03-14 0.0 1297
2022-03-21 0.0 1297
2022-03-28 0.0 894
2022-04-04 0.0 894
2022-04-11 0.0 287
2022-04-18 0.0 287
2022-04-25 0.0 207
2022-05-02 0.0 207
2022-05-09 0.0 179
2022-05-16 0.0 179
2022-05-23 0.0 112
2022-05-30 0.0 112
2022-06-06 0.0 83
2022-06-13 0.0 83
2022-06-20 0.0 92
2022-06-27 0.0 92
2022-07-04 0.0 110
