"group","date","cum_I","Incidence","imported","Rt"
"ARG",2020-09-09,0,0,0,1.05
"ARG",2020-09-10,0,0,0,1.05
"ARG",2020-09-11,0,0,0,1.05
"ARG",2020-09-12,0,0,0,1.05
"ARG",2020-09-13,0,0,0,1.05
"ARG",2020-09-14,0,0,0,1.05
"ARG",2020-09-15,0,0,0,1.05
"ARG",2020-09-16,0,0,0,1.05
"ARG",2020-09-17,0,0,0,1.05
"ARG",2020-09-18,0,0,0,1.05
"ARG",2020-09-19,0,0,0,1.05
"ARG",2020-09-20,0,0,0,1.05
"ARG",2020-09-21,0,0,0,1.05
"ARG",2020-09-22,0,0,0,1.05
"ARG",2020-09-23,0,5.01182233529684e-06,5.01182233529684e-06,1.05
"ARG",2020-09-24,1.52577131600194e-08,1.02178960385857e-05,1.02026383254257e-05,1.05
"ARG",2020-09-25,2.69875481915655e-07,1.50197061736762e-05,1.47650884049206e-05,1.05
"ARG",2020-09-26,1.4240840161559e-06,2.02219418825283e-05,1.9067733348288e-05,1.05
"ARG",2020-09-27,4.47158784508215e-06,2.51702132691787e-05,2.21227094402524e-05,1.05
"ARG",2020-09-28,1.04505467086058e-05,3.34971563633542e-05,2.75181974998306e-05,1.05
"ARG",2020-09-29,2.02385725638451e-05,4.26767882475195e-05,3.28887623922802e-05,1.05
"ARG",2020-09-30,3.46027852629386e-05,5.77025793456184e-05,4.33383666465248e-05,1.05
"ARG",2020-10-01,5.44192123533744e-05,0.000161295973315559,0.000141479546225124,1.05
"ARG",2020-10-02,8.12044756984465e-05,0.000219322084512747,0.000192536821167675,1.05
"ARG",2020-10-03,0.000120503905223199,0.000322934869219014,0.000283635439694262,1.05
"ARG",2020-10-04,0.000183919593476526,0.000397013553392498,0.000333597865139171,1.05
"ARG",2020-10-05,0.000286663933954601,0.000494043947619761,0.000391299607141685,1.05
"ARG",2020-10-06,0.000444159143260663,0.000604997090660013,0.000447501881353951,1.05
"ARG",2020-10-07,0.00066941710422143,0.000742358155489068,0.000517100194528301,1.05
"ARG",2020-10-08,0.000973377029060983,0.000862910344730601,0.000558950419891048,1.05
"ARG",2020-10-09,0.00136692212806663,0.000999028605969465,0.000605483506963816,1.05
"ARG",2020-10-10,0.0018614374464007,0.00113911391033953,0.000644598592005462,1.05
"ARG",2020-10-11,0.00246761195295875,0.00129493797857073,0.00068876347201268,1.05
"ARG",2020-10-12,0.00319489286279518,0.00147639002671459,0.000749109116878158,1.05
"ARG",2020-10-13,0.00405201844812744,0.00167036670158857,0.000813241116256312,1.05
"ARG",2020-10-14,0.00504854242461362,0.00220982547928832,0.00121330150280213,1.05
"ARG",2020-10-15,0.00619711649547251,0.00267557375581136,0.00152699968495247,1.05
"ARG",2020-10-16,0.00752591694494735,0.00318099225287988,0.00185219180340504,1.05
"ARG",2020-10-17,0.0090891189284005,0.00373482207806411,0.00217162009461096,1.05
"ARG",2020-10-18,0.0109569922957446,0.00435885034993293,0.00249097698258878,1.05
"ARG",2020-10-19,0.0132011026684025,0.00515064819256066,0.00290653781990284,1.05
"ARG",2020-10-20,0.0158882260295197,0.00611831623376672,0.00343119287264947,1.05
"ARG",2020-10-21,0.0190858016873589,0.00741532269023999,0.00421774703240077,1.05
"ARG",2020-10-22,0.0228746678590404,0.00875176539206947,0.004962899220388,1.05
"ARG",2020-10-23,0.0273640382422828,0.0103104650022491,0.00582109461900671,1.05
"ARG",2020-10-24,0.0326952780207421,0.0118774857478913,0.00654624596943195,1.05
"ARG",2020-10-25,0.0390305414011621,0.0136593245478522,0.00732406116743215,1.05
"ARG",2020-10-26,0.0465366809943431,0.0156827870389794,0.00817664744579845,1.05
"ARG",2020-10-27,0.0553741875210069,0.0179260326980794,0.00908852617141565,1.05
"ARG",2020-10-28,0.0657018016490152,0.0216257171600428,0.0112981030320345,1.05
"ARG",2020-10-29,0.0776918935463455,0.0252947981969744,0.0133047062996441,1.05
"ARG",2020-10-30,0.0915839152108715,0.0290291212391594,0.0151370995746334,1.05
"ARG",2020-10-31,0.107728663358891,0.0332358109437631,0.017091062795744,1.05
"ARG",2020-11-01,0.126544147963046,0.0345037849920764,0.015688300387921,1.05
"ARG",2020-11-02,0.148439763219622,0.038912424745872,0.0170168094892962,1.05
"ARG",2020-11-03,0.173674119135879,0.0439652440463772,0.0187308881301194,1.05
"ARG",2020-11-04,0.20232292829031,0.0500803468780483,0.0214315377236174,1.05
"ARG",2020-11-05,0.234488629285604,0.0559656661025732,0.0237999651072794,1.05
"ARG",2020-11-06,0.270475992951019,0.0624008694873094,0.0264135058218948,1.05
"ARG",2020-11-07,0.310785888294757,0.0686740030296158,0.0283641076858771,1.05
"ARG",2020-11-08,0.355994643514975,0.0757330901659292,0.0305243349457111,1.05
"ARG",2020-11-09,0.406644484855105,0.0831730115632662,0.0325231702231368,1.05
"ARG",2020-11-10,0.463203330063618,0.0913511003515611,0.0347922551430477,1.05
"ARG",2020-11-11,0.526095386471184,0.102627497863303,0.0397354414557371,1.05
"ARG",2020-11-12,0.59575750429726,0.112174405724371,0.0425122878982946,1.05
"ARG",2020-11-13,0.672765431291112,0.122109510926672,0.0451015839328199,1.05
"ARG",2020-11-14,0.757865202480208,0.132671450237067,0.0475716790479709,1.05
"ARG",2020-11-15,0.851804920193175,0.143249126218508,0.0493094085055411,1.05
"ARG",2020-11-16,0.955213809220514,0.154589194571942,0.0511803055446032,1.05
"ARG",2020-11-17,1.06859499222155,0.166267054029974,0.0528858710289387,1.05
"ARG",2020-11-18,1.19236966675755,0.179423672927844,0.0556489983918427,1.05
"ARG",2020-11-19,1.32694023649189,0.191332673792307,0.0567621040579657,1.05
"ARG",2020-11-20,1.47275619784884,0.203724522780963,0.0579085614240097,1.05
"ARG",2020-11-21,1.63030248003393,0.216121678537834,0.0585753963527445,1.05
"ARG",2020-11-22,1.80000241574037,0.228838605585142,0.0591386698787103,1.05
"ARG",2020-11-23,1.98217275023933,0.240888415302384,0.058718080803417,1.05
"ARG",2020-11-24,2.17704123345139,0.254759919208827,0.0598914359967685,1.05
"ARG",2020-11-25,2.38476461603261,0.272394593772899,0.064671211191683,1.05
"ARG",2020-11-26,2.60549732576065,0.28620765556831,0.0654749458402718,1.05
"ARG",2020-11-27,2.83961744106458,0.301961967903137,0.0678418525992046,1.05
"ARG",2020-11-28,3.08775451797044,0.316769987262346,0.0686329103564857,1.05
"ARG",2020-11-29,3.3505499254318,0.332624079224206,0.0698286717628453,1.05
"ARG",2020-11-30,3.62850890189575,0.350093726650852,0.0721347501868968,1.05
"ARG",2020-12-01,3.92199257652093,0.451001878759036,0.157518204133854,1.05
"ARG",2020-12-02,4.2316042742984,0.481034124474184,0.171422426696716,1.05
"ARG",2020-12-03,4.56130047264175,0.513967817919152,0.184271619575801,1.05
"ARG",2020-12-04,4.91931758357619,0.555235946089186,0.197218835154745,1.05
"ARG",2020-12-05,5.3134699849866,0.606923910021003,0.2127715086106,1.05
"ARG",2020-12-06,5.7482320178509,0.659977410194919,0.225215377330617,1.05
"ARG",2020-12-07,6.2257643922648,0.713302375206824,0.23577000079292,1.05
"ARG",2020-12-08,6.74793630627362,0.776250405018149,0.254078491009338,1.05
"ARG",2020-12-09,7.31713718436139,0.853296698417272,0.284095820329494,1.05
"ARG",2020-12-10,7.9363952361637,0.926443035919162,0.307184984116855,1.05
"ARG",2020-12-11,8.60982910492762,1.0059476108685,0.332513742104584,1.05
"ARG",2020-12-12,9.34269317228944,1.08420754334982,0.351343475988001,1.05
"ARG",2020-12-13,10.140628103616,1.17478865782608,0.376853726499499,1.05
"ARG",2020-12-14,11.008919080917,1.26726948867459,0.398978511373656,1.05
"ARG",2020-12-15,11.9523967122524,1.37565525296193,0.432177621626478,1.05
"ARG",2020-12-16,12.9758823204536,1.51922305268615,0.495737444484953,1.05
"ARG",2020-12-17,14.0848432027637,1.64717118866497,0.538210306354834,1.05
"ARG",2020-12-18,15.2869933483955,1.77755524166721,0.575405096035479,1.05
"ARG",2020-12-19,16.5925379283488,1.93893831347161,0.633393733518264,1.05
"ARG",2020-12-20,18.0120402286238,2.10257068373745,0.683068383462516,1.05
"ARG",2020-12-21,19.5555230534328,2.2876620296911,0.744179204882052,1.05
"ARG",2020-12-22,21.2332731852955,2.49160079802547,0.813850666162778,1.05
"ARG",2020-12-23,23.0565133915742,2.71045574321481,0.887215536936156,1.05
"ARG",2020-12-24,25.0379709993965,2.91169103631313,0.930233428490749,1.05
"ARG",2020-12-25,27.1919314994476,3.13077804557877,0.97681754552766,1.05
"ARG",2020-12-26,29.5325606274137,3.35848555101246,1.01785642304645,1.05
"ARG",2020-12-27,32.0719213562627,3.62606294320659,1.08670221435756,1.05
