"group","date","cum_I","Incidence","imported","Rt"
"AUS",2020-09-09,0,0,0,1.62
"AUS",2020-09-10,0,0,0,1.62
"AUS",2020-09-11,0,0,0,1.62
"AUS",2020-09-12,0,0,0,1.62
"AUS",2020-09-13,0,0,0,1.62
"AUS",2020-09-14,0,0,0,1.62
"AUS",2020-09-15,0,0,0,1.62
"AUS",2020-09-16,0,0,0,1.62
"AUS",2020-09-17,0,0,0,1.62
"AUS",2020-09-18,0,0,0,1.62
"AUS",2020-09-19,0,0,0,1.62
"AUS",2020-09-20,0,0,0,1.62
"AUS",2020-09-21,0,0,0,1.62
"AUS",2020-09-22,0,0,0,1.62
"AUS",2020-09-23,0,5.94196105566739e-05,5.94196105566739e-05,1.62
"AUS",2020-09-24,2.79093225795427e-07,0.000121240443287596,0.0001209613500618,1.62
"AUS",2020-09-25,4.93700828659928e-06,0.000179711167981686,0.000175053252920882,1.62
"AUS",2020-09-26,2.60641815191875e-05,0.000247192108091592,0.000226064934859003,1.62
"AUS",2020-09-27,8.19764300953427e-05,0.0003181966416482,0.000262284393072045,1.62
"AUS",2020-09-28,0.000192307441998594,0.000436583713868738,0.000326252701965487,1.62
"AUS",2020-09-29,0.00037492001923699,0.000572538101788047,0.00038992552454965,1.62
"AUS",2020-09-30,0.000647477514964504,0.000786372371039994,0.00051381487531248,1.62
"AUS",2020-10-01,0.00103177373577392,0.00108063092975365,0.000696334708944228,1.62
"AUS",2020-10-02,0.00155881216114969,0.00147466707492987,0.000947628649554094,1.62
"AUS",2020-10-03,0.002275371087214,0.00211255719306115,0.00139599826699684,1.62
"AUS",2020-10-04,0.00325025788685051,0.00261679037173639,0.00164190357209988,1.62
"AUS",2020-10-05,0.00458414602394665,0.00325978841963896,0.00192590028254282,1.62
"AUS",2020-10-06,0.00640405222964468,0.00402242311092445,0.00220251690522642,1.62
"AUS",2020-10-07,0.0088411298645333,0.00498214385159045,0.00254506621670184,1.62
"AUS",2020-10-08,0.0120242015857201,0.00593411657773276,0.00275104485654599,1.62
"AUS",2020-10-09,0.0160911947113681,0.0070470647532549,0.00298007162760683,1.62
"AUS",2020-10-10,0.0211948013544136,0.00827619508375023,0.00317258844070477,1.62
"AUS",2020-10-11,0.0274961087074809,0.00969126671194312,0.00338995935887584,1.62
"AUS",2020-10-12,0.0351624484767142,0.0113533086123394,0.0036869688431061,1.62
"AUS",2020-10-13,0.0443726534261954,0.013212818974612,0.00400261402513078,1.62
"AUS",2020-10-14,0.0553294464435577,0.0169284261711114,0.00597163315374904,1.62
"AUS",2020-10-15,0.0682776399959162,0.0204637879230626,0.00751559437070407,1.62
"AUS",2020-10-16,0.0835999231420653,0.024438409644609,0.00911612649845989,1.62
"AUS",2020-10-17,0.101899410223616,0.0289877772751885,0.0106882901936381,1.62
"AUS",2020-10-18,0.123930618463674,0.0342913106961239,0.0122601024560659,1.62
"AUS",2020-10-19,0.150500884888752,0.0408756782026719,0.0143054117775933,1.62
"AUS",2020-10-20,0.182443489989423,0.0488302666323674,0.0168876615316964,1.62
"AUS",2020-10-21,0.220676823751778,0.0589922613287031,0.0207589275663483,1.62
"AUS",2020-10-22,0.266311368838982,0.070060966265071,0.0244264211778673,1.62
"AUS",2020-10-23,0.320768359840581,0.0831072824070649,0.0286502914054657,1.62
"AUS",2020-10-24,0.38581636366244,0.0972673486206357,0.0322193447987767,1.62
"AUS",2020-10-25,0.463503725621362,0.113734961328505,0.0360475993695825,1.62
"AUS",2020-10-26,0.556067513714793,0.132807650695659,0.0402438626022293,1.62
"AUS",2020-10-27,0.665886664599455,0.1545511025707,0.0447319516860373,1.62
"AUS",2020-10-28,0.795550401331335,0.185270794404479,0.0556070576725995,1.62
"AUS",2020-10-29,0.947999213702383,0.217931979626966,0.0654831672559176,1.62
"AUS",2020-10-30,1.1269490536882,0.253451689248116,0.0745018492622957,1.62
"AUS",2020-10-31,1.33725034875775,0.294420169881914,0.0841188748123691,1.62
"AUS",2020-11-01,1.58459623732344,0.356366782556386,0.109020893990692,1.62
"AUS",2020-11-02,1.87517472762355,0.408831439154955,0.11825294885485,1.62
"AUS",2020-11-03,2.21644859476039,0.471438264725608,0.130164397588761,1.62
"AUS",2020-11-04,2.61746443373103,0.549947548872297,0.148931709901663,1.62
"AUS",2020-11-05,3.08776357898452,0.635689494034713,0.165390348781224,1.62
"AUS",2020-11-06,3.63737372296781,0.733162469405899,0.183552325422608,1.62
"AUS",2020-11-07,4.27764376095182,0.83737745565836,0.197107417674348,1.62
"AUS",2020-11-08,5.021542239391,0.956017713918308,0.212119235479129,1.62
"AUS",2020-11-09,5.88329714562363,1.0877644168529,0.22600951062027,1.62
"AUS",2020-11-10,6.87801280394526,1.23649345871151,0.241777800389884,1.62
"AUS",2020-11-11,8.02183509544118,1.41995120562321,0.276128914127283,1.62
"AUS",2020-11-12,9.33252372186662,1.60611435882856,0.295425732403122,1.62
"AUS",2020-11-13,10.8309295206721,1.81182502709474,0.313419228289257,1.62
"AUS",2020-11-14,12.5415218373731,2.04117669169427,0.330584374993302,1.62
"AUS",2020-11-15,14.4908209695824,2.29195930982588,0.342660177616518,1.62
"AUS",2020-11-16,16.7064060128396,2.57124642959098,0.355661386333821,1.62
"AUS",2020-11-17,19.2171616983835,2.87826936111651,0.367513675572563,1.62
"AUS",2020-11-18,22.054070123298,3.22362358234713,0.386715157432629,1.62
"AUS",2020-11-19,25.2510428323153,3.59142304309918,0.394450334081865,1.62
