"group","date","cum_I","Incidence","imported","Rt"
"BHR",2020-09-09,0,0,0,2.63
"BHR",2020-09-10,0,0,0,2.63
"BHR",2020-09-11,0,0,0,2.63
"BHR",2020-09-12,0,0,0,2.63
"BHR",2020-09-13,0,0,0,2.63
"BHR",2020-09-14,0,0,0,2.63
"BHR",2020-09-15,0,0,0,2.63
"BHR",2020-09-16,0,0,0,2.63
"BHR",2020-09-17,0,0,0,2.63
"BHR",2020-09-18,0,0,0,2.63
"BHR",2020-09-19,0,0,0,2.63
"BHR",2020-09-20,0,0,0,2.63
"BHR",2020-09-21,0,0,0,2.63
"BHR",2020-09-22,0,0,0,2.63
"BHR",2020-09-23,0,5.49768449298346e-05,5.49768449298346e-05,2.63
"BHR",2020-09-24,4.19218114844456e-07,0.000112336366722008,0.000111917148607163,2.63
"BHR",2020-09-25,7.41696944788076e-06,0.000168962386411136,0.000161964635078099,2.63
"BHR",2020-09-26,3.91899857317147e-05,0.00024093522302638,0.000209162206742546,2.63
"BHR",2020-09-27,0.00012362022814546,0.000327103802040737,0.000242673559626992,2.63
"BHR",2020-09-28,0.000291916591511999,0.000470155363044576,0.000301858999678037,2.63
"BHR",2020-09-29,0.000575766757303486,0.000644621212530412,0.000360771046738925,2.63
"BHR",2020-09-30,0.00101158861959522,0.000911219133631197,0.000475397271339467,2.63
"BHR",2020-10-01,0.00164830610156078,0.00169399825091231,0.00105728076894674,2.63
"BHR",2020-10-02,0.00255892379246248,0.002349450962326,0.0014388332714243,2.63
"BHR",2020-10-03,0.00388952457875983,0.00345021668684117,0.00211961590054382,2.63
"BHR",2020-10-04,0.00589314108745765,0.00449660306954035,0.00249298656084254,2.63
"BHR",2020-10-05,0.00891600404938321,0.00594705632107738,0.00292419335915181,2.63
"BHR",2020-10-06,0.013368599785482,0.00779679032709753,0.00334419459099877,2.63
"BHR",2020-10-07,0.0197008038206894,0.010196508847321,0.00386430481211358,2.63
"BHR",2020-10-08,0.0284273170725425,0.0129035660168171,0.00417705276496405,2.63
"BHR",2020-10-09,0.0401824303476386,0.0162799091548385,0.00452479587974247,2.63
"BHR",2020-10-10,0.0557465927584662,0.0203812664601514,0.0048171040493237,2.63
"BHR",2020-10-11,0.076044791150593,0.0254453478758638,0.00514714948373702,2.63
"BHR",2020-10-12,0.102167993547662,0.0317213166422033,0.00559811424513396,2.63
"BHR",2020-10-13,0.135425195759693,0.0393345767560967,0.00607737454406603,2.63
"BHR",2020-10-14,0.177420020609714,0.0510618623128478,0.0090670374628264,2.63
"BHR",2020-10-15,0.230147444030705,0.0641387365341877,0.0114113131131974,2.63
"BHR",2020-10-16,0.29629286134715,0.0799869006007134,0.0138414832842684,2.63
"BHR",2020-10-17,0.379517418251279,0.099453137110607,0.0162285802064776,2.63
"BHR",2020-10-18,0.484403571443958,0.123501296722963,0.0186151435302838,2.63
"BHR",2020-10-19,0.616377651004762,0.153694721329826,0.0217206417690217,2.63
"BHR",2020-10-20,0.781860598012921,0.191124351264763,0.0256414042566049,2.63
"BHR",2020-10-21,0.988659209149196,0.238317957533837,0.0315193463975618,2.63
"BHR",2020-10-22,1.24649141389158,0.294920095140247,0.0370878903978646,2.63
"BHR",2020-10-23,1.56758017802301,0.364589973734568,0.0435012096031323,2.63
"BHR",2020-10-24,1.96713227264788,0.448472381386761,0.0489202867618928,2.63
"BHR",2020-10-25,2.46369001708261,0.551290666821924,0.0547329223871976,2.63
"BHR",2020-10-26,3.07957368011565,0.676987987506517,0.0611043244734766,2.63
"BHR",2020-10-27,3.84157683623876,0.829921976867822,0.0679188207447089,2.63
"BHR",2020-10-28,4.78208389112455,1.02493810785469,0.0844310529688973,2.63
"BHR",2020-10-29,5.94052543891321,1.25786800541042,0.099426457621761,2.63
"BHR",2020-10-30,7.36575122928864,1.53834577630206,0.113119985926629,2.63
"BHR",2020-10-31,9.11855286315963,1.88052364385007,0.127722009979083,2.63
"BHR",2020-11-01,11.2730117941029,2.24944143062674,0.0949824996834984,2.63
"BHR",2020-11-02,13.9177308460724,2.74774481396831,0.103025761998774,2.63
"BHR",2020-11-03,17.1546863227946,3.35035887491702,0.113403398194779,2.63
"BHR",2020-11-04,21.102162871672,4.07723063151957,0.129754082642226,2.63
"BHR",2020-11-05,25.9061350097652,4.94806551483721,0.14409337674398,2.63
"BHR",2020-11-06,31.7496932313436,6.00347489491667,0.159916673338294,2.63
"BHR",2020-11-07,38.8575510660672,7.27958413921039,0.171726304486802,2.63
"BHR",2020-11-08,47.5003354883424,8.82758950393672,0.184805081661507,2.63
"BHR",2020-11-09,58.0027362535826,10.6993075001344,0.196906734894232,2.63
"BHR",2020-11-10,70.7558437554413,12.9637520765672,0.210644574708494,2.63
"BHR",2020-11-11,86.2325333219632,15.7172619333284,0.240572366806482,2.63
"BHR",2020-11-12,105.00520924813,19.0300602999994,0.257384373832712,2.63
"BHR",2020-11-13,127.767731887539,23.0355835239977,0.273060884589043,2.63
"BHR",2020-11-14,155.360450158232,27.8807339816622,0.288015710968685,2.63
"BHR",2020-11-15,188.797915096836,33.7360014761482,0.298536537544695,2.63
"BHR",2020-11-16,229.303994939668,40.8159434504246,0.309863607592219,2.63
"BHR",2020-11-17,278.356323800971,49.3725185634413,0.320189702138497,2.63
"BHR",2020-11-18,337.740221783701,59.7208166317519,0.336918649021396,2.63
"BHR",2020-11-19,409.613606220943,72.2170422202652,0.343657783023549,2.63
"BHR",2020-11-20,496.585177195093,87.3221698141214,0.350598839971391,2.63
"BHR",2020-11-21,601.807811976264,105.577270874818,0.354636093647148,2.63
"BHR",2020-11-22,729.090535390907,127.640769764735,0.358046350091686,2.63
"BHR",2020-11-23,883.035108268501,154.300072833193,0.355499955598776,2.63
"BHR",2020-11-24,1069.20205341731,186.529549010286,0.362603861472923,2.63
"BHR",2020-11-25,1294.31093207851,225.500420966273,0.391542305071804,2.63
"BHR",2020-11-26,1566.48288909427,272.568365413658,0.396408397900061,2.63
"BHR",2020-11-27,1895.53599077302,329.463840164348,0.41073848560378,2.63
"BHR",2020-11-28,2293.33865785066,398.21819490571,0.415527828064258,2.63
"BHR",2020-11-29,2774.23306422325,481.317173761632,0.42276738904873,2.63
"BHR",2020-11-30,3355.54943061119,581.753095588523,0.436729200574933,2.63
"BHR",2020-12-01,4058.23014512539,703.35966586994,0.67895135574098,2.63
"BHR",2020-12-02,4907.58731747419,850.096055131585,0.738882782787707,2.63
"BHR",2020-12-03,5934.23570300316,1027.44265224007,0.794266711098742,2.63
"BHR",2020-12-04,7175.20074597259,1241.81511611648,0.850073147051533,2.63
"BHR",2020-12-05,8675.21886664397,1500.93523057007,0.917109898684866,2.63
"BHR",2020-12-06,10488.3291465991,1814.08102671175,0.970746756625034,2.63
"BHR",2020-12-07,12679.8287271406,2192.51582093457,1.01624039304929,2.63
"BHR",2020-12-08,15328.6372917278,2649.90372014001,1.09515555287071,2.63
"BHR",2020-12-09,18530.1383284052,3202.72557604693,1.22453936948867,2.63
"BHR",2020-12-10,22399.6086940613,3870.79442634213,1.32406068604096,2.63
"BHR",2020-12-11,27076.371578194,4678.19611946733,1.4332353345812,2.63
"BHR",2020-12-12,32728.8120968797,5653.9549158988,1.51439721309985,2.63
"BHR",2020-12-13,39560.429724415,6833.24198168484,1.62435414960324,2.63
"BHR",2020-12-14,47817.1539602176,8258.44395450244,1.71971869980482,2.63
"BHR",2020-12-15,57796.1935866689,9980.90244341104,1.86281695971384,2.63
"BHR",2020-12-16,69856.7362457942,12062.6794382479,2.13677912261247,2.63
"BHR",2020-12-17,84432.8792170172,14578.4628212948,2.3198500718232,2.63
"BHR",2020-12-18,102049.264788584,17618.8657424919,2.48017092501624,2.63
"BHR",2020-12-19,123339.959545696,21293.4248766966,2.73011958493781,2.63
"BHR",2020-12-20,149071.246785403,25734.231472138,2.9442324305677,2.63
"BHR",2020-12-21,180169.192620051,31101.1534733005,3.20763865260652,2.63
"BHR",2020-12-22,217752.980540491,37587.2958642754,3.50794383544626,2.63
"BHR",2020-12-23,263175.190330458,45426.0339587035,3.82416873623943,2.63
"BHR",2020-12-24,318070.470847259,54899.2901057301,4.00958892911625,2.63
"BHR",2020-12-25,384414.356581868,66348.0961152469,4.21038063818964,2.63
"BHR",2020-12-26,464594.333489616,80184.3641784269,4.38727067882134,2.63
"BHR",2020-12-27,561495.726785577,96906.0773129344,4.6840169730339,2.63
"BHR",2020-12-28,678605.525096726,117114.890386208,5.09207505998801,2.63
"BHR",2020-12-29,820137.874040848,141537.829732275,5.4807881520983,2.63
"BHR",2020-12-30,991185.73986662,171053.808429264,5.94260349273704,2.63
"BHR",2020-12-31,1197904.16802014,206724.660280195,6.23212667090242,2.63
"BHR",2021-01-01,1447731.73440341,249834.350933673,6.7845504112558,2.63
"BHR",2021-01-02,1749658.1736153,301933.620985024,7.18177313060487,2.63
"BHR",2021-01-03,2114547.84871557,364897.212859033,7.5377587583498,2.63
"BHR",2021-01-04,2555530.69310492,440990.789798541,7.94540919542383,2.63
"BHR",2021-01-05,3088474.638406,532952.280965293,8.3356642114051,2.63
"BHR",2021-01-06,3732556.55897248,644090.550814317,8.63024783746609,2.63
"BHR",2021-01-07,4510952.29678115,778404.818932818,9.08112415017928,2.63
"BHR",2021-01-08,5451670.57075349,940727.770074752,9.49610241244184,2.63
"BHR",2021-01-09,6588560.78798247,1136900.04267099,9.8254420079871,2.63
"BHR",2021-01-10,7962531.02281049,1373980.30299828,10.0681702637606,2.63
"BHR",2021-01-11,9623019.95437271,1660499.13551076,10.2039485332731,2.63
"BHR",2021-01-12,11629775.7325796,2006766.01545792,10.2372509840967,2.63
"BHR",2021-01-13,14055005.8062706,2425240.43476313,10.3610721996883,2.63
"BHR",2021-01-14,16985975.0768121,2930979.72479414,10.4542526080853,2.63
"BHR",2021-01-15,20528145.8710705,3542181.1747789,10.3805205216423,2.63
"BHR",2021-01-16,24808972.6973925,4280837.04201098,10.215688978775,2.63
"BHR",2021-01-17,29982488.2814266,5173525.65318219,10.069148060655,2.63
"BHR",2021-01-18,36234845.9122654,6252367.4503854,9.81954659429802,2.63
"BHR",2021-01-19,43791017.5751585,7556181.28332642,9.62043332009353,2.63
"BHR",2021-01-20,52922888.8780279,9131880.70616127,9.40329186880888,2.63
"BHR",2021-01-21,63959042.0158975,11036162.4298899,9.29202026774876,2.63
"BHR",2021-01-22,77296578.778287,13337545.6499846,8.88759512728034,2.63
"BHR",2021-01-23,93415409.014704,16118838.7744325,8.53801553828224,2.63
"BHR",2021-01-24,112895518.661152,19480117.7892377,8.1427894187359,2.63
"BHR",2021-01-25,136437838.678631,23542327.8483904,7.83091202244731,2.63
"BHR",2021-01-26,164889465.857123,28451634.7790691,7.60057685172078,2.63
"BHR",2021-01-27,199274142.96287,34384684.5072526,7.40150583772401,2.63
"BHR",2021-01-28,240829094.935438,41554959.1242181,7.15165013713882,2.63
"BHR",2021-01-29,291049546.546297,50220458.3319661,6.72110642937238,2.63
"BHR",2021-01-30,351742523.342472,60692983.2534598,6.45728529787942,2.63
"BHR",2021-01-31,425091871.744576,73349354.5976777,6.19557361302686,2.63
"BHR",2021-02-01,513736837.893798,88644970.8449935,4.69577171921506,2.63
"BHR",2021-02-02,620867032.660834,107130199.319063,4.55202635882684,2.63
"BHR",2021-02-03,750337199.684011,129470171.391102,4.36792549377219,2.63
"BHR",2021-02-04,906805916.194249,156468720.677237,4.16699812342359,2.63
"BHR",2021-02-05,1095903217.46416,189097305.19951,3.92960334929239,2.63
