"group","date","cum_I","Incidence","imported","Rt"
"CHL",2020-09-09,0,0,0,1.05
"CHL",2020-09-10,0,0,0,1.05
"CHL",2020-09-11,0,0,0,1.05
"CHL",2020-09-12,0,0,0,1.05
"CHL",2020-09-13,0,0,0,1.05
"CHL",2020-09-14,0,0,0,1.05
"CHL",2020-09-15,0,0,0,1.05
"CHL",2020-09-16,0,0,0,1.05
"CHL",2020-09-17,0,0,0,1.05
"CHL",2020-09-18,0,0,0,1.05
"CHL",2020-09-19,0,0,0,1.05
"CHL",2020-09-20,0,0,0,1.05
"CHL",2020-09-21,0,0,0,1.05
"CHL",2020-09-22,0,0,0,1.05
"CHL",2020-09-23,0,1.31511158055821e-05,1.31511158055821e-05,1.05
"CHL",2020-09-24,4.0036525493453e-08,2.68119508439998e-05,2.67719143185064e-05,1.05
"CHL",2020-09-25,7.08158326117089e-07,3.94119906974183e-05,3.87438688967947e-05,1.05
"CHL",2020-09-26,3.73682316738298e-06,5.30627547664513e-05,5.00340899251855e-05,1.05
"CHL",2020-09-27,1.17335303710493e-05,6.6047111690874e-05,5.80504044872077e-05,1.05
"CHL",2020-09-28,2.74224305655439e-05,8.78971665435285e-05,7.22082663490338e-05,1.05
"CHL",2020-09-29,5.31063939861385e-05,0.00011198469277347,8.63007293528756e-05,1.05
"CHL",2020-09-30,9.07983575123364e-05,0.000151412650426698,0.0001137206869005,1.05
"CHL",2020-10-01,0.000142797033858823,0.000212515765178281,0.000160517088831794,1.05
"CHL",2020-10-02,0.000212440538959811,0.000288088155591921,0.000218444650490933,1.05
"CHL",2020-10-03,0.000305290203802916,0.000414651199298154,0.000321801534455048,1.05
"CHL",2020-10-04,0.00043011122443338,0.000503307943874018,0.000378486923243554,1.05
"CHL",2020-10-05,0.000599915431547801,0.000613757241141429,0.000443953034027008,1.05
"CHL",2020-10-06,0.000830688840486292,0.000738491316991347,0.000507717908052856,1.05
"CHL",2020-10-07,0.00113774935278967,0.000893741909541969,0.000586681397238591,1.05
